[u'horizontal_bar', 0.2460788, u'barbell', 0.23710439, u'parallel_bars', 0.22741343]
[u'swimming_trunks', 0.54577702, u'hog', 0.09326598, u'bikini', 0.037434962]
[u'barbell', 0.96720415, u'dumbbell', 0.032539483, u'frying_pan', 3.7222384e-05]
[u'bikini', 0.42585623, u'brassiere', 0.23849809, u'maillot', 0.13944504]
[u'redbone', 0.31355137, u'vizsla', 0.056155339, u'prison', 0.055358063]
[u'swimming_trunks', 0.88715577, u'bathing_cap', 0.027364055, u'diaper', 0.012358461]
[u'comic_book', 0.097018659, u'maillot', 0.078954332, u'brassiere', 0.06566605]
[u'barbell', 0.20716332, u'balance_beam', 0.1084574, u'swimming_trunks', 0.077941008]
[u'bikini', 0.42784727, u'brassiere', 0.082173787, u'sunglass', 0.051916979]
[u'jean', 0.80976075, u'brassiere', 0.034459643, u'miniskirt', 0.016312774]
[u'drumstick', 0.28456366, u'bikini', 0.17109051, u'gibbon', 0.13575922]
[u'bikini', 0.45269567, u'diaper', 0.16664721, u'brassiere', 0.11918477]
[u'bikini', 0.72875422, u'maillot', 0.16265357, u'brassiere', 0.095231883]
[u'miniskirt', 0.54669279, u'studio_couch', 0.097819678, u'maillot', 0.089584269]
[u'barber_chair', 0.1043024, u'studio_couch', 0.090333156, u'dumbbell', 0.044366181]
[u'tub', 0.44702223, u'miniskirt', 0.098718271, u'bathtub', 0.053997487]
[u'brassiere', 0.83253175, u'gown', 0.065667234, u'bikini', 0.050493363]
[u'bikini', 0.29735211, u'swimming_trunks', 0.18876262, u'maillot', 0.13680473]
[u'bikini', 0.38419363, u'maillot', 0.053260706, u'brassiere', 0.045537487]
[u'theater_curtain', 0.97987044, u'fire_screen', 0.0032566283, u'stove', 0.0017575095]
[u'bathing_cap', 0.60044849, u'swimming_trunks', 0.19154185, u'maillot', 0.062031012]
[u'dumbbell', 0.27817166, u'pole', 0.24339576, u'barbell', 0.1089365]
[u'stretcher', 0.31763735, u'comic_book', 0.06042809, u'seat_belt', 0.055298708]
[u'bikini', 0.76396835, u'brassiere', 0.12283687, u'maillot', 0.06981761]
[u'bikini', 0.73532516, u'maillot', 0.073453069, u'maillot', 0.068306528]
[u'tub', 0.11727787, u'bathtub', 0.0704346, u'brassiere', 0.050381619]
[u'bikini', 0.57948571, u'brassiere', 0.13314222, u'chain', 0.050600577]
[u'brassiere', 0.1848013, u'theater_curtain', 0.16021399, u'maillot', 0.080168717]
[u'comic_book', 0.99749529, u'jigsaw_puzzle', 0.00065834937, u'quilt', 0.00058217434]
[u'maillot', 0.28755277, u'maillot', 0.21223406, u'bikini', 0.20129591]
[u'bikini', 0.56086814, u'swimming_trunks', 0.068690069, u'maillot', 0.027359957]
[u'maillot', 0.40826389, u'wig', 0.1738444, u'brassiere', 0.059133198]
[u'bikini', 0.59028941, u'maillot', 0.23354426, u'brassiere', 0.086436853]
[u'bikini', 0.50307858, u'maillot', 0.19619244, u'brassiere', 0.15283155]
[u'maillot', 0.46969309, u'maillot', 0.44818598, u'brassiere', 0.058110777]
[u'bikini', 0.63469875, u'brassiere', 0.13036959, u'tub', 0.03962538]
[u'diaper', 0.15856315, u'neck_brace', 0.10746276, u'plunger', 0.041939512]
[u'maillot', 0.25300404, u'swimming_trunks', 0.19688103, u'bikini', 0.18113606]
[u'swimming_trunks', 0.48458979, u'barbell', 0.11471442, u'maillot', 0.047000065]
[u'gown', 0.17186047, u'cuirass', 0.11360897, u'miniskirt', 0.069816597]
[u'bathtub', 0.099694617, u'television', 0.059349943, u'tub', 0.041526336]
[u'brassiere', 0.94738072, u'bikini', 0.040640216, u'kimono', 0.0066148113]
[u'brassiere', 0.52352303, u'bikini', 0.187875, u'maillot', 0.082859837]
[u'bikini', 0.87931019, u'maillot', 0.082427628, u'snorkel', 0.011061262]
[u'bathtub', 0.55801165, u'swimming_trunks', 0.20658289, u'tub', 0.11502116]
[u'bikini', 0.91856033, u'brassiere', 0.047061577, u'maillot', 0.02392398]
[u'brassiere', 0.24295014, u'swimming_trunks', 0.17193785, u'bikini', 0.12494987]
