[u'fountain', 0.60127163, u'pedestal', 0.052632309, u'bikini', 0.039013095]
[u'bikini', 0.97548693, u'maillot', 0.0067221769, u'brassiere', 0.0055454229]
[u'bikini', 0.60781235, u'maillot', 0.11404631, u'brassiere', 0.062160727]
[u'barrel', 0.12824707, u'triceratops', 0.10295609, u'military_uniform', 0.093165912]
[u'bikini', 0.23741035, u'butcher_shop', 0.058944754, u'maillot', 0.052782916]
[u'conch', 0.20547421, u'fiddler_crab', 0.1342721, u'rhinoceros_beetle', 0.069007851]
[u'vizsla', 0.31771982, u'swimming_trunks', 0.10327314, u'redbone', 0.083921559]
[u'buckle', 0.10871658, u'tray', 0.074983761, u'shield', 0.073579706]
[u'castle', 0.66789442, u'vault', 0.23282222, u'triumphal_arch', 0.03753921]
[u'butcher_shop', 0.50006992, u'book_jacket', 0.20760092, u'comic_book', 0.055108532]
[u'torch', 0.077077948, u'barber_chair', 0.071053155, u'swimming_trunks', 0.051820431]
[u'bikini', 0.46494895, u'bathing_cap', 0.16941056, u'swimming_trunks', 0.13153228]
[u'bikini', 0.18488066, u'maillot', 0.16566867, u'swimming_trunks', 0.070411392]
[u'slide_rule', 0.23331167, u'park_bench', 0.1433605, u'cowboy_hat', 0.055317033]
[u'bikini', 0.34508002, u'swimming_trunks', 0.13240038, u'gyromitra', 0.098741762]
[u'maillot', 0.1226524, u'bikini', 0.12010346, u'tub', 0.085539639]
[u'wig', 0.22730738, u'fur_coat', 0.13226102, u'tub', 0.11156725]
[u'studio_couch', 0.67240453, u'tub', 0.022344133, u'window_shade', 0.021170853]
[u'mousetrap', 0.15661459, u'hare', 0.099833846, u'wood_rabbit', 0.099467777]
[u'bikini', 0.28146529, u'swimming_trunks', 0.13427708, u'diaper', 0.052394945]
[u'brassiere', 0.3099373, u'wig', 0.060751043, u'maillot', 0.05029723]
[u'bikini', 0.48365194, u'brassiere', 0.4087193, u'maillot', 0.026217386]
[u'jackfruit', 0.17336535, u'bikini', 0.14806129, u'common_iguana', 0.1242407]
[u'bikini', 0.78127331, u'swimming_trunks', 0.10474596, u'maillot', 0.042001382]
[u'web_site', 0.46012259, u'book_jacket', 0.14645952, u'comic_book', 0.13773434]
[u'swimming_trunks', 0.51314968, u'bikini', 0.18181625, u'bathing_cap', 0.12933022]
[u'swimming_trunks', 0.28964528, u'fountain', 0.089954287, u'gown', 0.079989076]
[u'freight_car', 0.15952811, u'jigsaw_puzzle', 0.10497068, u'cinema', 0.057030734]
[u'swimming_trunks', 0.2494536, u'bathing_cap', 0.16475789, u'bikini', 0.096217468]
[u'bikini', 0.707555, u'maillot', 0.080856614, u'brassiere', 0.063149512]
[u'brassiere', 0.36673376, u'acorn', 0.12095217, u'bikini', 0.10952961]
[u'eggnog', 0.72262818, u'potpie', 0.040981587, u'honeycomb', 0.023558043]
[u'tub', 0.16922016, u'swimming_trunks', 0.13909546, u'Great_Dane', 0.075849742]
[u'Indian_elephant', 0.37977043, u'tusker', 0.088311605, u'seat_belt', 0.035954706]
[u'bikini', 0.73532516, u'maillot', 0.073453069, u'maillot', 0.068306528]
[u'bikini', 0.88515913, u'maillot', 0.053716678, u'maillot', 0.031273521]
[u'bikini', 0.49584496, u'brassiere', 0.15523717, u'maillot', 0.11873389]
[u'swimming_trunks', 0.34443131, u'Weimaraner', 0.2598429, u'Italian_greyhound', 0.25934902]
[u'gown', 0.170214, u'maillot', 0.083415247, u'brassiere', 0.081262074]
[u'swimming_trunks', 0.39693385, u'tub', 0.11326367, u'bikini', 0.11265856]
[u'fountain', 0.25098085, u'maillot', 0.16803794, u'gown', 0.13575837]
[u'frilled_lizard', 0.31625089, u'hatchet', 0.066427149, u'tusker', 0.058147609]
[u'Indian_elephant', 0.25055963, u'parallel_bars', 0.24421659, u'horizontal_bar', 0.18145227]
[u'bikini', 0.24108604, u'bathtub', 0.13603771, u'tub', 0.13594563]
[u'bikini', 0.41209093, u'maillot', 0.26968786, u'brassiere', 0.13013063]
[u'bikini', 0.34881335, u'tub', 0.14916237, u'conch', 0.1277698]
[u'brassiere', 0.400231, u'maillot', 0.16665886, u'bikini', 0.11470124]
[u'Christmas_stocking', 0.10356318, u'neck_brace', 0.064990491, u'studio_couch', 0.053658132]
[u'cowboy_boot', 0.21255441, u'plunger', 0.097035371, u'maillot', 0.081312485]
[u'bikini', 0.72203273, u'maillot', 0.2019324, u'maillot', 0.06259083]
[u'bikini', 0.16120173, u'swimming_trunks', 0.071269892, u'diaper', 0.051695183]
[u'bikini', 0.44263744, u'snorkel', 0.047936734, u'maillot', 0.034496609]
[u'bikini', 0.18542969, u'snail', 0.13265592, u'maillot', 0.11704271]
[u'buckle', 0.22506203, u'pretzel', 0.11929831, u'coil', 0.11633787]
[u'bikini', 0.33263281, u'prayer_rug', 0.15614171, u'maillot', 0.12076553]
[u'tobacco_shop', 0.15333831, u'teddy', 0.066784047, u'grocery_store', 0.051802568]
[u'bikini', 0.3279582, u'diaper', 0.29546133, u'tub', 0.19355273]
[u'mask', 0.96751148, u'comic_book', 0.010674655, u'ski_mask', 0.0054411464]
[u'park_bench', 0.33522975, u'rocking_chair', 0.076063059, u'miniskirt', 0.062089499]
[u'unicycle', 0.11866888, u'prison', 0.10226302, u'gong', 0.051642742]
[u'cliff_dwelling', 0.20921186, u'lumbermill', 0.12545404, u'fire_screen', 0.11457143]
[u'Great_Dane', 0.10455231, u'whippet', 0.062686801, u'Indian_cobra', 0.059472881]
[u'jigsaw_puzzle', 0.63921165, u'prayer_rug', 0.094768442, u'bikini', 0.07637652]
[u'parallel_bars', 0.46556181, u'horizontal_bar', 0.11079311, u'punching_bag', 0.085235052]
[u'tailed_frog', 0.67631662, u'frilled_lizard', 0.055479672, u'bullfrog', 0.052541874]
[u'bikini', 0.37351298, u'tub', 0.1366266, u'teddy', 0.067902513]
[u'theater_curtain', 0.38787156, u'carousel', 0.36383617, u'fire_screen', 0.048945758]
[u'fountain', 0.4845885, u'bikini', 0.21651708, u'sarong', 0.10339046]
[u'comic_book', 0.99005616, u'web_site', 0.0045772195, u'book_jacket', 0.0018521226]
[u'comic_book', 0.79618472, u'brassiere', 0.14014414, u'crash_helmet', 0.0045137377]
[u'Weimaraner', 0.22508428, u'swimming_trunks', 0.16051735, u'dumbbell', 0.12482294]
[u'snail', 0.083417922, u'maillot', 0.06674993, u'maillot', 0.050426278]
[u'maillot', 0.35108429, u'bikini', 0.18200329, u'wig', 0.051134005]
[u'tub', 0.17729226, u'maillot', 0.12514611, u'bikini', 0.061484743]
[u'jigsaw_puzzle', 0.99962687, u'prayer_rug', 0.0001450632, u'swimming_trunks', 8.315991e-05]
[u'cello', 0.14165017, u'banjo', 0.13199785, u'stage', 0.10087228]
[u'swimming_trunks', 0.58261693, u'bikini', 0.26878819, u'bathtub', 0.029955117]
[u'butcher_shop', 0.65192544, u'studio_couch', 0.032205991, u'rotisserie', 0.026368257]
[u'bikini', 0.42358625, u'swimming_trunks', 0.18919574, u'maillot', 0.065100268]
[u'wig', 0.32204297, u'hair_spray', 0.25254649, u'syringe', 0.093019783]
[u'gyromitra', 0.47603765, u'beaver', 0.049211267, u'orangutan', 0.046009265]
[u'bikini', 0.80229777, u'maillot', 0.085824274, u'miniskirt', 0.05664286]
