[u'weasel', 0.26443639, u'tub', 0.10624826, u'polecat', 0.059425402]
[u'bikini', 0.53120816, u'bathing_cap', 0.14153552, u'swimming_trunks', 0.13762699]
[u'comic_book', 0.14249931, u'breastplate', 0.12193286, u'pedestal', 0.058207121]
[u'maillot', 0.42201817, u'tub', 0.074889801, u'bathtub', 0.070605993]
[u'flute', 0.33702716, u'cornet', 0.24053559, u'French_horn', 0.077743232]
[u'cowboy_hat', 0.13051617, u'comic_book', 0.093627512, u'brassiere', 0.053656753]
[u'swimming_trunks', 0.54987383, u'bikini', 0.063120857, u'maillot', 0.06149606]
[u'crayfish', 0.87809736, u'cockroach', 0.095166288, u'spiny_lobster', 0.0078433016]
[u'bikini', 0.73236454, u'maillot', 0.081502758, u'miniskirt', 0.065041661]
[u'wig', 0.22440483, u'shower_cap', 0.049781423, u'bubble', 0.043664172]
[u'bikini', 0.34483963, u'conch', 0.15090695, u'tub', 0.091203727]
[u'bikini', 0.81126153, u'maillot', 0.10817232, u'maillot', 0.029803386]
[u'tub', 0.27372915, u'brassiere', 0.1919381, u'bathtub', 0.16740708]
[u'barber_chair', 0.39119017, u'shoe_shop', 0.061261278, u'mailbag', 0.030691165]
[u'miniskirt', 0.48468336, u'overskirt', 0.17682536, u'hoopskirt', 0.072178185]
[u'crayfish', 0.47639212, u'frilled_lizard', 0.051796202, u'prayer_rug', 0.045592174]
[u'grocery_store', 0.19383042, u'pineapple', 0.18386339, u'buckeye', 0.081478551]
[u'bikini', 0.61404538, u'brassiere', 0.18249041, u'syringe', 0.084439173]
[u'bikini', 0.28878659, u'brassiere', 0.2014147, u'comic_book', 0.094138205]
[u'bikini', 0.65422988, u'bathtub', 0.086865209, u'diaper', 0.051273499]
[u'syringe', 0.21594945, u'comic_book', 0.10040686, u'cornet', 0.092005223]
[u'fountain', 0.3521916, u'mask', 0.20039715, u'chain', 0.080247924]
[u'swimming_trunks', 0.28354585, u'bathing_cap', 0.26594406, u'maillot', 0.1598216]
[u'swimming_trunks', 0.23129717, u'shower_cap', 0.069182895, u'diaper', 0.055854309]
[u'swimming_trunks', 0.13669874, u'swing', 0.094169781, u'comic_book', 0.079191059]
[u'fountain', 0.81586021, u'gown', 0.041511107, u'cucumber', 0.03969742]
[u'comic_book', 0.71130174, u'plunger', 0.096087843, u'syringe', 0.021778559]
[u'comic_book', 0.61810637, u'brassiere', 0.11380079, u'miniskirt', 0.073401138]
[u'web_site', 0.17509699, u'maillot', 0.13392913, u'sunglass', 0.1188704]
[u'jinrikisha', 0.14489496, u'grand_piano', 0.10237101, u'park_bench', 0.085858397]
[u'brassiere', 0.42642471, u'gown', 0.11635011, u'bikini', 0.088304639]
[u'brassiere', 0.42500761, u'miniskirt', 0.17836729, u'bikini', 0.1009187]
[u'Weimaraner', 0.36846364, u'Saluki', 0.076642781, u'hair_spray', 0.056660872]
[u'miniskirt', 0.50402343, u'sandal', 0.29751509, u'bikini', 0.029463237]
[u'bikini', 0.34793878, u'brassiere', 0.076707408, u'tub', 0.054177426]
[u'bikini', 0.20387234, u'tub', 0.07038933, u'diaper', 0.043038275]
[u'carton', 0.41195416, u'comic_book', 0.2672874, u'bakery', 0.0183283]
[u'bikini', 0.22211836, u'frilled_lizard', 0.09468323, u'maillot', 0.064903952]
[u'jinrikisha', 0.11147774, u'punching_bag', 0.078619547, u'comic_book', 0.066216074]
[u'lionfish', 0.2081022, u'comic_book', 0.12428045, u'snorkel', 0.084548786]
[u'comic_book', 0.26687571, u'mushroom', 0.13558555, u'sandal', 0.11591142]
[u'toilet_seat', 0.23708285, u'neck_brace', 0.23322432, u'plunger', 0.1148399]
[u'comic_book', 0.16572998, u'breastplate', 0.068701096, u'maillot', 0.053491149]
