[u'sarong', 0.73601979, u'stole', 0.080723599, u'poncho', 0.044851918]
[u'swing', 0.57601893, u'boa_constrictor', 0.1258036, u'rock_python', 0.093403652]
[u'seat_belt', 0.90835506, u'cowboy_hat', 0.027876258, u'sombrero', 0.014498856]
[u'bathtub', 0.48928675, u'tub', 0.43051073, u'maillot', 0.028344532]
[u'bikini', 0.54773152, u'brassiere', 0.19315881, u'sarong', 0.032940704]
[u'bikini', 0.26926395, u'maillot', 0.24160638, u'brassiere', 0.068480536]
[u'tub', 0.17604093, u'bikini', 0.14981991, u'maillot', 0.14872037]
[u'brassiere', 0.67770267, u'bikini', 0.27120739, u'maillot', 0.043126501]
[u'studio_couch', 0.31393602, u'oxygen_mask', 0.14253736, u'hand_blower', 0.10892986]
[u'bikini', 0.56036198, u'brassiere', 0.17498559, u'maillot', 0.067587815]
[u'bikini', 0.92749226, u'maillot', 0.033019498, u'brassiere', 0.016843444]
[u'maillot', 0.20504156, u'brassiere', 0.12138976, u'carton', 0.11070069]
[u'bikini', 0.8227396, u'maillot', 0.15418065, u'sarong', 0.015059103]
[u'miniskirt', 0.41660035, u'maillot', 0.39507982, u'bikini', 0.079195738]
[u'diaper', 0.89887911, u'bikini', 0.07390181, u'maillot', 0.011385133]
[u'tub', 0.64206129, u'bathtub', 0.15584943, u'bikini', 0.073924094]
[u'swimming_trunks', 0.43291223, u'dumbbell', 0.17700724, u'bikini', 0.097874045]
[u'diaper', 0.50192666, u'bikini', 0.33128881, u'maillot', 0.031571172]
[u'swing', 0.36327794, u'flute', 0.18685472, u'maillot', 0.046985865]
[u'bikini', 0.29445276, u'miniskirt', 0.049941644, u'maillot', 0.039285365]
[u'bikini', 0.50275373, u'swimming_trunks', 0.14308639, u'sarong', 0.12052897]
[u'bikini', 0.63169336, u'brassiere', 0.10119246, u'diaper', 0.09439481]
[u'bikini', 0.38145766, u'sarong', 0.18590672, u'maillot', 0.093469612]
[u'bikini', 0.77029699, u'maillot', 0.11631298, u'maillot', 0.084488861]
[u'quill', 0.25736928, u'tub', 0.10357382, u'cloak', 0.062119823]
[u'bikini', 0.77276295, u'maillot', 0.11639837, u'maillot', 0.058425322]
[u'studio_couch', 0.14268702, u'miniskirt', 0.072964221, u'toilet_tissue', 0.054683913]
[u'cuirass', 0.27951676, u'breastplate', 0.27389875, u'chain_mail', 0.24074535]
[u'tub', 0.20530106, u'diaper', 0.17261986, u'bathtub', 0.16298898]
[u'wig', 0.28387624, u'bikini', 0.069858462, u'carton', 0.028308114]
[u'tub', 0.25422403, u'bikini', 0.21276042, u'brassiere', 0.15075469]
[u'brassiere', 0.55610728, u'bikini', 0.30771905, u'diaper', 0.022734735]
[u'brassiere', 0.47213221, u'bikini', 0.43796837, u'tub', 0.033110242]
[u'bikini', 0.42940396, u'maillot', 0.16653776, u'brassiere', 0.097453602]
[u'bikini', 0.64931834, u'maillot', 0.22370186, u'maillot', 0.057816733]
[u'maillot', 0.27112389, u'bikini', 0.23967935, u'maillot', 0.11849881]
[u'bikini', 0.24577081, u'miniskirt', 0.245003, u'barbell', 0.19406912]
[u'lipstick', 0.3912352, u'hair_slide', 0.18141559, u'ice_lolly', 0.070413768]
[u'bikini', 0.39669868, u'tub', 0.13692775, u'diaper', 0.066242799]
[u'conch', 0.30925718, u'bubble', 0.09484899, u'cheeseburger', 0.032255668]
[u'pajama', 0.30439255, u'quilt', 0.27181605, u'studio_couch', 0.11025419]
[u'bicycle-built-for-two', 0.44698587, u'tricycle', 0.27295494, u'swimming_trunks', 0.07173489]
[u'bikini', 0.46228802, u'brassiere', 0.21987818, u'maillot', 0.17902976]
[u'brassiere', 0.94252384, u'tub', 0.0092466045, u'maillot', 0.0082913619]
[u'bikini', 0.62231702, u'brassiere', 0.17150807, u'maillot', 0.11878057]
[u'swimming_trunks', 0.29698926, u'sarong', 0.13403204, u'gown', 0.10405379]
[u'rocking_chair', 0.34891444, u'studio_couch', 0.16402882, u'park_bench', 0.15262885]
[u'bikini', 0.66915822, u'brassiere', 0.22372092, u'maillot', 0.095123023]
[u'swimming_trunks', 0.4563261, u'bikini', 0.27354157, u'sarong', 0.079320274]
[u'swimming_trunks', 0.32017538, u'maillot', 0.20190609, u'bikini', 0.099835686]
[u'brassiere', 0.4098762, u'miniskirt', 0.089002118, u'maillot', 0.069407754]
