[u'comic_book', 0.75179458, u'book_jacket', 0.04763234, u'prayer_rug', 0.026063034]
[u'rifle', 0.19842, u'stretcher', 0.11602315, u'book_jacket', 0.06431368]
[u'punching_bag', 0.76281518, u'dumbbell', 0.15372764, u'swimming_trunks', 0.019138291]
[u'swimming_trunks', 0.37734774, u'dumbbell', 0.17799522, u'barbell', 0.077018328]
[u'swimming_trunks', 0.17708962, u'horizontal_bar', 0.07849855, u'pug', 0.07601922]
[u'swimming_trunks', 0.59851652, u'bathing_cap', 0.040375136, u'dumbbell', 0.026346117]
[u'comic_book', 0.9970541, u'jigsaw_puzzle', 0.0012834204, u'book_jacket', 0.00079020322]
[u'comic_book', 0.79519904, u'studio_couch', 0.11416969, u'book_jacket', 0.035473078]
[u'gyromitra', 0.40592355, u'swimming_trunks', 0.087151572, u"potter's_wheel", 0.036239654]
[u'maillot', 0.41101381, u'bikini', 0.33196944, u'maillot', 0.083629958]
[u'swimming_trunks', 0.61192793, u'bathing_cap', 0.20526418, u'volleyball', 0.030427972]
[u'swimming_trunks', 0.20288886, u'parallel_bars', 0.12902883, u'barbell', 0.082605466]
[u'snorkel', 0.57967228, u'bathing_cap', 0.10852775, u'dumbbell', 0.025755288]
[u'jigsaw_puzzle', 0.90116113, u'comic_book', 0.084397294, u'dining_table', 0.0010478125]
[u'trifle', 0.13611864, u'comic_book', 0.10074163, u'book_jacket', 0.048915207]
[u'comic_book', 0.94158846, u'web_site', 0.044785075, u'slot', 0.0045102653]
[u'comic_book', 0.67215395, u'book_jacket', 0.10934368, u'face_powder', 0.086817719]
[u'comic_book', 0.58208448, u'mountain_bike', 0.075193718, u'bicycle-built-for-two', 0.052157041]
[u'spotlight', 0.74821943, u'stage', 0.054804757, u'bannister', 0.025759183]
[u'brassiere', 0.64160323, u'knee_pad', 0.06934835, u'sandal', 0.062945843]
[u'barber_chair', 0.28318182, u'book_jacket', 0.10909201, u'stretcher', 0.10381823]
[u'rocking_chair', 0.17745276, u'barber_chair', 0.14823481, u'fountain', 0.063856646]
[u'parallel_bars', 0.17113687, u'maillot', 0.13873619, u'theater_curtain', 0.13281409]
[u'prison', 0.21945542, u'cowboy_hat', 0.10162628, u'cornet', 0.084247649]
[u'comic_book', 0.60120881, u'jigsaw_puzzle', 0.39217481, u'book_jacket', 0.0045523667]
[u'book_jacket', 0.3656179, u'comic_book', 0.30096513, u'mask', 0.088590734]
[u'comic_book', 0.96229541, u'book_jacket', 0.0077750743, u'pitcher', 0.0034642334]
[u'bikini', 0.61992627, u'swimming_trunks', 0.080676205, u'bathing_cap', 0.06558466]
[u'cowboy_boot', 0.20023663, u'clog', 0.19393983, u'cowboy_hat', 0.12701224]
[u'butcher_shop', 0.20500122, u'bikini', 0.11591376, u'barbell', 0.089943916]
[u'rotisserie', 0.29932302, u'barbell', 0.19299757, u'cornet', 0.075306475]
[u'barbell', 0.4450424, u'dumbbell', 0.36805451, u'swimming_trunks', 0.060240105]
[u'prison', 0.20217477, u'fire_screen', 0.15304048, u'dumbbell', 0.089952976]
