[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403]
