[u'church', 0.78292853, u'altar', 0.078040481, u'mosque', 0.054367833]
[u'vestment', 0.73439968, u'theater_curtain', 0.10232381, u'altar', 0.027835868]
[u'altar', 0.64722914, u'swab', 0.11608031, u'throne', 0.039549213]
[u'suit', 0.8166821, u'wardrobe', 0.021942738, u'Loafer', 0.021658203]
[u'altar', 0.42093956, u'gondola', 0.15962899, u'palace', 0.15141834]
[u'altar', 0.53957075, u'restaurant', 0.19046898, u'theater_curtain', 0.11754558]
[u'academic_gown', 0.68093967, u'military_uniform', 0.07683304, u'mortarboard', 0.069977961]
[u'flagpole', 0.42864612, u'bearskin', 0.098896533, u'pole', 0.071939223]
[u'suit', 0.50018495, u'Windsor_tie', 0.099107631, u'wardrobe', 0.052502107]
[u'wine_bottle', 0.19880234, u'altar', 0.17591457, u'palace', 0.1656446]
[u'vestment', 0.66465634, u'suit', 0.079391345, u'abaya', 0.046119839]
[u'harp', 0.68672502, u'vestment', 0.19774964, u'altar', 0.028607948]
[u'suit', 0.28442129, u'abaya', 0.19972719, u'vestment', 0.19574349]
[u'restaurant', 0.34933656, u'throne', 0.11184991, u'vestment', 0.088948853]
[u'suit', 0.70532596, u'jean', 0.059300303, u'groom', 0.041037787]
[u'suit', 0.22552682, u'swab', 0.16043314, u'crutch', 0.12304859]
[u'window_shade', 0.19913912, u'abaya', 0.11141774, u'groom', 0.076564685]
[u'abaya', 0.55679309, u'wardrobe', 0.066888772, u'suit', 0.064059265]
[u'mortarboard', 0.16624136, u'swab', 0.13503191, u'academic_gown', 0.12627055]
[u'suit', 0.42937616, u'vestment', 0.092452198, u'abaya', 0.082583584]
[u'altar', 0.4161818, u'tub', 0.11820731, u'church', 0.055753931]
[u'vestment', 0.36625323, u'candle', 0.14857557, u'groom', 0.11867731]
[u'suit', 0.49880713, u'vestment', 0.096636221, u'jean', 0.073033176]
[u'harvester', 0.92351365, u'thresher', 0.059987362, u'plow', 0.0089033153]
[u'theater_curtain', 0.28649899, u'altar', 0.2185639, u'tub', 0.11099808]
[u'plow', 0.11509023, u'tractor', 0.061504774, u'gong', 0.049591191]
[u'fountain', 0.43457726, u'balloon', 0.11955093, u'umbrella', 0.064013615]
[u'restaurant', 0.26154298, u'church', 0.21008055, u'altar', 0.10059636]
[u'theater_curtain', 0.47952506, u'West_Highland_white_terrier', 0.10413379, u'organ', 0.064138763]
[u'vestment', 0.80763644, u'abaya', 0.13567837, u'wardrobe', 0.02418538]
[u'wardrobe', 0.69182932, u'suit', 0.087232225, u'mortarboard', 0.055826705]
[u'ski', 0.61111122, u'kimono', 0.051058087, u'fire_engine', 0.043958358]
[u'web_site', 0.33120254, u'screen', 0.098444395, u'envelope', 0.035697252]
[u'suit', 0.38494685, u'abaya', 0.094660617, u'coho', 0.042808414]
[u'bow', 0.63630182, u'swab', 0.15634449, u'rifle', 0.023326995]
[u'cinema', 0.14929545, u'gondola', 0.12893413, u'church', 0.095577881]
[u'organ', 0.43149206, u'theater_curtain', 0.22307748, u'altar', 0.17365208]
[u'suit', 0.65431404, u'vestment', 0.17445371, u'groom', 0.03593614]
[u'vestment', 0.82236296, u'altar', 0.089138575, u'throne', 0.031790551]
[u'suit', 0.52505076, u'vestment', 0.10786784, u'jean', 0.07794781]
[u'vestment', 0.57381916, u'suit', 0.1058297, u'academic_gown', 0.094912641]
[u'butcher_shop', 0.66623122, u'vestment', 0.15985432, u'wardrobe', 0.086299188]
[u'suit', 0.18146662, u'abaya', 0.074546337, u'fireboat', 0.057067636]
[u'sarong', 0.63446712, u'picket_fence', 0.066771209, u'maillot', 0.042935126]
[u'marimba', 0.56174755, u'throne', 0.15688007, u'vestment', 0.063766345]
[u'altar', 0.49613857, u'throne', 0.43650785, u'vestment', 0.031225082]
[u'worm_fence', 0.79732829, u'picket_fence', 0.064847708, u'prison', 0.02325047]
[u'academic_gown', 0.077080242, u'poncho', 0.068579085, u'ski', 0.065112889]
[u'prison', 0.41023034, u'planetarium', 0.0641822, u'bannister', 0.042569403]
[u'vestment', 0.33742782, u'sarong', 0.12562296, u'kimono', 0.099760883]
[u'broom', 0.64770824, u'throne', 0.04322321, u'bassoon', 0.037016846]
[u'stage', 0.81552464, u'scoreboard', 0.16908614, u'container_ship', 0.0057225488]
[u'throne', 0.94751233, u'altar', 0.018671446, u'vestment', 0.0083018234]
[u'vestment', 0.83450657, u'throne', 0.084838197, u'organ', 0.01598401]
[u'suit', 0.64735126, u'abaya', 0.10750579, u'groom', 0.078368545]
[u'ski', 0.61627549, u'paintbrush', 0.1087935, u'padlock', 0.087275505]
[u'wardrobe', 0.69362199, u'picket_fence', 0.06671945, u'ski', 0.036538746]
[u'fountain', 0.20584066, u'West_Highland_white_terrier', 0.042280491, u'scabbard', 0.033930801]
[u'butcher_shop', 0.62307268, u'wardrobe', 0.20899302, u'king_penguin', 0.02813055]
[u'abaya', 0.48140427, u'throne', 0.35818455, u'vestment', 0.038714118]
[u'ski', 0.86831957, u'cleaver', 0.038559806, u'spatula', 0.013620361]
[u'ski', 0.6107949, u'unicycle', 0.24316351, u'jinrikisha', 0.057909001]
