[u'tile_roof', 0.56199348, u'swimming_trunks', 0.089127183, u'bikini', 0.064161867]
[u'bolete', 0.15365636, u'gyromitra', 0.10450161, u'hen-of-the-woods', 0.05836748]
[u'tub', 0.15646927, u'groom', 0.10826997, u'bikini', 0.10267535]
[u'fur_coat', 0.2649554, u'brassiere', 0.094353721, u'maillot', 0.06842497]
[u'maillot', 0.51118392, u'miniskirt', 0.22812839, u'maillot', 0.090082899]
[u'bathing_cap', 0.3819187, u'bikini', 0.35344955, u'brassiere', 0.15094975]
[u'maillot', 0.3452667, u'miniskirt', 0.12399742, u'maillot', 0.11477558]
[u'bikini', 0.25667664, u'diaper', 0.25111145, u'bathing_cap', 0.10342722]
[u'bikini', 0.80743039, u'maillot', 0.048273381, u'maillot', 0.039280806]
[u'cowboy_hat', 0.067040406, u'swimming_trunks', 0.046314202, u'ice_lolly', 0.045853011]
[u'comic_book', 0.27290726, u'tub', 0.17144711, u'swimming_trunks', 0.092073835]
[u'common_iguana', 0.20035425, u'bikini', 0.10227742, u'artichoke', 0.09536732]
[u'swimming_trunks', 0.29691845, u'bathing_cap', 0.12840769, u'sunscreen', 0.041574106]
[u'bikini', 0.89934635, u'brassiere', 0.06189118, u'maillot', 0.013004448]
[u'hair_spray', 0.083492227, u'pinwheel', 0.071050197, u'sunscreen', 0.064779267]
[u'African_chameleon', 0.29912567, u'tree_frog', 0.28362542, u'American_chameleon', 0.089935012]
[u'sunscreen', 0.30712804, u'swimming_trunks', 0.13248813, u'ice_lolly', 0.080538251]
[u'swimming_trunks', 0.74063897, u'bikini', 0.058394991, u'diaper', 0.03437569]
[u'tub', 0.36236939, u'swimming_trunks', 0.17094491, u'bathtub', 0.16821684]
[u'balance_beam', 0.37605381, u'plane', 0.12163484, u'Weimaraner', 0.05466992]
[u'swimming_trunks', 0.33843002, u'maillot', 0.098422229, u'cowboy_boot', 0.038965262]
[u'fountain', 0.24577329, u'pedestal', 0.13498588, u'bathing_cap', 0.12975375]
[u'tub', 0.12891637, u'swimming_trunks', 0.11312434, u'sunscreen', 0.10660546]
[u'maillot', 0.49762625, u'miniskirt', 0.28677255, u'maillot', 0.13891385]
[u'miniskirt', 0.21081901, u'wardrobe', 0.11651484, u'neck_brace', 0.070599832]
[u'miniskirt', 0.5237782, u'maillot', 0.054948911, u'maillot', 0.044074338]
[u'bathtub', 0.39376324, u'tub', 0.14403707, u'wig', 0.083897896]
[u'brassiere', 0.46317026, u'bikini', 0.33877018, u'maillot', 0.049698379]
[u'hog', 0.38169083, u'swimming_trunks', 0.046795003, u'Weimaraner', 0.035361025]
[u'groom', 0.15754867, u'wig', 0.10574382, u'tub', 0.092809424]
[u'bathtub', 0.43102267, u'tub', 0.317509, u'swimming_trunks', 0.099039771]
[u'comic_book', 0.39151821, u'triceratops', 0.041355208, u'web_site', 0.039531097]
[u'comic_book', 0.14013328, u'sunglass', 0.058103573, u'fountain', 0.056363035]
[u'chain_mail', 0.91960406, u'maillot', 0.049308721, u'maillot', 0.013946323]
[u'tub', 0.21084024, u'groom', 0.17888574, u'vault', 0.081911191]
[u'bikini', 0.92549419, u'maillot', 0.044124398, u'brassiere', 0.007582468]
[u'tub', 0.38493177, u'swimming_trunks', 0.15819398, u'brassiere', 0.13502869]
[u'wig', 0.16727294, u'shower_cap', 0.09242183, u'tub', 0.08700031]
[u'Dungeness_crab', 0.55730343, u'rock_crab', 0.38315654, u'king_crab', 0.023910474]
[u'bikini', 0.40427721, u'maillot', 0.22706029, u'brassiere', 0.058388811]
[u"potter's_wheel", 0.18005385, u'butcher_shop', 0.081262112, u'tub', 0.075671688]
[u'cuirass', 0.093763925, u'breastplate', 0.080697037, u'bikini', 0.074470602]
[u'Great_Dane', 0.35842025, u'Weimaraner', 0.16307631, u'Italian_greyhound', 0.12697065]
[u'nipple', 0.20182738, u'bikini', 0.18089515, u'bathing_cap', 0.11594548]
[u'bikini', 0.14553049, u'maillot', 0.087906763, u'brassiere', 0.043720543]
[u'maillot', 0.24692445, u'maillot', 0.10932088, u'bikini', 0.078034654]
[u'brassiere', 0.21195863, u'comic_book', 0.14935754, u'bikini', 0.14698364]
[u'Weimaraner', 0.30204308, u'whippet', 0.082677796, u'Chihuahua', 0.044979937]
[u'cornet', 0.43025571, u'rugby_ball', 0.065380149, u'volleyball', 0.065043636]
[u'sunscreen', 0.11472006, u'tub', 0.11025127, u'wig', 0.10762409]
