[u'great_white_shark', 0.41271427, u'hammerhead', 0.11001416, u'electric_ray', 0.10312732]
[u'punching_bag', 0.54049391, u'maillot', 0.064750463, u'bikini', 0.063721068]
[u'maillot', 0.29169232, u'bikini', 0.25916499, u'bathtub', 0.19035418]
[u'wig', 0.059578486, u'breastplate', 0.056547683, u'fountain', 0.055915136]
[u'bikini', 0.97712439, u'maillot', 0.0058142017, u'tub', 0.0041214316]
[u'hammerhead', 0.11045939, u'maillot', 0.095059402, u'tub', 0.073750146]
[u'bikini', 0.26776025, u'guillotine', 0.19950695, u'sandal', 0.076045834]
[u'refrigerator', 0.089966737, u'brassiere', 0.070509344, u'tub', 0.067521624]
[u'hermit_crab', 0.53630871, u'crayfish', 0.12358768, u'wig', 0.06342236]
[u'swimming_trunks', 0.15297961, u'maillot', 0.14042537, u'sunscreen', 0.12869821]
[u'fountain', 0.23321009, u'sarong', 0.10996693, u'maillot', 0.065543972]
[u'diaper', 0.20465025, u'tub', 0.091064811, u'swimming_trunks', 0.071073316]
[u'tub', 0.52633512, u'bathtub', 0.14207938, u'swimming_trunks', 0.080401883]
[u'wig', 0.17575242, u'sunglass', 0.1433873, u'toyshop', 0.073145688]
[u'paper_towel', 0.40600041, u'ski_mask', 0.067282766, u'toilet_tissue', 0.039581042]
[u'stretcher', 0.27601698, u'neck_brace', 0.24569367, u'cuirass', 0.059855264]
[u'maillot', 0.24403575, u'tub', 0.18594125, u'bathtub', 0.18539323]
[u'miniskirt', 0.37735805, u'bikini', 0.20732211, u'maillot', 0.18213505]
[u'bikini', 0.67161053, u'swimming_trunks', 0.07173232, u'sunglass', 0.052556712]
[u'chain_mail', 0.85311258, u'maillot', 0.082724325, u'maillot', 0.024741534]
[u'throne', 0.27651188, u'cuirass', 0.062258411, u'swimming_trunks', 0.05357486]
[u'bikini', 0.26459888, u'maillot', 0.15945025, u'tub', 0.11892956]
[u'bathing_cap', 0.31357175, u'wig', 0.30149803, u'maillot', 0.047236003]
[u'bikini', 0.55038005, u'maillot', 0.10929389, u'bathing_cap', 0.089669883]
