[u'swimming_trunks', 0.61606848, u'pole', 0.049217582, u'shower_curtain', 0.04512782]
[u'bikini', 0.73444504, u'brassiere', 0.1213248, u'diaper', 0.082146503]
[u'dishwasher', 0.1541999, u'bikini', 0.061178192, u'sunscreen', 0.048538551]
[u'maillot', 0.26620185, u'bikini', 0.14828733, u'maillot', 0.10008326]
[u'swimming_trunks', 0.73312807, u'diaper', 0.10617305, u'bikini', 0.057862252]
[u'sunscreen', 0.54271001, u'diaper', 0.27696535, u'bikini', 0.10068782]
[u'lighter', 0.37327352, u'syringe', 0.15786083, u'whistle', 0.073438294]
[u'swimming_trunks', 0.30669165, u'bikini', 0.29058477, u'bathtub', 0.075270347]
[u'stage', 0.51245487, u'electric_guitar', 0.073076889, u'cello', 0.060176395]
[u'bikini', 0.45986554, u'brassiere', 0.20130236, u'miniskirt', 0.15382515]
[u'sunscreen', 0.29650494, u'bikini', 0.24769828, u'hair_spray', 0.11814934]
[u'bikini', 0.59603047, u'diaper', 0.31214502, u'brassiere', 0.069751531]
[u'swimming_trunks', 0.70299691, u'bikini', 0.052334823, u'starfish', 0.030084686]
[u'prison', 0.23931377, u'shoji', 0.20545787, u'iron', 0.064037971]
[u'bathing_cap', 0.44107938, u'bikini', 0.20827922, u'brassiere', 0.031179555]
[u'diaper', 0.4234862, u'bikini', 0.19299103, u'studio_couch', 0.11635346]
[u'bikini', 0.41366842, u'miniskirt', 0.10306296, u'maillot', 0.087123819]
[u'bikini', 0.39468145, u'swimming_trunks', 0.2664232, u'sunscreen', 0.19286376]
[u'brassiere', 0.28275371, u'bikini', 0.23977186, u'swimming_trunks', 0.23045905]
[u'brassiere', 0.45809925, u'bikini', 0.32188609, u'swimming_trunks', 0.097112]
[u'maillot', 0.21612994, u'shopping_cart', 0.075239718, u'sewing_machine', 0.055364445]
[u'gown', 0.14180094, u'cleaver', 0.093654558, u'bikini', 0.074477188]
[u'bikini', 0.12284193, u'swimming_trunks', 0.1176546, u'brassiere', 0.096126072]
[u'bikini', 0.26713234, u'maillot', 0.1491034, u'drum', 0.081802741]
[u'swimming_trunks', 0.36606956, u'bikini', 0.13191506, u'bathing_cap', 0.063212581]
[u'swimming_trunks', 0.41931525, u'sunscreen', 0.20766282, u'bikini', 0.10464452]
[u'bikini', 0.57707858, u'miniskirt', 0.17668837, u'maillot', 0.057289492]
[u'brassiere', 0.1588778, u'bikini', 0.1325101, u'swimming_trunks', 0.098680757]
[u'swimming_trunks', 0.34189215, u'bikini', 0.23655993, u'sunscreen', 0.088098824]
[u'valley', 0.051614631, u'mailbox', 0.051427331, u'croquet_ball', 0.03888154]
[u'bathing_cap', 0.25370347, u'swimming_trunks', 0.18596193, u'balance_beam', 0.11100662]
[u'bikini', 0.54218602, u'swimming_trunks', 0.15494283, u'maillot', 0.088215679]
[u'bikini', 0.56722581, u'pajama', 0.059088025, u'brassiere', 0.056938745]
[u'swimming_trunks', 0.3584286, u'bikini', 0.28994891, u'bathing_cap', 0.066678263]
[u'washer', 0.21747215, u'bikini', 0.20451295, u'maillot', 0.17787772]
[u'bathtub', 0.80042684, u'tub', 0.10415304, u'washbasin', 0.036316305]
[u'bathtub', 0.64287031, u'tub', 0.2916109, u'washbasin', 0.016426416]
[u'lab_coat', 0.1046949, u'hand_blower', 0.049882546, u'window_screen', 0.036896087]
[u'swimming_trunks', 0.16274309, u'bikini', 0.14352936, u'sarong', 0.11718179]
