[u'diaper', 0.56893682, u'carton', 0.12762931, u'quill', 0.063393176]
[u'miniskirt', 0.80280453, u'overskirt', 0.031118255, u'jersey', 0.025538268]
[u'lab_coat', 0.43924561, u'toilet_tissue', 0.17188889, u'bath_towel', 0.027931748]
[u'gown', 0.33538184, u'hoopskirt', 0.12010147, u'sarong', 0.10536163]
[u'trench_coat', 0.19671805, u'suit', 0.081267133, u'jean', 0.057976317]
[u'limousine', 0.14363018, u'minivan', 0.093395784, u'unicycle', 0.073687717]
[u'carousel', 0.29234967, u'paddlewheel', 0.039123561, u'prison', 0.036120631]
[u'miniskirt', 0.4247283, u'bathtub', 0.17455284, u'jean', 0.067210108]
[u'bathtub', 0.30329564, u'sunscreen', 0.1900062, u'tub', 0.12291835]
[u'brassiere', 0.95119166, u'bikini', 0.011406627, u'miniskirt', 0.0096955635]
[u'studio_couch', 0.20301662, u'jean', 0.10138056, u'gown', 0.082973644]
[u'diaper', 0.71280384, u'swimming_trunks', 0.10987535, u'jean', 0.03334941]
[u'stethoscope', 0.099600919, u'lab_coat', 0.090460747, u'diaper', 0.051283214]
[u'seat_belt', 0.29765609, u'limousine', 0.1727497, u'groom', 0.082207821]
[u'miniskirt', 0.90090108, u'jean', 0.031037558, u'brassiere', 0.019449146]
[u'miniskirt', 0.32863459, u'bikini', 0.14513367, u'tub', 0.031703375]
