[u'miniskirt', 0.17418617, u'diaper', 0.12301665, u'jean', 0.10209965, u'sandal', 0.071071677, u'neck_brace', 0.050129533]
[u'bikini', 0.60928804, u'brassiere', 0.16943635, u'maillot', 0.12161299, u'miniskirt', 0.021523036, u'sarong', 0.013103376]
[u'maillot', 0.23685992, u'maillot', 0.1157665, u'wig', 0.08697176, u'mask', 0.077738777, u'miniskirt', 0.074888021]
[u'earthstar', 0.31589475, u'bolete', 0.14101036, u'mushroom', 0.086313315, u'loggerhead', 0.061820026, u'hammerhead', 0.040401433]
[u'paper_towel', 0.40600041, u'ski_mask', 0.067282766, u'toilet_tissue', 0.039581042, u'stopwatch', 0.036479574, u'neck_brace', 0.033691086]
[u'wig', 0.19167906, u'tub', 0.13025248, u'bikini', 0.078179099, u'bathtub', 0.073229156, u'necklace', 0.059537437]
[u'vizsla', 0.27475366, u'macaque', 0.070540704, u'fountain', 0.06017803, u'bloodhound', 0.047331769, u'Rhodesian_ridgeback', 0.038754735]
[u'butternut_squash', 0.12639563, u'hog', 0.0976739, u'dough', 0.097532839, u'diaper', 0.055441655, u'conch', 0.041462507]
[u'tub', 0.22073412, u'bathtub', 0.20289534, u'bikini', 0.15894394, u'sunscreen', 0.075545944, u'tile_roof', 0.037895627]
[u'conch', 0.21889386, u'triceratops', 0.15395246, u'tub', 0.052051257, u'gyromitra', 0.046710916, u'barber_chair', 0.043920618]
[u'diaper', 0.10159157, u'pole', 0.081360534, u'cowboy_boot', 0.065697499, u'cuirass', 0.055198096, u'breastplate', 0.042416096]
[u'knee_pad', 0.46333814, u'maillot', 0.092913806, u'fountain', 0.057012409, u'diaper', 0.046552815, u'bikini', 0.043812305]
[u'fur_coat', 0.33075693, u'maillot', 0.12946144, u'maillot', 0.04024183, u'miniskirt', 0.038638603, u'punching_bag', 0.03216828]
[u'banjo', 0.12485215, u'accordion', 0.038986988, u'cowboy_hat', 0.031242253, u'cello', 0.030226137, u'china_cabinet', 0.028022619]
[u'bikini', 0.062501334, u'balance_beam', 0.054824691, u'fountain', 0.054722723, u'television', 0.034270611, u'unicycle', 0.033359546]
[u'miniskirt', 0.37984866, u'wig', 0.1145776, u'maillot', 0.11350913, u'maillot', 0.041888446, u'fur_coat', 0.029169675]
[u'German_short-haired_pointer', 0.26944759, u'triceratops', 0.14773327, u'chain_saw', 0.045014013, u'stretcher', 0.043414887, u'military_uniform', 0.028362406]
[u'bikini', 0.071932748, u'lumbermill', 0.068386272, u'miniskirt', 0.05484502, u'chest', 0.047394387, u'syringe', 0.029217722]
[u'wig', 0.065949567, u'syringe', 0.061620988, u'sock', 0.058897905, u'velvet', 0.041340936, u'nipple', 0.032165583]
[u'maillot', 0.55194724, u'gown', 0.11537369, u'miniskirt', 0.07252086, u'bikini', 0.048150856, u'maillot', 0.043741785]
[u'bathing_cap', 0.20045885, u'swimming_trunks', 0.19542681, u'maillot', 0.11495224, u'bikini', 0.066269502, u'shower_cap', 0.065740369]
[u'comic_book', 0.9945628, u'jigsaw_puzzle', 0.00089254661, u'volleyball', 0.00038141341, u'book_jacket', 0.00027759344, u'tray', 0.00024759586]
[u'bikini', 0.14587912, u'gasmask', 0.076314904, u'cowboy_hat', 0.073965028, u'cowboy_boot', 0.055343181, u'maillot', 0.049609967]
[u'swimming_trunks', 0.52298951, u'pool_table', 0.13170135, u'tub', 0.10078603, u'bathtub', 0.084173754, u'diaper', 0.058209557]
[u'bikini', 0.64411503, u'maillot', 0.10841769, u'bathing_cap', 0.03977327, u'brassiere', 0.033530291, u'maillot', 0.016192485]
[u'cowboy_boot', 0.088909134, u'sunglass', 0.077955976, u'sunglasses', 0.032121059, u'parachute', 0.029044248, u'snorkel', 0.025050603]
[u'spoonbill', 0.17798842, u'banded_gecko', 0.12610056, u'boa_constrictor', 0.07415124, u'frilled_lizard', 0.066993795, u'rock_python', 0.064988181]
[u'hair_spray', 0.10468233, u'limousine', 0.048287716, u'guillotine', 0.038530625, u'kimono', 0.034564067, u'groom', 0.029978352]
[u'tile_roof', 0.56199348, u'swimming_trunks', 0.089127183, u'bikini', 0.064161867, u'stretcher', 0.046562266, u'rock_crab', 0.01725466]
[u'bolete', 0.15365636, u'gyromitra', 0.10450161, u'hen-of-the-woods', 0.05836748, u'mushroom', 0.053691726, u'stingray', 0.041287836]
[u'tub', 0.15646927, u'groom', 0.10826997, u'bikini', 0.10267535, u'wig', 0.086548924, u'butcher_shop', 0.056263007]
[u'fur_coat', 0.2649554, u'brassiere', 0.094353721, u'maillot', 0.06842497, u'teddy', 0.058309428, u'tub', 0.039492775]
[u'maillot', 0.51118392, u'miniskirt', 0.22812839, u'maillot', 0.090082899, u'fur_coat', 0.051746193, u'brassiere', 0.04035328]
[u'bathing_cap', 0.3819187, u'bikini', 0.35344955, u'brassiere', 0.15094975, u'sunglass', 0.037146349, u'maillot', 0.019338563]
[u'maillot', 0.3452667, u'miniskirt', 0.12399742, u'maillot', 0.11477558, u'bikini', 0.071524382, u'wig', 0.048743676]
[u'bikini', 0.25667664, u'diaper', 0.25111145, u'bathing_cap', 0.10342722, u'miniskirt', 0.087492049, u'maillot', 0.04214602]
[u'bikini', 0.80743039, u'maillot', 0.048273381, u'maillot', 0.039280806, u'miniskirt', 0.028110016, u'sunscreen', 0.010528507]
[u'cowboy_hat', 0.067040406, u'swimming_trunks', 0.046314202, u'ice_lolly', 0.045853011, u'tricycle', 0.042421944, u'cowboy_boot', 0.040093224]
[u'comic_book', 0.27290726, u'tub', 0.17144711, u'swimming_trunks', 0.092073835, u'bathtub', 0.042652737, u'book_jacket', 0.032806277]
[u'common_iguana', 0.20035425, u'bikini', 0.10227742, u'artichoke', 0.09536732, u'bullfrog', 0.052291606, u'African_chameleon', 0.04854567]
[u'swimming_trunks', 0.29691845, u'bathing_cap', 0.12840769, u'sunscreen', 0.041574106, u'scuba_diver', 0.030739866, u'water_bottle', 0.023531836]
