[u'brassiere', 0.50592232, u'bikini', 0.24002506, u'swimming_trunks', 0.072918802, u'maillot', 0.070595503, u'maillot', 0.017529553]
[u'Siamese_cat', 0.069372229, u'swimming_trunks', 0.05901638, u'tub', 0.035909869, u'gown', 0.032086771, u'barrow', 0.022547342]
[u'tub', 0.23877183, u'studio_couch', 0.23852944, u'bikini', 0.14670378, u'miniskirt', 0.12238765, u'bathtub', 0.032052077]
[u'bathing_cap', 0.9651562, u'bikini', 0.0083605563, u'swimming_trunks', 0.0069569517, u'sunglass', 0.0065500834, u'maillot', 0.0027073366]
[u'bikini', 0.18916117, u'whippet', 0.1094452, u'Indian_cobra', 0.081628904, u'Italian_greyhound', 0.052710444, u'Ibizan_hound', 0.039645325]
[u'bikini', 0.80097204, u'maillot', 0.11661074, u'maillot', 0.02895819, u'sandal', 0.017509541, u'brassiere', 0.016847275]
[u'breastplate', 0.23849946, u'wig', 0.22572365, u'abaya', 0.14854342, u'chain_mail', 0.094084397, u'overskirt', 0.080793552]
[u"potter's_wheel", 0.23933393, u'solar_dish', 0.13842593, u'electric_ray', 0.079087302, u'cleaver', 0.053460732, u'sundial', 0.0355087]
[u'maillot', 0.31364271, u'bikini', 0.14256316, u'miniskirt', 0.085782938, u'maillot', 0.064205691, u'sunglass', 0.047725275]
[u'miniskirt', 0.20309399, u'bikini', 0.070118293, u'brassiere', 0.058404889, u'fur_coat', 0.057953861, u'breastplate', 0.048011616]
[u'American_lobster', 0.23965558, u'stretcher', 0.21265461, u'tile_roof', 0.16070223, u'prison', 0.054070607, u'centipede', 0.032349445]
[u'swimming_trunks', 0.14713286, u'bikini', 0.12423254, u'maillot', 0.12200255, u'slide_rule', 0.082062043, u'gown', 0.06972596]
[u'bikini', 0.23828711, u'cash_machine', 0.23168045, u'brassiere', 0.071624726, u'window_screen', 0.051594693, u'tub', 0.035505556]
[u'diaper', 0.80192024, u'hog', 0.093445338, u'piggy_bank', 0.051709171, u'gyromitra', 0.0060785953, u'bikini', 0.0043450668]
[u"potter's_wheel", 0.10365266, u'web_site', 0.063532017, u'bassoon', 0.058233853, u'comic_book', 0.050742216, u'book_jacket', 0.044331055]
[u'comic_book', 0.17713559, u'brassiere', 0.1114929, u'sarong', 0.088744417, u'toyshop', 0.055085719, u'stage', 0.045851365]
[u'crayfish', 0.39823508, u'scorpion', 0.3017315, u'spiny_lobster', 0.19508842, u'centipede', 0.016713958, u'American_lobster', 0.011560087]
[u'bikini', 0.90752536, u'maillot', 0.043482646, u'swimming_trunks', 0.023385271, u'maillot', 0.0059824372, u'tub', 0.0044560549]
[u'maillot', 0.26727831, u'comic_book', 0.080352284, u'maillot', 0.068867058, u'bikini', 0.053031322, u'pole', 0.046768967]
[u'jackfruit', 0.33971363, u'bikini', 0.29278389, u'diaper', 0.040008564, u'ear', 0.031542502, u'corn', 0.027459498]
[u'gyromitra', 0.33125594, u'conch', 0.19518583, u'hen-of-the-woods', 0.15693407, u'snail', 0.034119617, u'flatworm', 0.031541977]
[u'mask', 0.2920863, u'king_penguin', 0.16345648, u'tricycle', 0.075005814, u'sunglass', 0.032017648, u'snorkel', 0.029013557]
[u'rhinoceros_beetle', 0.69019842, u'bikini', 0.2374085, u'maillot', 0.01922995, u'ground_beetle', 0.014302826, u'cockroach', 0.0068990947]
[u'gyromitra', 0.39392218, u'eft', 0.16945128, u'pineapple', 0.028509676, u'vizsla', 0.022083674, u'starfish', 0.01790119]
