[u'miniskirt', 0.47004125, u'parallel_bars', 0.22950731, u'horizontal_bar', 0.16801077, u'maillot', 0.056067046, u'swing', 0.020564007]
[u'miniskirt', 0.61585528, u'tub', 0.16795316, u'maillot', 0.064565428, u'bikini', 0.044957075, u'bathtub', 0.03671113]
[u'bikini', 0.11204988, u'groom', 0.073272452, u'revolver', 0.051220927, u'swimming_trunks', 0.049445324, u'sunscreen', 0.04147042]
[u'miniskirt', 0.35299376, u'Loafer', 0.199385, u'velvet', 0.088577189, u'jean', 0.059252001, u'notebook', 0.029926151]
[u'miniskirt', 0.80075228, u'bikini', 0.054498062, u'maillot', 0.053596076, u'brassiere', 0.037413094, u'tub', 0.027254604]
[u'miniskirt', 0.62590104, u'overskirt', 0.070546143, u'gown', 0.055580333, u'cardigan', 0.045249924, u'hoopskirt', 0.037595414]
[u'bow_tie', 0.36143038, u'flute', 0.11085434, u'miniskirt', 0.11069059, u'sarong', 0.041602205, u'kimono', 0.03294054]
[u'swimming_trunks', 0.82954174, u'shoji', 0.076122336, u'diaper', 0.042648137, u'bathing_cap', 0.012141199, u'bikini', 0.011259743]
[u'stretcher', 0.12218172, u'ambulance', 0.061192177, u'moving_van', 0.052651308, u'miniskirt', 0.051687233, u'television', 0.035126373]
[u'tub', 0.20735779, u'refrigerator', 0.17862186, u'bathtub', 0.08738181, u'washer', 0.067538112, u'jean', 0.065542705]
[u'brassiere', 0.66928285, u'miniskirt', 0.24750836, u'maillot', 0.034608293, u'bikini', 0.011026235, u'pajama', 0.0058393478]
[u'diaper', 0.12916377, u'tub', 0.11958907, u'studio_couch', 0.099529058, u'miniskirt', 0.072046615, u'bathtub', 0.039698429]
[u'miniskirt', 0.80137694, u'maillot', 0.07672523, u'studio_couch', 0.037531402, u'jean', 0.027711423, u'maillot', 0.015806714]
[u'miniskirt', 0.48078027, u'studio_couch', 0.049176708, u'paper_towel', 0.03074619, u'apron', 0.028446645, u'wardrobe', 0.02458683]
