[u'bathtub', 0.14509931, u'tub', 0.1273475, u'pajama', 0.091301985, u'miniskirt', 0.043926589, u'lab_coat', 0.043523651]
[u'swing', 0.86192125, u'barbell', 0.057030536, u'power_drill', 0.015204074, u'dumbbell', 0.0099086529, u'horizontal_bar', 0.0074452837]
[u'notebook', 0.28985462, u'crossword_puzzle', 0.14973649, u'laptop', 0.14387307, u'pajama', 0.055926457, u"potter's_wheel", 0.037323013]
[u'miniskirt', 0.41009027, u'dishwasher', 0.077275187, u'toaster', 0.063231088, u'jean', 0.058333207, u'hand_blower', 0.037708499]
[u'brassiere', 0.28393543, u'bikini', 0.1095176, u'wig', 0.086012609, u'bathtub', 0.075572871, u'hair_spray', 0.073477082]
[u'maillot', 0.49757814, u'studio_couch', 0.099806845, u'bathtub', 0.074840605, u'maillot', 0.052304696, u'brassiere', 0.048630882]
[u'miniskirt', 0.47004125, u'parallel_bars', 0.22950731, u'horizontal_bar', 0.16801077, u'maillot', 0.056067046, u'swing', 0.020564007]
[u'miniskirt', 0.87900239, u'photocopier', 0.027872022, u'refrigerator', 0.014973539, u'feather_boa', 0.0089520803, u'mailbox', 0.0071788891]
[u'bikini', 0.11204988, u'groom', 0.073272452, u'revolver', 0.051220927, u'swimming_trunks', 0.049445324, u'sunscreen', 0.04147042]
[u'miniskirt', 0.80075228, u'bikini', 0.054498062, u'maillot', 0.053596076, u'brassiere', 0.037413094, u'tub', 0.027254604]
[u'miniskirt', 0.62590104, u'overskirt', 0.070546143, u'gown', 0.055580333, u'cardigan', 0.045249924, u'hoopskirt', 0.037595414]
[u'bow_tie', 0.36143038, u'flute', 0.11085434, u'miniskirt', 0.11069059, u'sarong', 0.041602205, u'kimono', 0.03294054]
[u'swimming_trunks', 0.82954174, u'shoji', 0.076122336, u'diaper', 0.042648137, u'bathing_cap', 0.012141199, u'bikini', 0.011259743]
[u'tub', 0.20735779, u'refrigerator', 0.17862186, u'bathtub', 0.08738181, u'washer', 0.067538112, u'jean', 0.065542705]
[u'miniskirt', 0.33114704, u'brassiere', 0.18899904, u'maillot', 0.12906782, u'bikini', 0.10978787, u'jean', 0.06584499]
[u'brassiere', 0.66928285, u'miniskirt', 0.24750836, u'maillot', 0.034608293, u'bikini', 0.011026235, u'pajama', 0.0058393478]
[u'bikini', 0.47120103, u'swimming_trunks', 0.1577104, u'diaper', 0.064181715, u'studio_couch', 0.054197498, u'sunscreen', 0.048667185]
[u'grand_piano', 0.23386082, u'upright', 0.12487514, u'notebook', 0.094236344, u'home_theater', 0.063517027, u'miniskirt', 0.0524855]
[u'apron', 0.10951027, u'iron', 0.087274656, u'gown', 0.082201071, u'groom', 0.060555808, u'refrigerator', 0.050678123]
[u'miniskirt', 0.48078027, u'studio_couch', 0.049176708, u'paper_towel', 0.03074619, u'apron', 0.028446645, u'wardrobe', 0.02458683]
[u'bikini', 0.77618396, u'brassiere', 0.12006379, u'maillot', 0.077180788, u'diaper', 0.017026847, u'gown', 0.0030259429]
[u'bathtub', 0.24419554, u'washer', 0.14841579, u'toilet_tissue', 0.13354729, u'tub', 0.10878989, u'toilet_seat', 0.097394742]
[u'bathtub', 0.2742691, u'studio_couch', 0.089499146, u'tub', 0.061900903, u'shower_curtain', 0.061750963, u'bath_towel', 0.05825787]
[u'maillot', 0.44691211, u'bikini', 0.40838453, u'maillot', 0.10395007, u'tub', 0.0086547155, u'limousine', 0.0067955996]
[u'bikini', 0.83324367, u'maillot', 0.072124325, u'brassiere', 0.05058394, u'tub', 0.012108116, u'sarong', 0.012039101]
[u'studio_couch', 0.56361163, u'miniskirt', 0.077305973, u'jean', 0.058755107, u'maillot', 0.042149987, u'pajama', 0.042058073]
[u'diaper', 0.35790297, u'miniskirt', 0.20178907, u'brassiere', 0.0526703, u'cowboy_boot', 0.026332313, u'sunscreen', 0.019849082]
[u'dumbbell', 0.89355874, u'barbell', 0.098568335, u'knee_pad', 0.0013669387, u'maillot', 0.0010013439, u'miniskirt', 0.00077058852]
[u'maillot', 0.42702651, u'bikini', 0.21942776, u'maillot', 0.20024659, u'miniskirt', 0.023436271, u'feather_boa', 0.018412312]
[u'brassiere', 0.48278025, u'maillot', 0.22016551, u'miniskirt', 0.21217863, u'bikini', 0.041187696, u'maillot', 0.022853725]
[u'tub', 0.4450039, u'bathtub', 0.30947375, u'bath_towel', 0.058266412, u'shower_curtain', 0.051622659, u'maillot', 0.040353458]
[u'jean', 0.14103951, u'studio_couch', 0.080430321, u'maillot', 0.06389045, u'sunscreen', 0.046067413, u'maillot', 0.045659903]
[u'balance_beam', 0.44110474, u'barbell', 0.11182781, u'punching_bag', 0.075365879, u'dumbbell', 0.068491563, u'horizontal_bar', 0.041283231]
[u'bikini', 0.38433778, u'maillot', 0.15094711, u'diaper', 0.12678164, u'miniskirt', 0.057709992, u'tub', 0.048425835]
[u'neck_brace', 0.20360707, u'miniskirt', 0.098668218, u'knee_pad', 0.090601698, u'swing', 0.076148346, u'cowboy_boot', 0.069166839]
[u'miniskirt', 0.97710037, u'hoopskirt', 0.012904664, u'brassiere', 0.0044955122, u'overskirt', 0.0013391438, u'sandal', 0.00088693597]
[u'Band_Aid', 0.16135216, u'fur_coat', 0.038086303, u'nipple', 0.034218848, u'Pomeranian', 0.026145732, u'remote_control', 0.025829766]
[u'maillot', 0.2730875, u'swimming_trunks', 0.23346697, u'miniskirt', 0.091539524, u'maillot', 0.082110301, u'diaper', 0.054419253]
[u'miniskirt', 0.26334816, u'jean', 0.13046406, u'hoopskirt', 0.11855234, u'gown', 0.078309752, u'sarong', 0.023202799]
[u'lab_coat', 0.43924561, u'toilet_tissue', 0.17188889, u'bath_towel', 0.027931748, u'iron', 0.027914839, u'wardrobe', 0.022051455]
[u'limousine', 0.14363018, u'minivan', 0.093395784, u'unicycle', 0.073687717, u'car_wheel', 0.038939133, u'toilet_tissue', 0.038872533]
[u'diaper', 0.88937765, u'bath_towel', 0.023315575, u'swimming_trunks', 0.019395841, u'tub', 0.012806512, u'studio_couch', 0.008903374]
[u'maillot', 0.25035718, u'maillot', 0.15676233, u'miniskirt', 0.12337399, u'studio_couch', 0.071730785, u'tub', 0.053121783]
[u'miniskirt', 0.4247283, u'bathtub', 0.17455284, u'jean', 0.067210108, u'maillot', 0.054044303, u'tub', 0.049548078]
[u'diaper', 0.4136126, u'studio_couch', 0.23907445, u'bath_towel', 0.065121949, u'maillot', 0.058244426, u'four-poster', 0.039361432]
[u'miniskirt', 0.99629897, u'jean', 0.0032400878, u'cowboy_boot', 0.00013074088, u'maillot', 4.4129363e-05, u'maillot', 3.2287455e-05]
[u'bikini', 0.13995032, u'groom', 0.11269749, u'diaper', 0.083152175, u'stethoscope', 0.070027426, u'binoculars', 0.03596982]
[u'studio_couch', 0.099000081, u'bow_tie', 0.077934042, u'stethoscope', 0.062874712, u'neck_brace', 0.058427151, u'swimming_trunks', 0.046587251]
