[u'tub', 0.26073334, u'swimming_trunks', 0.21879447, u'bathtub', 0.18305036, u'bikini', 0.14659356, u'maillot', 0.088313736]
[u'bikini', 0.35899538, u'maillot', 0.22420196, u'maillot', 0.20965013, u'comic_book', 0.13836427, u'crossword_puzzle', 0.042031031]
[u'comic_book', 0.2092986, u'crate', 0.10518474, u'revolver', 0.063637167, u'accordion', 0.045469895, u'cash_machine', 0.040391076]
[u'comic_book', 0.83983862, u'brassiere', 0.041518621, u'bikini', 0.03905588, u'hair_spray', 0.026344372, u'maillot', 0.0070281173]
[u'comic_book', 0.79779887, u'jean', 0.090415262, u'bookshop', 0.01599578, u'brassiere', 0.012695986, u'sunglasses', 0.0082450956]
[u'comic_book', 0.64909762, u'sombrero', 0.08530701, u'umbrella', 0.076976866, u'shower_cap', 0.054080147, u'punching_bag', 0.0093467375]
[u'brassiere', 0.54667991, u'miniskirt', 0.16850019, u'maillot', 0.15111895, u'bikini', 0.042125609, u'knee_pad', 0.011367045]
[u'comic_book', 0.52443177, u'French_horn', 0.097589426, u'jean', 0.083854757, u'pajama', 0.052578665, u'brassiere', 0.040093802]
[u'bikini', 0.75335699, u'comic_book', 0.061592642, u'sunglasses', 0.044861507, u'swimming_trunks', 0.037059572, u'maillot', 0.029466243]
[u'comic_book', 0.86176771, u'lipstick', 0.016789414, u'pick', 0.016685134, u'web_site', 0.014152241, u'French_horn', 0.0082415333]
[u'comic_book', 0.83001089, u'brassiere', 0.13817126, u'toilet_seat', 0.009743806, u'Dungeness_crab', 0.0027701098, u'refrigerator', 0.0025043667]
[u'brassiere', 0.47994751, u'bikini', 0.2065406, u'tub', 0.068653613, u'seat_belt', 0.02372602, u'bathtub', 0.016638014]
[u'bikini', 0.2350878, u'brassiere', 0.17758055, u'maillot', 0.1052703, u'drum', 0.063077696, u'swimming_trunks', 0.034068797]
[u'bikini', 0.99396282, u'maillot', 0.0053071487, u'brassiere', 0.00044481322, u'miniskirt', 0.0001661884, u'volleyball', 3.4156034e-05]
[u'comic_book', 0.99280155, u'bikini', 0.0011343929, u'book_jacket', 0.0010437022, u'swimming_trunks', 0.00081762136, u'dishwasher', 0.00064058858]
[u'comic_book', 0.34605882, u'bikini', 0.27413911, u'crossword_puzzle', 0.23100197, u'maillot', 0.045267411, u'swimming_trunks', 0.02502659]
[u'comic_book', 0.93338716, u'slot', 0.03994713, u'web_site', 0.010514408, u'book_jacket', 0.0070374231, u'jigsaw_puzzle', 0.005289569]
[u'comic_book', 0.74906868, u'bikini', 0.026128812, u'web_site', 0.019309718, u'tub', 0.018908877, u'studio_couch', 0.018246505]
[u'miniskirt', 0.36282018, u'bikini', 0.28375039, u'crossword_puzzle', 0.098038226, u'comic_book', 0.070191897, u'maillot', 0.053869084]
[u'comic_book', 0.61396861, u'web_site', 0.11277946, u'menu', 0.078724496, u'crossword_puzzle', 0.048266541, u'envelope', 0.028697215]
[u'brassiere', 0.11515939, u'barbell', 0.097208649, u'rifle', 0.092232034, u'tricycle', 0.080112182, u'banjo', 0.065807857]
[u'maillot', 0.45928901, u'bikini', 0.20416816, u'tub', 0.062934987, u'maillot', 0.062066965, u'brassiere', 0.05343169]
[u'comic_book', 0.56985533, u'crossword_puzzle', 0.41387659, u'web_site', 0.004833906, u'toilet_seat', 0.0036770385, u'menu', 0.00087846117]
[u'bikini', 0.54973412, u'comic_book', 0.10541686, u'maillot', 0.10505526, u'brassiere', 0.094784334, u'swimming_trunks', 0.073443912]
[u'comic_book', 0.9037413, u'envelope', 0.023009341, u'web_site', 0.015429677, u'brassiere', 0.013509232, u'maillot', 0.0046803858]
[u'swimming_trunks', 0.36975721, u'comic_book', 0.20057677, u'sarong', 0.088979945, u'maillot', 0.070988975, u'maillot', 0.053189337]
[u'pole', 0.37748197, u'banjo', 0.089621954, u'maillot', 0.060420327, u'brassiere', 0.038520165, u'chain', 0.030294828]
[u'brassiere', 0.27806515, u'maillot', 0.22806385, u'maillot', 0.20840938, u'miniskirt', 0.11679285, u'gown', 0.033770628]
[u'comic_book', 0.23914473, u'sombrero', 0.15821914, u'brassiere', 0.08632905, u'cowboy_hat', 0.083218031, u'tub', 0.038615957]
[u'brassiere', 0.64322728, u'bikini', 0.25563645, u'swimming_trunks', 0.048827652, u'comic_book', 0.017706767, u'maillot', 0.0056497268]
[u'comic_book', 0.86408079, u'perfume', 0.025760744, u'lipstick', 0.011977128, u'oxygen_mask', 0.0091826832, u'paintbrush', 0.0072059697]
[u'jean', 0.39540368, u'carton', 0.29598612, u'projector', 0.059085999, u'apron', 0.019845556, u'web_site', 0.019653613]
[u'bikini', 0.28839114, u'comic_book', 0.2092218, u'fountain', 0.13452733, u'Indian_elephant', 0.059720512, u'book_jacket', 0.031585626]
