[u'miniskirt', 0.51621908, u'maillot', 0.06667842, u'neck_brace', 0.062114026, u'limousine', 0.049863685, u'swing', 0.022986345]
[u'bikini', 0.50172186, u'maillot', 0.11302083, u'maillot', 0.05897864, u'miniskirt', 0.052523516, u'tub', 0.032849748]
[u'comic_book', 0.87116635, u'pajama', 0.015177082, u'jigsaw_puzzle', 0.014080878, u'studio_couch', 0.0099682631, u'theater_curtain', 0.0096363267]
[u'comic_book', 0.97793317, u'jigsaw_puzzle', 0.017658349, u'book_jacket', 0.0017426984, u'slot', 0.00053612457, u'web_site', 0.00045856551]
[u'comic_book', 0.59904379, u'jellyfish', 0.082216546, u'mask', 0.065505691, u'theater_curtain', 0.046655733, u'flatworm', 0.021361051]
[u'bikini', 0.24521537, u'swimming_trunks', 0.17865063, u'brassiere', 0.12741567, u'sandal', 0.037397332, u'diaper', 0.034837529]
[u'hair_slide', 0.25213179, u'snorkel', 0.15854281, u'bathing_cap', 0.1564513, u'bikini', 0.034884941, u'tub', 0.026891952]
[u'bikini', 0.39901209, u'maillot', 0.073237829, u'brassiere', 0.064176664, u'sarong', 0.054316297, u'maillot', 0.040438171]
[u'military_uniform', 0.14134914, u'American_alligator', 0.051198538, u'Dungeness_crab', 0.037594467, u'bulletproof_vest', 0.033457004, u'spiny_lobster', 0.028171593]
[u'maillot', 0.44630873, u'bikini', 0.1344564, u'dumbbell', 0.093195736, u'comic_book', 0.05576165, u'maillot', 0.04796363]
[u'maillot', 0.62874186, u'maillot', 0.2645435, u'bikini', 0.10549481, u'miniskirt', 0.00071071275, u'brassiere', 0.00013459493]
[u'gyromitra', 0.47603765, u'beaver', 0.049211267, u'orangutan', 0.046009265, u'chimpanzee', 0.022456925, u'gorilla', 0.019185688]
[u'swimming_trunks', 0.25464681, u'bathing_cap', 0.11300886, u'pedestal', 0.061885402, u'fountain', 0.05768406, u'comic_book', 0.057550561]
[u'bathing_cap', 0.62524068, u'wig', 0.22603938, u'swimming_trunks', 0.052079666, u'bikini', 0.049132105, u'barbell', 0.0079729846]
[u'comic_book', 0.29677284, u'pole', 0.091113113, u'balance_beam', 0.055018183, u'parallel_bars', 0.032906193, u'horizontal_bar', 0.029235631]
[u'wig', 0.39607814, u'breastplate', 0.25058261, u'abaya', 0.081999861, u'overskirt', 0.043387089, u'chain_mail', 0.031592876]
[u'diaper', 0.41318837, u'toyshop', 0.2070201, u'piggy_bank', 0.10419726, u'bikini', 0.092229001, u'teddy', 0.069136038]
[u'hair_slide', 0.21060319, u'buckle', 0.1255241, u'coil', 0.099731922, u'packet', 0.07357762, u'plate_rack', 0.058749262]
[u'bikini', 0.73532516, u'maillot', 0.073453069, u'maillot', 0.068306528, u'brassiere', 0.044153098, u'paddle', 0.0072087436]
[u'bikini', 0.41164866, u'volleyball', 0.30638486, u'maillot', 0.16740878, u'maillot', 0.05547921, u'swimming_trunks', 0.019570025]
[u'maillot', 0.4465743, u'miniskirt', 0.24184842, u'maillot', 0.045494094, u'seat_belt', 0.037264582, u'breastplate', 0.030973723]
[u'comic_book', 0.97252232, u'book_jacket', 0.024661886, u'envelope', 0.0011207587, u'handkerchief', 0.00017722647, u'bib', 0.00014022909]
[u'half_track', 0.44136211, u'tractor', 0.07073687, u'tank', 0.054737195, u'tricycle', 0.03819241, u'toyshop', 0.025550632]
[u'tub', 0.35511452, u'bikini', 0.3188619, u'maillot', 0.082718983, u'swimming_trunks', 0.066695988, u'maillot', 0.050292607]
[u'throne', 0.22555083, u'brassiere', 0.20161733, u'breastplate', 0.16524424, u'cuirass', 0.081897207, u'miniskirt', 0.055243623]
[u'bikini', 0.51622623, u'maillot', 0.081188731, u'tub', 0.079516031, u'brassiere', 0.06728337, u'sunscreen', 0.038860492]
[u'bikini', 0.47852445, u'maillot', 0.20274816, u'volleyball', 0.060328837, u'comic_book', 0.053892046, u'brassiere', 0.044737808]
[u'bikini', 0.18324274, u'maillot', 0.1674297, u'swimming_trunks', 0.13742347, u'bathing_cap', 0.05495673, u'maillot', 0.041349694]
