[u'bikini', 0.14976612, u'stole', 0.094850332, u'fur_coat', 0.07125178, u'sunglasses', 0.060869686, u'sunscreen', 0.042892326]
[u'wig', 0.25095746, u'hair_spray', 0.04552865, u'barbershop', 0.022126134, u'loupe', 0.021195155, u'gasmask', 0.019743906]
[u'swimming_trunks', 0.81447715, u'diaper', 0.034230419, u'mousetrap', 0.014813094, u'bathtub', 0.013914295, u'tub', 0.013656585]
[u'wig', 0.18482232, u'bikini', 0.18159443, u'maillot', 0.04304719, u'diaper', 0.036211137, u'hair_spray', 0.034133274]
[u'bathtub', 0.26137999, u'tub', 0.21276018, u'brassiere', 0.11709385, u'diaper', 0.077993587, u'shower_cap', 0.033967622]
[u'wig', 0.26775166, u'bathing_cap', 0.2563659, u'tub', 0.2050319, u'bathtub', 0.062466767, u'shower_cap', 0.061512914]
[u'swing', 0.52998298, u'miniskirt', 0.089635976, u'diaper', 0.059405141, u'brassiere', 0.054192364, u'knee_pad', 0.049860824]
[u'bikini', 0.48787013, u'swimming_trunks', 0.20896682, u'sunscreen', 0.077673078, u'diaper', 0.054700881, u'maillot', 0.024334325]
[u'stole', 0.22170149, u'poncho', 0.1376182, u'overskirt', 0.10622016, u'cardigan', 0.063854925, u'hoopskirt', 0.050218005]
[u'swimming_trunks', 0.48342901, u'diaper', 0.34111422, u'brassiere', 0.044954542, u'bath_towel', 0.020881392, u'bikini', 0.015966391]
[u'shower_cap', 0.28521767, u'bath_towel', 0.092757925, u'tub', 0.078611143, u'bathtub', 0.068993397, u'brassiere', 0.044082388]
[u'diaper', 0.65331668, u'swimming_trunks', 0.18241967, u'brassiere', 0.029446432, u'bath_towel', 0.027940141, u'shower_cap', 0.0180774]
[u'maillot', 0.46888962, u'shower_cap', 0.11811712, u'bathing_cap', 0.084795825, u'maillot', 0.083964959, u'swimming_trunks', 0.064103208]
[u'miniskirt', 0.88047761, u'diaper', 0.039277159, u'jean', 0.0068530277, u'cowboy_boot', 0.006009975, u'cardigan', 0.0049951426]
[u'tub', 0.6320194, u'bathtub', 0.22664663, u'swimming_trunks', 0.064393468, u'bath_towel', 0.027566457, u'washbasin', 0.011646619]
[u'maillot', 0.50950849, u'maillot', 0.29720783, u'miniskirt', 0.13394316, u'bikini', 0.040927175, u'diaper', 0.0027811213]
