[u'abaya', 0.38009825, u'feather_boa', 0.091668345, u'stage', 0.082618393, u'bubble', 0.080915242, u'kimono', 0.048673037]
[u'gown', 0.059704021, u'panpipe', 0.051589068, u'chain_saw', 0.041890752, u'tricycle', 0.04054926, u'miniskirt', 0.037024997]
[u'web_site', 0.99572635, u'brassiere', 0.001266483, u'television', 0.00078410434, u'bikini', 0.0002917228, u'comic_book', 0.00021228488]
[u'web_site', 0.9902491, u'abaya', 0.0018350253, u'lipstick', 0.0012484693, u'brassiere', 0.00063607114, u'neck_brace', 0.0004717393]
[u'comic_book', 0.46780124, u'book_jacket', 0.33402798, u'abaya', 0.15346505, u'bookshop', 0.0051075537, u'cloak', 0.0045527639]
[u'web_site', 0.93580651, u'comic_book', 0.0071301316, u'plunger', 0.0070324345, u'sunglasses', 0.0034543704, u'oxygen_mask', 0.0025673849]
[u'pajama', 0.15885168, u'jean', 0.093027465, u'flute', 0.073125899, u'suit', 0.032636922, u'stole', 0.027736781]
[u'piggy_bank', 0.42868659, u'plunger', 0.15438399, u'basketball', 0.14037666, u'croquet_ball', 0.052247532, u'flamingo', 0.022999341]
[u'lipstick', 0.49389169, u'jean', 0.10845739, u'gown', 0.09770409, u'web_site', 0.060891677, u'hair_spray', 0.053570215]
[u'maillot', 0.12403463, u'ice_lolly', 0.12338857, u'maillot', 0.10627705, u'diaper', 0.081463762, u'brassiere', 0.076530382]
[u'bikini', 0.48492762, u'maillot', 0.070296131, u'breastplate', 0.060114503, u'cowboy_boot', 0.055294368, u'maillot', 0.039588962]
[u'bikini', 0.82675064, u'brassiere', 0.10533874, u'swimming_trunks', 0.025016638, u'sunscreen', 0.016744727, u'maillot', 0.0089280419]
[u'volleyball', 0.29590318, u'brassiere', 0.18693855, u'web_site', 0.064755976, u'bikini', 0.059917849, u'vizsla', 0.01934514]
[u'miniskirt', 0.15134217, u'jean', 0.10296966, u'sunglasses', 0.1014997, u'sunglass', 0.079463601, u'bow_tie', 0.076700643]
[u'Band_Aid', 0.44089445, u'hair_spray', 0.06587825, u'face_powder', 0.041619126, u'lotion', 0.036436185, u'kimono', 0.035544753]
[u'web_site', 0.97680533, u'hair_spray', 0.0034697382, u'brassiere', 0.0034665067, u'menu', 0.0025491794, u'comic_book', 0.0019386606]
[u'bathtub', 0.4926213, u'bath_towel', 0.18177794, u'tub', 0.15717219, u'shower_curtain', 0.064508438, u'swimming_trunks', 0.015504912]
[u'web_site', 0.9979074, u'television', 0.00055824179, u'stethoscope', 0.00039575229, u'stopwatch', 0.00016463618, u'monitor', 0.00013131138]
[u'web_site', 0.92619914, u'swimming_trunks', 0.010531355, u'bathing_cap', 0.0060631223, u'menu', 0.0056283073, u'suspension_bridge', 0.0055891452]
[u'web_site', 0.86280376, u'Madagascar_cat', 0.024140626, u'tripod', 0.020977201, u'oscilloscope', 0.011669176, u'book_jacket', 0.0061670593]
[u'web_site', 0.99993801, u'monitor', 2.4112916e-05, u'menu', 1.4249025e-05, u'television', 6.3128741e-06, u'comic_book', 3.0470958e-06]
[u'brassiere', 0.4049243, u'bikini', 0.28942719, u'web_site', 0.2399255, u'maillot', 0.025012376, u'dumbbell', 0.015509401]
[u'web_site', 0.45144537, u'toyshop', 0.048769444, u'stage', 0.044566896, u'brassiere', 0.043576788, u'sunglasses', 0.032857444]
[u'web_site', 0.10632174, u'bikini', 0.08723098, u'brassiere', 0.071389347, u'hair_spray', 0.070724912, u'scorpion', 0.042016469]
[u'seashore', 0.27602783, u'bikini', 0.254774, u'maillot', 0.15214063, u'swimming_trunks', 0.11916523, u'maillot', 0.052962326]
[u'sarong', 0.22882791, u'swimming_trunks', 0.18475552, u'gown', 0.088537, u'brassiere', 0.046693999, u'bikini', 0.040784251]
[u'bikini', 0.67774642, u'tub', 0.14486614, u'brassiere', 0.10383948, u'sarong', 0.012835647, u'bathtub', 0.010050555]
