[u'academic_gown', 0.3539888, u'mortarboard', 0.11479528, u'bow', 0.098734893, u'bassoon', 0.049800333, u'military_uniform', 0.042457856]
[u'hand-held_computer', 0.14313215, u'academic_gown', 0.095270216, u'bassoon', 0.074974746, u'hammer', 0.073659211, u'drumstick', 0.073449515]
[u'seashore', 0.3864724, u'umbrella', 0.30938673, u'palace', 0.069671027, u'fountain', 0.021423083, u'carousel', 0.016210133]
[u'dock', 0.36428335, u'castle', 0.12591241, u'fountain', 0.10239418, u'palace', 0.04534122, u'submarine', 0.030143796]
[u'altar', 0.30153605, u'vestment', 0.19584477, u'church', 0.097222127, u'vault', 0.07989049, u'mosque', 0.076822162]
[u'fountain', 0.63121289, u'castle', 0.12006845, u'palace', 0.095773943, u'stupa', 0.035650384, u'ear', 0.023471219]
[u'canoe', 0.93928438, u'speedboat', 0.017709536, u'paddle', 0.013200155, u'seashore', 0.0099956933, u'sandbar', 0.0076661347]
[u'palace', 0.91814679, u'monastery', 0.032158121, u'church', 0.015672348, u'fountain', 0.0092245257, u'pedestal', 0.0079728821]
[u'gong', 0.1308459, u'television', 0.11373077, u'drum', 0.097223625, u'acoustic_guitar', 0.03994824, u'bib', 0.031731319]
[u'academic_gown', 0.83557743, u'mortarboard', 0.083613746, u'bow_tie', 0.02426636, u'bassoon', 0.0223742, u'oboe', 0.008556691]
[u'castle', 0.65673804, u'palace', 0.12731144, u'church', 0.044809759, u'altar', 0.030599887, u'pinwheel', 0.027913295]
[u'castle', 0.40697098, u'palace', 0.38495794, u'church', 0.075443193, u'monastery', 0.047791217, u'bell_cote', 0.013530328]
[u'palace', 0.71419179, u'fountain', 0.087336823, u'mosque', 0.05951516, u'dome', 0.040301435, u'castle', 0.025773467]
[u'torch', 0.20549226, u'stage', 0.13632885, u'vestment', 0.12667692, u'balloon', 0.059515644, u'theater_curtain', 0.054024182]
[u'stage', 0.12167607, u'miniskirt', 0.085921593, u'theater_curtain', 0.045960419, u'bearskin', 0.040492754, u'suit', 0.036667801]
[u'seashore', 0.94924498, u'wreck', 0.025241937, u'sandbar', 0.0075686178, u'swing', 0.0041587818, u'lakeside', 0.0033339113]
[u'church', 0.18632618, u'fountain', 0.1410367, u'palace', 0.10013301, u'dock', 0.083324656, u'castle', 0.080313556]
[u'streetcar', 0.43448833, u'jinrikisha', 0.065551832, u'ashcan', 0.033733282, u'palace', 0.032588754, u'triumphal_arch', 0.030088492]
[u'academic_gown', 0.51476461, u'mortarboard', 0.18436337, u'library', 0.062922217, u'prison', 0.056877311, u'vestment', 0.039128091]
[u'suspension_bridge', 0.37671113, u'pier', 0.34114903, u'castle', 0.05648784, u'fountain', 0.046547059, u'breakwater', 0.0405818]
[u'castle', 0.53381169, u'palace', 0.20742123, u'church', 0.067243353, u'monastery', 0.062454425, u'fountain', 0.031847518]
[u'church', 0.7224853, u'fountain', 0.084087603, u'streetcar', 0.04575048, u'castle', 0.035088047, u'cab', 0.023027044]
[u'vestment', 0.72991753, u'lab_coat', 0.19768979, u'groom', 0.028661733, u'kimono', 0.016726518, u'gown', 0.0088008251]
[u'throne', 0.29044056, u'vault', 0.18351568, u'monastery', 0.045663416, u'library', 0.045442857, u'altar', 0.04416595]
[u'miniskirt', 0.1935948, u'stage', 0.095359288, u'theater_curtain', 0.053389832, u'balance_beam', 0.050914481, u'Afghan_hound', 0.032595601]
[u'church', 0.63296843, u'altar', 0.27893153, u'vault', 0.019041905, u'academic_gown', 0.015229501, u'palace', 0.012586879]
[u'seashore', 0.68609244, u'promontory', 0.28987688, u'cliff', 0.0060087829, u'sandbar', 0.0059128054, u'beacon', 0.0027941971]
[u'suit', 0.28061718, u'bassoon', 0.082339138, u'Windsor_tie', 0.045476437, u'cornet', 0.043274753, u'bulletproof_vest', 0.032841325]
[u'vestment', 0.29836383, u'kimono', 0.1800905, u'stage', 0.099647865, u'theater_curtain', 0.074357152, u'bow', 0.031995527]
[u'streetcar', 0.33766478, u'fire_engine', 0.31643865, u'cab', 0.12079233, u'minibus', 0.067772388, u'trolleybus', 0.038649399]
[u'vestment', 0.22682188, u'steel_drum', 0.15576681, u'kimono', 0.11320288, u'mask', 0.097808726, u'French_horn', 0.028638689]
[u'restaurant', 0.45955124, u'academic_gown', 0.1457189, u'cello', 0.046479605, u'prison', 0.025708457, u'violin', 0.018802468]
[u'castle', 0.28002393, u'jigsaw_puzzle', 0.12736198, u'tile_roof', 0.1177186, u'church', 0.090034716, u'dome', 0.079719946]
[u'military_uniform', 0.39550504, u'oboe', 0.11774905, u'bassoon', 0.093166173, u'bulletproof_vest', 0.055341974, u'cornet', 0.049482398]
[u'stage', 0.64424109, u'theater_curtain', 0.28930059, u'vestment', 0.011975782, u'cornet', 0.011128685, u'violin', 0.0040952717]
[u'valley', 0.17012797, u'castle', 0.10826932, u'lakeside', 0.099167317, u'promontory', 0.05378858, u'stone_wall', 0.052443877]
[u'theater_curtain', 0.34002715, u'stage', 0.20845255, u'unicycle', 0.05647378, u'grand_piano', 0.045427319, u'altar', 0.035307948]
[u'vestment', 0.4188101, u'stage', 0.14625794, u'torch', 0.082940578, u'theater_curtain', 0.065553792, u'oboe', 0.024228109]
[u'stage', 0.73201829, u'mortarboard', 0.18495986, u'academic_gown', 0.033336826, u'theater_curtain', 0.014267185, u'balance_beam', 0.0046810983]
[u'seashore', 0.25874937, u'jigsaw_puzzle', 0.21851058, u'dock', 0.16429192, u'lakeside', 0.13792598, u'pier', 0.02540734]
[u'alp', 0.31286359, u'volcano', 0.26753214, u'pinwheel', 0.064495295, u'seashore', 0.024729289, u'valley', 0.016260028]
[u'theater_curtain', 0.61948287, u'drum', 0.080482759, u'wall_clock', 0.026635509, u'bassoon', 0.022494361, u'vestment', 0.017781084]
[u'academic_gown', 0.1591416, u'abacus', 0.13157755, u'rifle', 0.10836071, u'library', 0.053010613, u'military_uniform', 0.051804602]
