[u'brassiere', 0.28824988, u'miniskirt', 0.11947574, u'maillot', 0.11478348, u'bikini', 0.034474473, u'swing', 0.032733917]
[u'tub', 0.27846447, u'bathtub', 0.23871632, u'bikini', 0.082321554, u'swimming_trunks', 0.062795289, u'shower_cap', 0.044120949]
[u'television', 0.85215598, u'screen', 0.079918355, u'monitor', 0.028368084, u'web_site', 0.0058716582, u'window_screen', 0.0032917769]
[u'seat_belt', 0.67111039, u'neck_brace', 0.083419181, u'oxygen_mask', 0.042057633, u'convertible', 0.023478892, u'go-kart', 0.019211166]
[u'library', 0.27741545, u'cash_machine', 0.1577428, u'bulletproof_vest', 0.07977847, u'vending_machine', 0.078074642, u'bookshop', 0.051628064]
[u'military_uniform', 0.55280054, u'bulletproof_vest', 0.11353937, u'tench', 0.061276976, u'pickelhaube', 0.02624936, u'bow', 0.011446649]
[u'shower_cap', 0.24234541, u'bikini', 0.18406484, u'bathing_cap', 0.12531702, u'brassiere', 0.091645256, u'sarong', 0.055398472]
[u'brassiere', 0.25084606, u'four-poster', 0.12343914, u'diaper', 0.076963805, u'bikini', 0.065863065, u'studio_couch', 0.040527783]
[u'brassiere', 0.11941409, u'hair_spray', 0.11614601, u'bathtub', 0.075416155, u'hand_blower', 0.073784314, u'face_powder', 0.034877814]
[u'swimming_trunks', 0.45636663, u'diaper', 0.3294225, u'television', 0.027870288, u'photocopier', 0.011865279, u'bath_towel', 0.011210361]
[u'diaper', 0.23557232, u'brassiere', 0.04595558, u'titi', 0.040067501, u'candle', 0.039297491, u'Italian_greyhound', 0.034015406]
[u'swimming_trunks', 0.83211803, u'bathing_cap', 0.026892394, u'maillot', 0.026506465, u'diaper', 0.026082605, u'bikini', 0.017215924]
[u'diaper', 0.43318376, u'bonnet', 0.10813825, u'brassiere', 0.048979368, u'sombrero', 0.032488547, u'bikini', 0.030664846]
[u'triceratops', 0.34296736, u'prison', 0.10612593, u'butcher_shop', 0.084748335, u'organ', 0.062865451, u'cleaver', 0.044167466]
[u'studio_couch', 0.11879113, u'miniskirt', 0.11825524, u'quilt', 0.097302921, u'shower_cap', 0.084502779, u'neck_brace', 0.084053807]
[u'maillot', 0.32450801, u'brassiere', 0.10999243, u'breastplate', 0.092644028, u'maillot', 0.088010468, u'bikini', 0.070476569]
[u'bikini', 0.61900145, u'brassiere', 0.22334857, u'comic_book', 0.021140682, u'miniskirt', 0.014317528, u'maillot', 0.013281433]
[u'bikini', 0.12371797, u'swimming_trunks', 0.056442916, u'bathtub', 0.055303194, u'sunscreen', 0.054937281, u'bathing_cap', 0.049662068]
[u'bikini', 0.54618555, u'bathing_cap', 0.33899108, u'maillot', 0.041167408, u'maillot', 0.016131816, u'swimming_trunks', 0.015751258]
[u'bikini', 0.50784147, u'cash_machine', 0.063528843, u'brassiere', 0.050295632, u'swimming_trunks', 0.040142488, u'sarong', 0.029084932]
[u'Windsor_tie', 0.17642038, u'cash_machine', 0.086736299, u'jean', 0.08356528, u'suit', 0.071596019, u'neck_brace', 0.023637639]
[u'swimming_trunks', 0.32681766, u'shower_cap', 0.087502524, u'dumbbell', 0.07032387, u'cowboy_hat', 0.070167176, u'miniskirt', 0.052249625]
[u'shower_cap', 0.39103135, u'bathing_cap', 0.29102883, u'swimming_trunks', 0.12692423, u'diaper', 0.10809523, u'bikini', 0.030423753]
[u'pajama', 0.16316806, u'studio_couch', 0.16094306, u'stretcher', 0.15072456, u'swimming_trunks', 0.14356419, u'bikini', 0.11436935]
[u'overskirt', 0.15697616, u'Italian_greyhound', 0.11546385, u'abaya', 0.10113601, u'Weimaraner', 0.07792598, u'hoopskirt', 0.047168158]
[u'diaper', 0.51618522, u'candle', 0.10671296, u'swimming_trunks', 0.023074862, u'stethoscope', 0.020533308, u'nipple', 0.01462031]
[u'swimming_trunks', 0.39023271, u'bathing_cap', 0.34422547, u'barbell', 0.086088471, u'bikini', 0.019895773, u'dumbbell', 0.019037114]
[u'pole', 0.36068597, u'brassiere', 0.12710205, u'bikini', 0.1138054, u'barbell', 0.10980523, u'dumbbell', 0.030892575]
[u'bikini', 0.77627832, u'maillot', 0.082328685, u'maillot', 0.047985133, u'swimming_trunks', 0.032344036, u'brassiere', 0.019983083]
