[u'toyshop', 0.22906709, u'sombrero', 0.20174597, u'mask', 0.18953057, u'Arabian_camel', 0.036151249, u'carousel', 0.024187915]
[u'comic_book', 0.35773164, u'book_jacket', 0.10126212, u'bookshop', 0.082950398, u'volleyball', 0.045746021, u'restaurant', 0.042457279]
[u'miniskirt', 0.47331217, u'overskirt', 0.26272786, u'hoopskirt', 0.080983743, u'chain_mail', 0.057227507, u'breastplate', 0.048109896]
[u'barbell', 0.1747871, u'brassiere', 0.10612815, u'miniskirt', 0.10485771, u'dumbbell', 0.08828254, u'maillot', 0.038475465]
[u'panpipe', 0.85441786, u'comic_book', 0.11446199, u'matchstick', 0.0052796216, u'brassiere', 0.0036637406, u'carousel', 0.0022116823]
[u'sunglass', 0.15150398, u'maillot', 0.13003625, u'brassiere', 0.11449488, u'sunglasses', 0.081382982, u'bikini', 0.072753608]
[u'swab', 0.37913674, u'paddle', 0.19096874, u'bikini', 0.084179081, u'plunger', 0.041460503, u'broom', 0.039447658]
[u'starfish', 0.36233094, u'comic_book', 0.27940029, u'jigsaw_puzzle', 0.085266821, u'screen', 0.04512088, u'television', 0.042972725]
[u'wig', 0.34164086, u'lipstick', 0.33985618, u'mask', 0.1173796, u'comic_book', 0.03422058, u'syringe', 0.013684198]
[u'swimming_trunks', 0.69966382, u'bathing_cap', 0.045165226, u'dumbbell', 0.028823862, u'bikini', 0.027961181, u'diaper', 0.02547738]
[u'bikini', 0.71167678, u'chain', 0.11218163, u'maillot', 0.070275754, u'necklace', 0.023584189, u'maillot', 0.014734716]
[u'steam_locomotive', 0.27299127, u'breastplate', 0.080517918, u'vault', 0.032143906, u'passenger_car', 0.030551856, u'cuirass', 0.029845163]
[u'syringe', 0.21703784, u'neck_brace', 0.16721365, u'oxygen_mask', 0.12030573, u'gasmask', 0.040421255, u'snorkel', 0.029176444]
[u'brassiere', 0.16971888, u'maillot', 0.16358154, u'lipstick', 0.056041479, u'bikini', 0.052606195, u'bow', 0.046491202]
[u'bikini', 0.76042283, u'maillot', 0.14970101, u'maillot', 0.028316038, u'bathing_cap', 0.0068533672, u'rock_crab', 0.0062118727]
[u'carousel', 0.34429964, u'banded_gecko', 0.057633005, u'comic_book', 0.040446859, u'plane', 0.031367499, u'lumbermill', 0.030675694]
[u"potter's_wheel", 0.5595668, u'lumbermill', 0.099473082, u'chain_saw', 0.04990904, u'assault_rifle', 0.046970196, u'cowboy_boot', 0.029814927]
[u'bikini', 0.38972285, u'tub', 0.077646613, u'diaper', 0.055181254, u'maillot', 0.037579853, u'butternut_squash', 0.032332879]
[u'bikini', 0.46490586, u'tub', 0.20055796, u'maillot', 0.19991215, u'swimming_trunks', 0.032531749, u'bathtub', 0.025078582]
[u'ski_mask', 0.54811126, u'mask', 0.18874326, u'gasmask', 0.053802345, u'syringe', 0.022188282, u'comic_book', 0.015251521]
[u'brassiere', 0.54752141, u'bikini', 0.35641119, u'maillot', 0.039513305, u'barbell', 0.010186592, u'volleyball', 0.0063192169]
[u'bikini', 0.37464163, u'brassiere', 0.13202341, u'diaper', 0.065824904, u'neck_brace', 0.06566608, u'sandal', 0.053185925]
[u'bathing_cap', 0.38520873, u'feather_boa', 0.15412427, u'wig', 0.091805115, u'cloak', 0.06484089, u'theater_curtain', 0.044853702]
[u'comic_book', 0.52078414, u'bikini', 0.1695932, u'butcher_shop', 0.062037248, u'book_jacket', 0.056166533, u'swimming_trunks', 0.047651827]
[u'miniskirt', 0.42415163, u'volleyball', 0.13452126, u'knee_pad', 0.045279957, u'brassiere', 0.044198625, u'dumbbell', 0.02597193]
[u'comic_book', 0.16852997, u'acoustic_guitar', 0.16157722, u'pick', 0.13590188, u'maillot', 0.076229833, u'bikini', 0.059692819]
[u'tub', 0.42721695, u'bathtub', 0.35098734, u'bikini', 0.078026757, u'maillot', 0.047394589, u'brassiere', 0.024437161]
[u'muzzle', 0.20103788, u'gasmask', 0.081104465, u'neck_brace', 0.051191643, u'brassiere', 0.037495885, u'oxygen_mask', 0.029469728]
[u'pole', 0.90758395, u'crutch', 0.062226862, u'torch', 0.0053356597, u'miniskirt', 0.0042756414, u'scabbard', 0.0028566129]
[u'brassiere', 0.27796769, u'maillot', 0.13745946, u'maillot', 0.08629559, u'sarong', 0.075655602, u'hoopskirt', 0.072057404]
[u'bikini', 0.12058572, u'miniskirt', 0.070976317, u'cellular_telephone', 0.032137275, u'cuirass', 0.026232881, u'ocarina', 0.025078613]
[u'lumbermill', 0.39500508, u'redbone', 0.20252246, u'brassiere', 0.062307101, u'upright', 0.049420457, u'bikini', 0.030215595]
[u'brassiere', 0.66960227, u'bikini', 0.26247045, u'maillot', 0.028930416, u'maillot', 0.010870293, u'barbell', 0.0029912782]
[u'jean', 0.3305589, u'miniskirt', 0.08524055, u'brassiere', 0.082126372, u'maillot', 0.066703543, u'bikini', 0.024358895]
[u'garbage_truck', 0.82831764, u'crate', 0.038142458, u'stretcher', 0.031294234, u'shopping_cart', 0.017202582, u'ashcan', 0.015968157]
[u'pole', 0.31007317, u'horizontal_bar', 0.17586495, u'balance_beam', 0.12476069, u'volleyball', 0.09335468, u'barbell', 0.03483732]
[u'miniskirt', 0.46432459, u'brassiere', 0.057490647, u'theater_curtain', 0.054299515, u'swimming_trunks', 0.050946184, u'pole', 0.03422014]
[u'web_site', 0.40392187, u'brassiere', 0.35535973, u'bikini', 0.032172054, u'menu', 0.015363594, u'book_jacket', 0.014432753]
[u'bikini', 0.90602124, u'brassiere', 0.046827901, u'maillot', 0.024332833, u'bathing_cap', 0.010318539, u'maillot', 0.0040094899]
[u'sunglasses', 0.45549384, u'seat_belt', 0.21239232, u'sunglass', 0.068187542, u'stole', 0.037696924, u'fur_coat', 0.032997418]
[u'maillot', 0.50771612, u'maillot', 0.27462569, u'bikini', 0.18527338, u'miniskirt', 0.011679224, u'brassiere', 0.0043862886]
[u'volleyball', 0.20568573, u'brassiere', 0.1657778, u'bikini', 0.137375, u'bathing_cap', 0.086071096, u'swimming_trunks', 0.070705555]
[u'bikini', 0.34203741, u'maillot', 0.16039658, u'iron', 0.039989654, u'dumbbell', 0.026345881, u'tub', 0.021286391]
[u'bikini', 0.30903524, u'maillot', 0.24856061, u'cuirass', 0.073621102, u'perfume', 0.035821598, u'gasmask', 0.029675376]
[u'comic_book', 0.80416811, u'web_site', 0.10958271, u'book_jacket', 0.029493727, u'television', 0.010557714, u'jigsaw_puzzle', 0.0028795302]
[u'stage', 0.24153127, u'balance_beam', 0.21115729, u'butcher_shop', 0.12616453, u'comic_book', 0.12196618, u'maillot', 0.070646524]
[u'bow', 0.91569513, u'revolver', 0.067169517, u'window_screen', 0.003270153, u'soap_dispenser', 0.0016474308, u'prison', 0.0014734787]
[u'swing', 0.9832024, u'chain', 0.011690034, u'maillot', 0.0016759043, u'scale', 0.0014462747, u'bikini', 0.0011974487]
[u'altar', 0.2562795, u'gong', 0.23343283, u'harp', 0.10270011, u'groom', 0.082582481, u'vestment', 0.031028619]
[u'cardigan', 0.23692895, u'brassiere', 0.12799229, u'chain_mail', 0.099396944, u'overskirt', 0.081298754, u'jean', 0.054450516]
[u'maillot', 0.42508978, u'miniskirt', 0.24660587, u'bikini', 0.079525188, u'tub', 0.036518894, u'cowboy_boot', 0.035891432]
[u'comic_book', 0.66770083, u'tobacco_shop', 0.10264211, u"carpenter's_kit", 0.027970258, u'joystick', 0.024819499, u'toyshop', 0.020315753]
[u'book_jacket', 0.44583577, u'bow', 0.14054897, u'picket_fence', 0.038325254, u'tusker', 0.030540476, u'Indian_elephant', 0.028971866]
[u'punching_bag', 0.56991309, u'horizontal_bar', 0.14331652, u'parallel_bars', 0.065956123, u'swimming_trunks', 0.042128265, u'dumbbell', 0.039833061]
[u'miniskirt', 0.68920928, u'comic_book', 0.099259339, u'book_jacket', 0.026304191, u'bookshop', 0.019153539, u'wig', 0.013125652]
[u'brassiere', 0.41077167, u'bikini', 0.2670193, u'maillot', 0.13792077, u'maillot', 0.030978281, u'limousine', 0.030693593]
[u'bikini', 0.24596664, u'brassiere', 0.13810723, u'revolver', 0.084909603, u'maillot', 0.059276942, u'maillot', 0.04530726]
[u'wig', 0.2189455, u'hair_slide', 0.1144005, u'lipstick', 0.098927982, u'Band_Aid', 0.089039721, u'sombrero', 0.054505304]
[u'swimming_trunks', 0.41794795, u'plane', 0.058815762, u'dumbbell', 0.058104102, u'syringe', 0.021680392, u'loupe', 0.017846785]
[u'bikini', 0.78671503, u'brassiere', 0.17067486, u'maillot', 0.017299091, u'barbell', 0.0037914037, u'dumbbell', 0.0037395998]
[u'wig', 0.22233459, u'breastplate', 0.071934663, u'tub', 0.068687491, u'chain_saw', 0.021061992, u'bow', 0.016877923]
[u'gown', 0.75236624, u'overskirt', 0.15473141, u'hoopskirt', 0.061080348, u'water_jug', 0.0088561848, u'bath_towel', 0.0037435268]
[u'breastplate', 0.37909171, u'bow_tie', 0.18675917, u'miniskirt', 0.14030609, u'brassiere', 0.048231002, u'cuirass', 0.045012008]
[u'pole', 0.33896798, u'brassiere', 0.1394908, u'bow', 0.13102424, u'horizontal_bar', 0.066284381, u'swing', 0.064806357]
[u'swing', 0.8754409, u'miniskirt', 0.031548031, u'rifle', 0.0061446521, u'maillot', 0.0050346344, u'seat_belt', 0.0036998694]
[u'brassiere', 0.54931444, u'hair_spray', 0.061187282, u'refrigerator', 0.023903117, u'punching_bag', 0.015951969, u'bath_towel', 0.015762778]
[u'moped', 0.063920341, u'bow', 0.061978478, u'assault_rifle', 0.053885311, u'bulletproof_vest', 0.053820498, u'bearskin', 0.040471975]
[u'bikini', 0.13268425, u'swimming_trunks', 0.11471273, u'maillot', 0.066761397, u'wig', 0.049435392, u'dumbbell', 0.041756745]
[u'chain_saw', 0.12045952, u'loupe', 0.096490107, u'bathing_cap', 0.055027399, u'punching_bag', 0.048035081, u'tub', 0.043639738]
[u'bikini', 0.30573958, u'maillot', 0.26194823, u'maillot', 0.19881047, u'swimming_trunks', 0.083327077, u'brassiere', 0.057091106]
[u'maillot', 0.22379676, u'swing', 0.12672742, u'syringe', 0.070867039, u'maillot', 0.055727664, u'bikini', 0.038313959]
[u'chain', 0.76004362, u'syringe', 0.042942565, u'necklace', 0.03599697, u'perfume', 0.014535543, u'safety_pin', 0.012903674]
[u'pickup', 0.79365569, u'tow_truck', 0.044304315, u'convertible', 0.041876655, u'beach_wagon', 0.033488929, u'limousine', 0.0232029]
[u'bikini', 0.11203963, u'miniskirt', 0.081853867, u'swimming_trunks', 0.052160393, u'diaper', 0.045663539, u'maillot', 0.036208905]
[u'bikini', 0.43584254, u'maillot', 0.33949474, u'maillot', 0.085692778, u'brassiere', 0.02515235, u'neck_brace', 0.022421209]
