[u'parachute', 0.15845996, u'pole', 0.13472411, u'spiny_lobster', 0.050160464, u'maypole', 0.049146716, u'monarch', 0.048478272]
[u'comic_book', 0.98746103, u'jigsaw_puzzle', 0.010304884, u'book_jacket', 0.0005214127, u'tray', 0.00027833111, u'coffee_mug', 0.00020713026]
[u'brassiere', 0.52327257, u'comic_book', 0.10313886, u'bikini', 0.064939216, u'throne', 0.043269448, u'mask', 0.017792758]
[u'swimming_trunks', 0.26727253, u'brassiere', 0.23409884, u'diaper', 0.145493, u'bikini', 0.081114382, u'television', 0.019708633]
[u'loupe', 0.57399392, u'comic_book', 0.13096249, u'brassiere', 0.090306088, u'crash_helmet', 0.061781824, u'oxygen_mask', 0.026928054]
[u'paper_towel', 0.33782288, u'toilet_tissue', 0.10330131, u'feather_boa', 0.095887609, u'maillot', 0.09448684, u'brassiere', 0.07207936]
[u'swimming_trunks', 0.43275753, u'diaper', 0.15144263, u'bath_towel', 0.10460485, u'sunscreen', 0.064230919, u'bikini', 0.040241744]
[u'mask', 0.84736973, u'comic_book', 0.059673458, u'ski_mask', 0.021728564, u'totem_pole', 0.011435057, u'maillot', 0.0093377046]
[u'comic_book', 0.82781553, u'toilet_tissue', 0.022186453, u'book_jacket', 0.017525773, u'envelope', 0.012838416, u'toilet_seat', 0.011900029]
[u'rotisserie', 0.094810322, u'revolver', 0.089677505, u'dishwasher', 0.080675974, u'television', 0.05977571, u'microwave', 0.057967551]
[u'wig', 0.94782931, u'ice_lolly', 0.0044049202, u'lipstick', 0.0035330688, u'bath_towel', 0.0033291932, u'diaper', 0.0031998926]
[u'comic_book', 0.99723864, u'book_jacket', 0.00093347055, u'envelope', 0.00076117855, u'menu', 0.00027337772, u'binder', 0.0001478879]
[u'bikini', 0.34086648, u'brassiere', 0.1425343, u'maillot', 0.097883761, u'swimming_trunks', 0.049932592, u'maillot', 0.040926568]
[u'cuirass', 0.30049968, u'breastplate', 0.19690438, u'shield', 0.10180796, u'chain_mail', 0.10024602, u'miniskirt', 0.057037245]
[u'comic_book', 0.98307598, u'coffee_mug', 0.0029462648, u'envelope', 0.0024785795, u'web_site', 0.0023159683, u'book_jacket', 0.0015297402]
[u'bookcase', 0.53737253, u'home_theater', 0.067783706, u'bookshop', 0.066795602, u'entertainment_center', 0.049399976, u'library', 0.042949252]
[u'comic_book', 0.78133953, u'book_jacket', 0.045527063, u'web_site', 0.012978647, u'toilet_seat', 0.007977563, u'macaw', 0.0060923737]
[u'bikini', 0.42850906, u'maillot', 0.16347003, u'tub', 0.087807573, u'bathtub', 0.055225145, u'swimming_trunks', 0.037026145]
[u'shield', 0.59263247, u'lumbermill', 0.11628388, u'gong', 0.047006372, u'chain_saw', 0.046317078, u'frying_pan', 0.042264942]
[u'bikini', 0.28477946, u'swimming_trunks', 0.11208977, u'sunscreen', 0.065607391, u'bathing_cap', 0.044279631, u'diaper', 0.031155517]
[u'bikini', 0.17921987, u'maillot', 0.15404639, u'studio_couch', 0.087710232, u'swimming_trunks', 0.085619047, u'maillot', 0.085210942]
[u'sombrero', 0.22951512, u'cowboy_hat', 0.09317027, u'web_site', 0.089028195, u'sunglasses', 0.023989189, u'bikini', 0.02169114]
[u'mask', 0.41764465, u'abaya', 0.1654496, u'maillot', 0.1009211, u'brassiere', 0.082431011, u'ski_mask', 0.031189539]
[u'maillot', 0.38914448, u'tub', 0.13880336, u'bikini', 0.10060067, u'maillot', 0.067663036, u'diaper', 0.03931817]
