[u'bikini', 0.29870993, u'brassiere', 0.19847617, u'swimming_trunks', 0.19515529, u'maillot', 0.11865181, u'maillot', 0.090913475]
[u'brassiere', 0.52702808, u'gown', 0.2262603, u'maillot', 0.043341339, u'pajama', 0.021954959, u'groom', 0.021562111]
[u'bikini', 0.82043642, u'brassiere', 0.11718696, u'maillot', 0.039370093, u'volleyball', 0.0047161751, u'swimming_trunks', 0.003095543]
[u'throne', 0.26615986, u'malinois', 0.11362079, u'theater_curtain', 0.068675026, u'Mexican_hairless', 0.054985933, u'altar', 0.033550352]
[u'bikini', 0.18300334, u'face_powder', 0.16325608, u'sunscreen', 0.10081107, u'mushroom', 0.078431591, u'volleyball', 0.038580757]
[u'bikini', 0.28062347, u'swimming_trunks', 0.19307856, u'brassiere', 0.051552176, u'tub', 0.042141698, u'maillot', 0.041351818]
[u'breastplate', 0.26989135, u'overskirt', 0.15020341, u'miniskirt', 0.1177488, u'cuirass', 0.086524956, u'hoopskirt', 0.07955461]
[u'dough', 0.087349147, u'quill', 0.053319287, u'hen-of-the-woods', 0.052702472, u'paper_towel', 0.052666295, u'paintbrush', 0.045614924]
[u'swimming_trunks', 0.44219783, u'bikini', 0.41504568, u'maillot', 0.052300356, u'brassiere', 0.017760409, u'maillot', 0.014141332]
[u'bikini', 0.51419306, u'brassiere', 0.35911149, u'sarong', 0.045881525, u'maillot', 0.030210141, u'swimming_trunks', 0.025538787]
[u'bikini', 0.40067053, u'brassiere', 0.37593487, u'tub', 0.020410666, u'maillot', 0.019577589, u'candle', 0.018259235]
[u'bikini', 0.34135327, u'maillot', 0.16961826, u'maillot', 0.12526132, u'comic_book', 0.091962963, u'brassiere', 0.060421951]
[u'bikini', 0.52391744, u'mask', 0.11046705, u'wig', 0.067902811, u'maillot', 0.052693393, u'brassiere', 0.0322088]
[u'window_screen', 0.16700843, u'loudspeaker', 0.07904467, u'sliding_door', 0.069912218, u'wardrobe', 0.055528328, u'shoji', 0.043334182]
[u'toilet_tissue', 0.53793257, u'paper_towel', 0.42797226, u'pencil_sharpener', 0.0085567636, u'toilet_seat', 0.0059686806, u'barbell', 0.0015741553]
[u'bikini', 0.72228879, u'brassiere', 0.091356762, u'maillot', 0.067014523, u'diaper', 0.060386989, u'maillot', 0.012940499]
