[u'bikini', 0.40907955, u'chain', 0.17261031, u'scale', 0.12939954, u'maillot', 0.075674415, u'whistle', 0.021205379]
[u'walking_stick', 0.63507301, u'bow', 0.045126237, u'bikini', 0.035883576, u'wig', 0.029561309, u'oxygen_mask', 0.02427328]
[u'shoji', 0.18184321, u'syringe', 0.15280873, u'screwdriver', 0.076919459, u'bikini', 0.064023674, u'barbell', 0.06141901]
[u'sandal', 0.13680838, u'brassiere', 0.1317372, u'miniskirt', 0.045861334, u'bikini', 0.042330686, u'pole', 0.041012075]
[u'stretcher', 0.61504805, u'maillot', 0.078162752, u'barber_chair', 0.06895411, u'bikini', 0.067510299, u'rifle', 0.041237142]
[u'bathing_cap', 0.18495302, u'bikini', 0.15257482, u'swimming_trunks', 0.11801295, u'brassiere', 0.049725909, u'sunglasses', 0.034907743]
[u'water_bottle', 0.16124943, u'bubble', 0.14722912, u'pop_bottle', 0.069632851, u'television', 0.067147963, u'perfume', 0.065534584]
[u'marimba', 0.21967036, u'projectile', 0.15395468, u'military_uniform', 0.060188986, u'cannon', 0.057618573, u'drum', 0.044028401]
[u'corkscrew', 0.17622092, u'pole', 0.091798238, u'dumbbell', 0.089283302, u'unicycle', 0.073720396, u'knee_pad', 0.052400045]
[u'pole', 0.29248026, u'horizontal_bar', 0.21459518, u'maillot', 0.20854317, u'bikini', 0.078546546, u'maillot', 0.024885323]
[u'cannon', 0.93971086, u'rifle', 0.033919055, u'projectile', 0.020618696, u'missile', 0.0025660906, u'military_uniform', 0.0014136283]
[u'cowboy_hat', 0.2153073, u'maillot', 0.18804687, u'bikini', 0.085759468, u'brassiere', 0.055858288, u'alp', 0.037398994]
[u'maillot', 0.52846318, u'maillot', 0.23444083, u'balance_beam', 0.083809979, u'pole', 0.050153725, u'bikini', 0.040717371]
[u'brassiere', 0.52219921, u'bikini', 0.28600106, u'diaper', 0.036734454, u'maillot', 0.027524799, u'maillot', 0.022812661]
[u'solar_dish', 0.27675557, u'drum', 0.15263268, u'shield', 0.11953377, u'comic_book', 0.077165253, u'harp', 0.029037831]
[u'stretcher', 0.33651057, u'bikini', 0.14919542, u'sandal', 0.081874214, u'neck_brace', 0.067474023, u'miniskirt', 0.047267538]
[u'piggy_bank', 0.3386597, u'mask', 0.15637043, u'breastplate', 0.10789935, u'comic_book', 0.10041647, u'soap_dispenser', 0.070460975]
[u'maillot', 0.53659052, u'bikini', 0.10713413, u'pole', 0.075344719, u'barbell', 0.048768234, u'bathing_cap', 0.040036842]
[u'bikini', 0.2637392, u'prison', 0.17939968, u'dumbbell', 0.075536683, u'maillot', 0.065687642, u'miniskirt', 0.061128486]
[u'bathing_cap', 0.24753504, u'maillot', 0.17614135, u'brassiere', 0.078763492, u'pole', 0.060029007, u'bikini', 0.058147885]
[u'bikini', 0.65712982, u'brassiere', 0.1530167, u'miniskirt', 0.1373269, u'maillot', 0.014005391, u'sandal', 0.0065904837]
[u'bikini', 0.40918452, u'maillot', 0.063139401, u'maillot', 0.058400135, u'brassiere', 0.057735778, u'web_site', 0.056568548]
[u'chain', 0.41767558, u'bikini', 0.2880199, u'maillot', 0.086868659, u'necklace', 0.047378901, u'sombrero', 0.041205768]
[u'pole', 0.43258068, u'miniskirt', 0.16445787, u'stretcher', 0.072300449, u'bikini', 0.056418803, u'maillot', 0.043174874]
[u'dumbbell', 0.22170027, u'balance_beam', 0.17983566, u'horizontal_bar', 0.12421157, u'punching_bag', 0.055213988, u'candle', 0.044005841]
[u'pole', 0.53617465, u'scabbard', 0.34785163, u'letter_opener', 0.020152075, u'street_sign', 0.019037398, u'hook', 0.011651508]
[u'barbell', 0.42333281, u'horizontal_bar', 0.16302748, u'dumbbell', 0.10278916, u'pole', 0.045745239, u'parallel_bars', 0.040842667]
[u'plow', 0.85511154, u'tricycle', 0.10978651, u'ox', 0.014715224, u'oxcart', 0.0034242987, u'mountain_bike', 0.0021628956]
[u'maillot', 0.23216864, u'swimming_trunks', 0.12737805, u'brassiere', 0.098312482, u'window_screen', 0.07942681, u'maillot', 0.061373975]
[u'comic_book', 0.072478257, u'cello', 0.056514423, u'harmonica', 0.051148977, u'pole', 0.041268107, u'crutch', 0.040230382]
