[u'bikini', 0.32321236, u'diaper', 0.2488692, u'swimming_trunks', 0.10920455, u'brassiere', 0.097902, u'maillot', 0.070051529]
[u'maillot', 0.13312317, u'tile_roof', 0.1251284, u'comic_book', 0.079197504, u'maillot', 0.065646112, u'sandal', 0.065261163]
[u'steam_locomotive', 0.37538943, u'fountain', 0.19355004, u'cuirass', 0.11510487, u'electric_fan', 0.069708586, u'breastplate', 0.063942701]
[u'accordion', 0.37070301, u'banjo', 0.24622631, u'acoustic_guitar', 0.10571908, u'flute', 0.066692032, u'cornet', 0.024052145]
[u'whippet', 0.32751489, u'Saluki', 0.20664637, u'Ibizan_hound', 0.14504972, u'Great_Dane', 0.092620462, u'Italian_greyhound', 0.030488828]
[u'bikini', 0.19238168, u'brassiere', 0.074465469, u'sarong', 0.067414984, u'maillot', 0.053172719, u'miniskirt', 0.050532673]
[u'bikini', 0.7707718, u'brassiere', 0.069411948, u'tub', 0.032564539, u'maillot', 0.030795077, u"potter's_wheel", 0.014240892]
[u'bikini', 0.32842681, u'brassiere', 0.075390123, u'seat_belt', 0.064699017, u'candle', 0.052100532, u'television', 0.036795635]
[u'bikini', 0.11450795, u'Indian_cobra', 0.045844868, u'barber_chair', 0.038043451, u'motor_scooter', 0.030428853, u'butcher_shop', 0.019402776]
[u'Dungeness_crab', 0.35650092, u'king_crab', 0.26546821, u'rock_crab', 0.080861524, u'spiny_lobster', 0.050006118, u'stretcher', 0.046311174]
[u'bikini', 0.3674655, u'sandal', 0.18874292, u'maillot', 0.14786978, u'miniskirt', 0.090715863, u'brassiere', 0.061513573]
[u'hourglass', 0.11497385, u'oxygen_mask', 0.090512499, u'hoopskirt', 0.068204418, u'gong', 0.039680734, u'custard_apple', 0.037629522]
[u'plunger', 0.091305099, u'toilet_seat', 0.062031653, u'solar_dish', 0.055831123, u'drilling_platform', 0.033471767, u'punching_bag', 0.031193586]
[u'swimming_trunks', 0.35013807, u'bathing_cap', 0.17157233, u'bikini', 0.061324224, u'prison', 0.04581986, u'diaper', 0.038036678]
[u'swimming_trunks', 0.59706336, u'bikini', 0.16888908, u'maillot', 0.14127314, u'maillot', 0.051433254, u'bathing_cap', 0.010191085]
[u'bikini', 0.56923538, u'maillot', 0.18581684, u'tub', 0.080168061, u'maillot', 0.067600079, u'prison', 0.034134518]
[u'vizsla', 0.64293003, u'swimming_trunks', 0.051479325, u'Italian_greyhound', 0.043966807, u'American_Staffordshire_terrier', 0.040128097, u'Ibizan_hound', 0.031672452]
[u'brassiere', 0.45047951, u'bikini', 0.4242422, u'maillot', 0.07054875, u'maillot', 0.026405292, u'miniskirt', 0.0042973924]
[u'comic_book', 0.21314821, u'bikini', 0.10641537, u'television', 0.072533786, u'maillot', 0.058190007, u'brassiere', 0.057293404]
[u'mousetrap', 0.47848883, u'ear', 0.11973829, u'lumbermill', 0.065497883, u'seat_belt', 0.050096039, u'corn', 0.038140781]
[u'bikini', 0.15336081, u'brassiere', 0.069596566, u'bow', 0.057756875, u'balance_beam', 0.053593669, u'volleyball', 0.048554968]
[u'bikini', 0.53242654, u'maillot', 0.19827743, u'snorkel', 0.0274361, u'maillot', 0.026720803, u'ambulance', 0.018247578]
[u'maillot', 0.48140857, u'brassiere', 0.12318166, u'maillot', 0.10912988, u'bikini', 0.090648122, u'volleyball', 0.051584028]
[u'bathing_cap', 0.33602679, u'balance_beam', 0.099547438, u'maillot', 0.083081216, u'swimming_trunks', 0.078726806, u'brassiere', 0.055789795]
[u'bikini', 0.8128944, u'maillot', 0.090310313, u'brassiere', 0.041519195, u'maillot', 0.01567862, u'swimming_trunks', 0.0063407188]
[u'hoopskirt', 0.13278782, u'bikini', 0.091659911, u'fountain', 0.075944543, u'table_lamp', 0.056156479, u'comic_book', 0.051718406]
[u'bathing_cap', 0.18017507, u'fountain', 0.14843796, u'swimming_trunks', 0.11120629, u'bikini', 0.10891754, u'brassiere', 0.056805167]
[u'comic_book', 0.15960495, u'bathing_cap', 0.0738599, u"jack-o'-lantern", 0.062431663, u'candle', 0.056293834, u'grocery_store', 0.044186361]
[u'bikini', 0.66404808, u'maillot', 0.10603602, u'maillot', 0.058487605, u'brassiere', 0.035270907, u'triceratops', 0.023495737]
[u'shower_cap', 0.10158525, u"potter's_wheel", 0.098893389, u'toilet_seat', 0.097006194, u'drum', 0.064420387, u'plunger', 0.057888184]
[u'swimming_trunks', 0.49092066, u'bathing_cap', 0.39189994, u'bikini', 0.028976655, u'maillot', 0.020620137, u'crossword_puzzle', 0.01588385]
[u'prison', 0.16460268, u'punching_bag', 0.085703515, u'breastplate', 0.083988324, u'brassiere', 0.064906128, u'balloon', 0.044781875]
[u'banjo', 0.96273595, u'drum', 0.020662174, u'drumstick', 0.0041648694, u'gong', 0.0025017601, u'maraca', 0.001413345]
[u'dragonfly', 0.16076496, u'bikini', 0.13050395, u'tub', 0.084037423, u'bathtub', 0.075874045, u'comic_book', 0.06730593]
[u'candle', 0.72973579, u'lighter', 0.044607025, u'lipstick', 0.03202739, u'matchstick', 0.029331075, u'theater_curtain', 0.02169738]
[u'bikini', 0.42417827, u'maillot', 0.41684797, u'brassiere', 0.074119553, u'swimming_trunks', 0.028702226, u'miniskirt', 0.0216232]
[u'balance_beam', 0.22749661, u'pole', 0.071761437, u'night_snake', 0.059745338, u'nematode', 0.058730029, u'horizontal_bar', 0.054552209]
[u'saltshaker', 0.067831844, u'cucumber', 0.048958726, u'sandal', 0.04530048, u'comic_book', 0.039818235, u'snorkel', 0.037277129]
[u'cleaver', 0.17781636, u'cash_machine', 0.15752545, u'electric_ray', 0.099388525, u'Petri_dish', 0.050290477, u'slide_rule', 0.048410717]
[u'jigsaw_puzzle', 0.43089223, u'comic_book', 0.11298127, u'swimming_trunks', 0.083183721, u'tray', 0.04167635, u'book_jacket', 0.035819069]
[u'Chihuahua', 0.21036632, u'bikini', 0.097831756, u'horizontal_bar', 0.074798197, u'Arabian_camel', 0.068351328, u'bathing_cap', 0.057215925]
[u'bathing_cap', 0.36089322, u'comic_book', 0.10549612, u'swimming_trunks', 0.10386292, u'book_jacket', 0.091490597, u'butcher_shop', 0.077409357]
[u'maillot', 0.23338297, u'bathing_cap', 0.18854633, u'bikini', 0.085431591, u'maillot', 0.073867574, u'miniskirt', 0.047844917]
[u'bow', 0.16501485, u'hourglass', 0.15233256, u'bikini', 0.072636142, u'syringe', 0.041994978, u'window_shade', 0.040862232]
[u'Italian_greyhound', 0.48980305, u'vizsla', 0.18712671, u'Ibizan_hound', 0.075076632, u'whippet', 0.052658387, u'Rhodesian_ridgeback', 0.030434715]
[u"potter's_wheel", 0.19012861, u'butternut_squash', 0.098880224, u'bikini', 0.085613176, u'lumbermill', 0.052149769, u'bathtub', 0.041290823]
[u'swimming_trunks', 0.85277754, u'bikini', 0.090707213, u'maillot', 0.01119708, u'brassiere', 0.010204969, u'bathing_cap', 0.0080234744]
[u'bikini', 0.33441466, u'maillot', 0.16712068, u'maillot', 0.089669608, u'brassiere', 0.079830498, u'Indian_elephant', 0.048724793]
[u'brassiere', 0.22142117, u'comic_book', 0.072071709, u'panpipe', 0.046505596, u'bathing_cap', 0.03337064, u'pole', 0.031352386]
[u'revolver', 0.11337641, u'maillot', 0.098641135, u'bathtub', 0.087524734, u'gasmask', 0.08462438, u'knee_pad', 0.081183791]
[u'bikini', 0.78216606, u'swimming_trunks', 0.061499007, u'maillot', 0.051119722, u'diaper', 0.026524331, u'bathing_cap', 0.013738599]
[u'maillot', 0.17696078, u'brassiere', 0.075674899, u'stage', 0.066058785, u'pole', 0.05144931, u'dumbbell', 0.044075076]
[u'mask', 0.10629522, u'tub', 0.094057456, u'bikini', 0.092087358, u'maillot', 0.083011791, u'comic_book', 0.025716024]
[u'maillot', 0.62239587, u'brassiere', 0.046632301, u'maillot', 0.044726085, u'sandal', 0.03743564, u'bikini', 0.030580169]
[u'American_lobster', 0.66346669, u'rotisserie', 0.084313728, u'conch', 0.037174538, u'plunger', 0.022580432, u'king_crab', 0.016761033]
[u'bikini', 0.60101044, u'brassiere', 0.12457662, u'maillot', 0.050180465, u'swimming_trunks', 0.03644567, u'gown', 0.03165878]
[u'bikini', 0.66564721, u'brassiere', 0.053152248, u'maillot', 0.051682618, u'butternut_squash', 0.046475049, u'maillot', 0.027453115]
