[u'brassiere', 0.67137986, u'bikini', 0.1566304, u'sandal', 0.085227929, u'tub', 0.036105368, u'maillot', 0.014551789]
[u'bikini', 0.31586748, u'balance_beam', 0.14753686, u'swimming_trunks', 0.080650233, u'maillot', 0.054411713, u'brassiere', 0.047310472]
[u'bikini', 0.22400521, u'swimming_trunks', 0.18542528, u'dumbbell', 0.15293801, u'maillot', 0.12131459, u'brassiere', 0.059244629]
[u'comic_book', 0.44442457, u'bikini', 0.15312366, u'volleyball', 0.059598584, u'swimming_trunks', 0.025276538, u'crossword_puzzle', 0.016033117]
[u'bikini', 0.58878785, u'swimming_trunks', 0.1432274, u'sunscreen', 0.052649826, u'brassiere', 0.051153868, u'sarong', 0.042203616]
[u'horizontal_bar', 0.37435144, u'balance_beam', 0.16144599, u'volleyball', 0.059540447, u'crane', 0.055789772, u'pole', 0.055708319]
[u'comic_book', 0.32173401, u'maillot', 0.23847733, u'bikini', 0.09557683, u'bathtub', 0.067853801, u'conch', 0.064008586]
[u'racket', 0.43989092, u'comic_book', 0.28770062, u'crossword_puzzle', 0.060585544, u'jean', 0.038494062, u"potter's_wheel", 0.019068358]
[u'studio_couch', 0.33514488, u'wardrobe', 0.21310867, u'four-poster', 0.11283027, u'crib', 0.082636356, u'cradle', 0.031863652]
[u'comic_book', 0.68738204, u'bikini', 0.12990323, u'brassiere', 0.087148294, u'maillot', 0.029750928, u'sandal', 0.01771393]
[u'African_hunting_dog', 0.064571314, u'Irish_wolfhound', 0.061222117, u'comic_book', 0.059341256, u'theater_curtain', 0.022708185, u'web_site', 0.022251803]
[u'organ', 0.13240424, u'maillot', 0.11500507, u'jean', 0.082182892, u'bikini', 0.057379637, u'maillot', 0.057095025]
[u'bikini', 0.65814471, u'maillot', 0.22934897, u'brassiere', 0.083741724, u'maillot', 0.026567861, u'swimming_trunks', 0.00052712084]
[u'maillot', 0.45507467, u'maillot', 0.32975987, u'comic_book', 0.076427445, u'bikini', 0.048191387, u'brassiere', 0.032274626]
[u'wig', 0.25517723, u'hair_spray', 0.20415929, u'maillot', 0.1025731, u'gown', 0.061995648, u'breastplate', 0.060750525]
[u'comic_book', 0.58271867, u'maillot', 0.073938191, u'maillot', 0.034561586, u'punching_bag', 0.030094739, u'table_lamp', 0.026739476]
[u'cowboy_hat', 0.12933342, u'tub', 0.061232425, u'bow', 0.058769532, u'night_snake', 0.041197259, u'lampshade', 0.031590484]
[u'swimming_trunks', 0.39394274, u'bikini', 0.19736259, u'sarong', 0.075874619, u'fountain', 0.067678668, u'brassiere', 0.05477133]
[u'bikini', 0.86197901, u'swimming_trunks', 0.042498715, u'brassiere', 0.036379863, u'maillot', 0.015024079, u'diaper', 0.013494805]
[u'comic_book', 0.66893923, u'butcher_shop', 0.081636213, u'barber_chair', 0.014134593, u'brassiere', 0.013278486, u'tray', 0.011280483]
[u'comic_book', 0.48539117, u'maillot', 0.15495728, u'brassiere', 0.079346217, u'maillot', 0.066889338, u'bikini', 0.025621884]
[u'comic_book', 0.83545107, u'maillot', 0.047669958, u'maillot', 0.047376409, u'book_jacket', 0.024861714, u'bikini', 0.018912297]
[u'bikini', 0.3798781, u'maillot', 0.29916751, u'comic_book', 0.11561324, u'brassiere', 0.11553454, u'maillot', 0.081132948]
[u'comic_book', 0.45590252, u'bikini', 0.42803824, u'brassiere', 0.070937261, u'maillot', 0.010652117, u'maillot', 0.010363895]
[u'bikini', 0.76667511, u'brassiere', 0.16529785, u'tub', 0.022517785, u'maillot', 0.012859587, u'limousine', 0.0097268764]
