[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
[u'oscilloscope', 0.86783028, u'screen', 0.061023597, u'television', 0.023097403, u'desktop_computer', 0.015521273, u'monitor', 0.01264018]
