[u'bathing_cap', 0.84494543, u'swimming_trunks', 0.031122115, u'fur_coat', 0.011696018, u'wig', 0.011572242, u'toyshop', 0.0085100243]
[u'swimming_trunks', 0.79367673, u'tub', 0.045159779, u'diaper', 0.0221442, u'bikini', 0.020647496, u'bathtub', 0.020148549]
[u'bikini', 0.39688513, u'maillot', 0.11738157, u'cowboy_boot', 0.077824585, u'maillot', 0.046041761, u'diaper', 0.025628459]
[u'bikini', 0.46649078, u'tub', 0.087890923, u'swimming_trunks', 0.056585815, u'bathtub', 0.040843558, u'maillot', 0.033248022]
[u'hog', 0.32247874, u'studio_couch', 0.20979889, u'bath_towel', 0.049355268, u'butcher_shop', 0.036600694, u'French_loaf', 0.034262989]
[u'bikini', 0.39901209, u'maillot', 0.073237829, u'brassiere', 0.064176664, u'sarong', 0.054316297, u'maillot', 0.040438171]
[u'wig', 0.39607814, u'breastplate', 0.25058261, u'abaya', 0.081999861, u'overskirt', 0.043387089, u'chain_mail', 0.031592876]
[u'miniskirt', 0.39360008, u'maillot', 0.2513828, u'barbell', 0.1571389, u'dumbbell', 0.036400963, u'maillot', 0.024118446]
[u'brassiere', 0.40112579, u'bikini', 0.097684249, u'volleyball', 0.056155939, u'cowboy_hat', 0.049008839, u'tub', 0.034845445]
[u'fire_screen', 0.30995274, u'lumbermill', 0.16474736, u'vault', 0.10583271, u'cliff_dwelling', 0.043283537, u'fountain', 0.036922164]
[u'prison', 0.82945496, u'hog', 0.044564977, u'picket_fence', 0.043345835, u'panpipe', 0.035986301, u'crib', 0.012041607]
[u'pirate', 0.26267898, u'wreck', 0.20210448, u'paddle', 0.081882961, u'bikini', 0.054232467, u'schooner', 0.039434761]
[u'bathing_cap', 0.42326355, u'bikini', 0.39908305, u'swimming_trunks', 0.04913716, u'maillot', 0.047250915, u'maillot', 0.019593544]
[u'bikini', 0.26877207, u'swimming_trunks', 0.12781139, u'tub', 0.10940433, u'bathtub', 0.050499815, u'stretcher', 0.029165208]
[u'bikini', 0.57258475, u'cuirass', 0.04282954, u'breastplate', 0.042804386, u'brassiere', 0.026558528, u'cannon', 0.02507809]
[u'brassiere', 0.56414169, u'maillot', 0.15060307, u'bikini', 0.093414605, u'miniskirt', 0.063646682, u'maillot', 0.043642554]
[u'theater_curtain', 0.30067739, u'gong', 0.28263864, u'throne', 0.13709286, u'carousel', 0.050208233, u'mask', 0.034135297]
[u'bikini', 0.53794169, u"potter's_wheel", 0.11649448, u'maillot', 0.091301113, u'tub', 0.050791502, u'maillot', 0.047818862]
[u'comic_book', 0.49934074, u'jigsaw_puzzle', 0.44816226, u'paintbrush', 0.0089112278, u'tray', 0.0035792699, u'pillow', 0.0030019046]
[u'lion', 0.82840317, u'Great_Dane', 0.075411968, u'bull_mastiff', 0.011679772, u'boxer', 0.010852692, u'cougar', 0.0043609957]
[u'bathing_cap', 0.62524068, u'wig', 0.22603938, u'swimming_trunks', 0.052079666, u'bikini', 0.049132105, u'barbell', 0.0079729846]
[u'swimming_trunks', 0.46768361, u'bathing_cap', 0.19178326, u'bikini', 0.051365655, u'fountain', 0.023138916, u'balance_beam', 0.022436462]
[u'rhinoceros_beetle', 0.53926361, u'bikini', 0.34336376, u'ground_beetle', 0.043618388, u'maillot', 0.015489278, u'fly', 0.014644326]
[u'swimming_trunks', 0.45307592, u'bathing_cap', 0.15042841, u'bikini', 0.02931286, u'punching_bag', 0.02542232, u'bow', 0.021897944]
[u'brassiere', 0.50802982, u'bikini', 0.12249813, u'maillot', 0.12241767, u'swimming_trunks', 0.071063474, u'bathtub', 0.047898822]
[u'pole', 0.26807261, u'bikini', 0.12026555, u'Italian_greyhound', 0.083037019, u'macaque', 0.040399369, u'hammer', 0.027097479]
[u'bikini', 0.29010469, u'pole', 0.085693717, u'dumbbell', 0.079291977, u'horizontal_bar', 0.058664571, u"potter's_wheel", 0.054285884]
[u'fountain', 0.60127163, u'pedestal', 0.052632309, u'bikini', 0.039013095, u'swimming_trunks', 0.031923305, u'vault', 0.020211296]
[u'bikini', 0.97548693, u'maillot', 0.0067221769, u'brassiere', 0.0055454229, u'diaper', 0.0035393464, u'tub', 0.0014935599]
[u'bikini', 0.60781235, u'maillot', 0.11404631, u'brassiere', 0.062160727, u'tub', 0.057675324, u'diaper', 0.015577924]
[u'barrel', 0.12824707, u'triceratops', 0.10295609, u'military_uniform', 0.093165912, u'stretcher', 0.071744755, u'assault_rifle', 0.05610621]
[u'bikini', 0.23741035, u'butcher_shop', 0.058944754, u'maillot', 0.052782916, u'maillot', 0.051740535, u'American_lobster', 0.038403612]
[u'conch', 0.20547421, u'fiddler_crab', 0.1342721, u'rhinoceros_beetle', 0.069007851, u'cockroach', 0.05959706, u'scorpion', 0.056700662]
[u'vizsla', 0.31771982, u'swimming_trunks', 0.10327314, u'redbone', 0.083921559, u'Great_Dane', 0.073919035, u'butcher_shop', 0.039963759]
[u'buckle', 0.10871658, u'tray', 0.074983761, u'shield', 0.073579706, u'chiffonier', 0.049122043, u'vase', 0.044105064]
[u'castle', 0.66789442, u'vault', 0.23282222, u'triumphal_arch', 0.03753921, u'palace', 0.0064969375, u'prison', 0.0055836393]
