[u'bikini', 0.81457311, u'maillot', 0.039236557, u'sarong', 0.035322048, u'brassiere', 0.02754065, u'maillot', 0.020981977]
[u'nipple', 0.2018562, u'whistle', 0.14838293, u'lotion', 0.083788157, u'sunscreen', 0.073325112, u'piggy_bank', 0.044675764]
[u'lipstick', 0.93841082, u'ice_lolly', 0.041181378, u'bubble', 0.0089584356, u'pretzel', 0.0015425935, u'syringe', 0.001287799]
[u'bikini', 0.39949024, u'maillot', 0.10950334, u'tub', 0.079148002, u'swimming_trunks', 0.067180432, u'sarong', 0.054139376]
[u'bikini', 0.83472174, u'maillot', 0.070100732, u'maillot', 0.020475827, u'groom', 0.013464821, u'sarong', 0.010923014]
[u'bikini', 0.45788494, u'maillot', 0.17980656, u'brassiere', 0.033343349, u'gown', 0.026683025, u'sarong', 0.022035614]
[u'lipstick', 0.23484097, u'bikini', 0.13979691, u'hair_spray', 0.1155677, u'brassiere', 0.065460354, u'wig', 0.047911666]
[u'ice_lolly', 0.87697244, u'corn', 0.023208542, u'dough', 0.015784781, u'flute', 0.0066525363, u'ice_cream', 0.0060700495]
[u'bikini', 0.80021948, u'maillot', 0.17461132, u'swimming_trunks', 0.0085890815, u'brassiere', 0.0063538267, u'maillot', 0.003780185]
[u'maillot', 0.41506952, u'bikini', 0.34995183, u'maillot', 0.11331148, u'swimming_trunks', 0.073515527, u'bathing_cap', 0.024183294]
[u'bikini', 0.67594057, u'maillot', 0.092608057, u'swimming_trunks', 0.052659351, u'maillot', 0.046096001, u'sarong', 0.040303882]
[u'bikini', 0.44743046, u'maillot', 0.093990669, u'swimming_trunks', 0.060248755, u'ice_lolly', 0.05125539, u'bathing_cap', 0.051218741]
[u'bikini', 0.6782136, u'tub', 0.13460973, u'maillot', 0.046214059, u'bathtub', 0.04263594, u'miniskirt', 0.012675943]
[u'hair_spray', 0.4742986, u'hair_slide', 0.17543863, u'groom', 0.069190301, u'lipstick', 0.029939396, u'paintbrush', 0.023914881]
[u'groom', 0.16767263, u'gown', 0.15103056, u'miniskirt', 0.13884504, u'bikini', 0.10347858, u'feather_boa', 0.08291813]
[u'bikini', 0.51340348, u'brassiere', 0.25497153, u'maillot', 0.088293627, u'swimming_trunks', 0.028829593, u'sunscreen', 0.023993248]
[u'sunscreen', 0.29946259, u'bathtub', 0.13743857, u'bath_towel', 0.074470013, u'bathing_cap', 0.069865823, u'swimming_trunks', 0.064158909]
[u'bikini', 0.36850768, u'tub', 0.20687126, u'bathtub', 0.17711519, u'swimming_trunks', 0.1071053, u'ice_lolly', 0.047967881]
[u'bikini', 0.87820029, u'maillot', 0.030634928, u'miniskirt', 0.0059964433, u'sunscreen', 0.0058762264, u'gown', 0.0046950756]
[u'bath_towel', 0.27892449, u'bikini', 0.15002829, u'maillot', 0.1038539, u'neck_brace', 0.048194263, u'brassiere', 0.046948992]
[u'bikini', 0.24704041, u'bathtub', 0.17098987, u'maillot', 0.10511158, u'tub', 0.10306862, u'brassiere', 0.05222322]
[u'bathtub', 0.41816771, u'bathing_cap', 0.22402786, u'tub', 0.09367352, u'bikini', 0.080326408, u'swimming_trunks', 0.06690453]
[u'bikini', 0.60486442, u'maillot', 0.10673244, u'maillot', 0.064102426, u'fountain', 0.061360177, u'sarong', 0.030701967]
[u'bikini', 0.4759092, u'tub', 0.25278577, u'bathtub', 0.10913453, u'maillot', 0.054236598, u'brassiere', 0.023360573]
[u'bikini', 0.23007394, u'maillot', 0.16133444, u'brassiere', 0.13028717, u'diaper', 0.10943107, u'Band_Aid', 0.068042293]
[u'bikini', 0.81522751, u'maillot', 0.05773773, u'maillot', 0.020497102, u'feather_boa', 0.020084919, u'brassiere', 0.019120164]
[u'tub', 0.23796131, u'bikini', 0.19748145, u'bathtub', 0.19632174, u'swimming_trunks', 0.11326118, u'brassiere', 0.063114777]
[u'bikini', 0.32990861, u'maillot', 0.13988073, u'brassiere', 0.04433364, u'iron', 0.043948606, u'maillot', 0.04100512]
[u'bikini', 0.76283777, u'tub', 0.11767457, u'bathtub', 0.031970501, u'swimming_trunks', 0.023925398, u'bathing_cap', 0.011533235]
[u'tub', 0.7524814, u'bathtub', 0.18131049, u'bikini', 0.046764065, u'maillot', 0.011855942, u'swimming_trunks', 0.002398293]
[u'wig', 0.46334016, u'miniskirt', 0.11617124, u'sunglass', 0.032170404, u'sarong', 0.030458687, u'bikini', 0.028631685]
[u'miniskirt', 0.076263286, u'jean', 0.057864655, u'prison', 0.048274081, u'hair_spray', 0.043613352, u'gown', 0.042999942]
[u'sunscreen', 0.10934633, u'pretzel', 0.09677206, u'Band_Aid', 0.090788163, u'bathtub', 0.065127134, u'starfish', 0.055915631]
[u'tub', 0.36544344, u'bikini', 0.24241012, u'maillot', 0.18371201, u'bathtub', 0.10150465, u'maillot', 0.022105744]
[u'ice_lolly', 0.99936122, u'hotdog', 0.00018908647, u'lipstick', 0.000115575, u'conch', 8.8358145e-05, u'ice_cream', 4.8865899e-05]
[u'bathtub', 0.34781593, u'swimming_trunks', 0.10881528, u'maillot', 0.090130545, u'tub', 0.074122824, u'sunscreen', 0.062179253]
[u'bathing_cap', 0.44084549, u'bikini', 0.38969722, u'maillot', 0.047528338, u'swimming_trunks', 0.029774031, u'bathtub', 0.029164394]
[u'groom', 0.2357915, u'butcher_shop', 0.13768676, u'corn', 0.046401992, u'bathtub', 0.046208195, u'bathing_cap', 0.031185372]
[u'bikini', 0.37657979, u'maillot', 0.17737888, u'tub', 0.11278415, u'fur_coat', 0.10576737, u'bathtub', 0.047803704]
[u'bikini', 0.25366661, u'hair_spray', 0.13898815, u'sunscreen', 0.093827657, u'miniskirt', 0.085370861, u'wig', 0.068771847]
[u'bikini', 0.78820181, u'maillot', 0.097066067, u'bathing_cap', 0.029814528, u'swimming_trunks', 0.02899006, u'brassiere', 0.0097508766]
[u'ice_lolly', 0.98440599, u'bikini', 0.0086211683, u'syringe', 0.0033417398, u'tub', 0.0011652049, u'bathtub', 0.00098384137]
[u'swimming_trunks', 0.24332348, u'brassiere', 0.20252723, u'bikini', 0.18564694, u'bathing_cap', 0.09608943, u'maillot', 0.075037196]
[u'hair_spray', 0.30264077, u'prison', 0.23910531, u'guillotine', 0.18792485, u'butcher_shop', 0.038121182, u'barbershop', 0.02830884]
[u'sunscreen', 0.21985875, u'dough', 0.13966332, u'bath_towel', 0.066367321, u'bathtub', 0.057365175, u'Band_Aid', 0.051031377]
