Term,TF,IDF,,TF-IDF
,,,,
Music,,,next,
bakery,0.0100603622,2.260071388,,0.0227371367
boathouse,0.0120724346,1.8633228601,,0.0224948434
Windsor_tie,0.0120724346,1.8633228601,,0.0224948434
laptop,0.0100603622,2.2355284469,,0.0224902258
printer,0.0080482897,2.751279104,,0.0221430914
prison,0.0120724346,1.8325089127,,0.022122844
wardrobe,0.014084507,1.5563025008,,0.0219197535
lab_coat,0.014084507,1.5185139399,,0.0213875203
parking_meter,0.0080482897,2.6170003411,,0.021062377
space_shuttle,0.0100603622,2.0827853703,,0.0209535752
swab,0.0100603622,2.0606978404,,0.0207313666
cannon,0.0080482897,2.5622928645,,0.0206220754
saltshaker,0.0080482897,2.5622928645,,0.0206220754
crash_helmet,0.0080482897,2.5145477527,,0.0202378089
projectile,0.0080482897,2.5145477527,,0.0202378089
vault,0.0100603622,2.0043213738,,0.0201641989
basketball,0.0080482897,2.4913616938,,0.0200512008
maillot,0.014084507,1.414973348,,0.0199292021
sports_car,0.0080482897,2.4502491083,,0.0197203148
shower_cap,0.0100603622,1.9590413923,,0.0197086659
beer_glass,0.0100603622,1.9344984512,,0.019461755
overskirt,0.0080482897,2.3944516808,,0.0192712409
tricycle,0.0080482897,2.3944516808,,0.0192712409
handheld_computer,0.0080482897,2.378397901,,0.0191420354
table_lamp,0.0080482897,2.378397901,,0.0191420354
bookcase,0.0080482897,2.3443922737,,0.0188683483
chest,0.0080482897,2.3443922737,,0.0188683483
sunglass,0.0080482897,2.3443922737,,0.0188683483
alp,0.0100603622,1.8692317197,,0.0188051481
dumbbell,0.0100603622,1.8692317197,,0.0188051481
fur_coat,0.0100603622,1.8512583487,,0.0186243295
croquet_ball,0.0080482897,2.2878017299,,0.0184128912
breastplate,0.0080482897,2.2741578493,,0.0183030813
odometer,0.0060362173,2.9479236198,,0.0177943076
stretcher,0.0080482897,2.2013971243,,0.0177174819
coffee_mug,0.0080482897,2.1903316982,,0.0176284241
iron,0.0080482897,2.1789769473,,0.0175370378
combination_lock,0.0080482897,2.1583624921,,0.0173711267
file,0.0060362173,2.8388490907,,0.01713591
