[u'shower_curtain', 0.04258281, u'window_screen', 0.038835872, u'quilt', 0.026524445, u'handkerchief', 0.025883483, u'bookshop', 0.018008046]
[u'library', 0.48299628, u'bookshop', 0.11381078, u'bookcase', 0.085836895, u'desk', 0.053763278, u'dining_table', 0.039522398]
[u'prison', 0.034086581, u'library', 0.029858965, u'container_ship', 0.020167859, u'shower_curtain', 0.016534913, u'sliding_door', 0.016461251]
[u'bikini', 0.46760744, u'sandbar', 0.26972526, u'seashore', 0.13199893, u'maillot', 0.056288771, u'swimming_trunks', 0.040588155]
[u'window_screen', 0.067441396, u'shower_curtain', 0.029993469, u'missile', 0.023019429, u'airship', 0.014390989, u'vulture', 0.013884408]
[u'English_foxhound', 0.042168714, u'Norwegian_elkhound', 0.031838357, u'Chihuahua', 0.031097278, u'wire-haired_fox_terrier', 0.029919924, u'German_shepherd', 0.026619073]
[u'window_screen', 0.093289949, u'bookshop', 0.063139036, u'tobacco_shop', 0.060616791, u'window_shade', 0.045051064, u'prison', 0.044062324]
[u'bookshop', 0.038004823, u'library', 0.033432048, u'crossword_puzzle', 0.024829382, u'vault', 0.015090317, u'Christmas_stocking', 0.014173326]
[u'container_ship', 0.40763384, u'solar_dish', 0.12666008, u'crane', 0.055006038, u'pedestal', 0.024365686, u'stupa', 0.022733593]
[u'library', 0.40528256, u'bookshop', 0.29821256, u'bookcase', 0.033931464, u'tobacco_shop', 0.025209062, u'dining_table', 0.018952353]
[u'maze', 0.15315565, u'jigsaw_puzzle', 0.1095539, u'carton', 0.10766833, u'handkerchief', 0.039080173, u'shower_curtain', 0.034737896]
[u'container_ship', 0.54319054, u'scoreboard', 0.043697666, u'library', 0.038105424, u'airship', 0.03231556, u'crane', 0.026006417]
[u'home_theater', 0.084591448, u'restaurant', 0.057668865, u'bookshop', 0.042986639, u'library', 0.04198657, u'bookcase', 0.035697691]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'library', 0.31831577, u'maze', 0.11709864, u'jigsaw_puzzle', 0.058067296, u'dining_table', 0.04123256, u'patio', 0.028279195]
[u'prison', 0.048640855, u'shoji', 0.046797376, u'sliding_door', 0.041540284, u'pedestal', 0.03954057, u'space_shuttle', 0.018218303]
[u'library', 0.093233541, u'shoji', 0.059622336, u'window_screen', 0.053881273, u'window_shade', 0.050450843, u'bookshop', 0.043857373]
[u'wire-haired_fox_terrier', 0.03190735, u'English_foxhound', 0.029577361, u'Chihuahua', 0.027527189, u'toy_terrier', 0.024658782, u'Egyptian_cat', 0.022907658]
[u'handkerchief', 0.17996219, u'Windsor_tie', 0.13330171, u'shower_curtain', 0.064928249, u'window_screen', 0.040523808, u'bow_tie', 0.029902019]
[u'bookshop', 0.10055903, u'shower_curtain', 0.079465292, u'library', 0.057310659, u'shield', 0.024488205, u'tobacco_shop', 0.023122665]
[u'bookshop', 0.16881078, u'library', 0.04714204, u'prayer_rug', 0.040331513, u'fur_coat', 0.039182886, u'wool', 0.025905445]
[u'container_ship', 0.631437, u'Windsor_tie', 0.038359869, u'envelope', 0.025346458, u'wall_clock', 0.023574416, u'whistle', 0.02260714]
[u'bookshop', 0.063626468, u'library', 0.05735939, u'vault', 0.047963265, u'sliding_door', 0.028494267, u'prison', 0.023854146]
[u'crane', 0.26676005, u'container_ship', 0.054515868, u'bell_cote', 0.032127667, u'envelope', 0.022010371, u'matchstick', 0.020235939]
[u'library', 0.093213588, u'prison', 0.092432201, u'Angora', 0.085042775, u'vault', 0.070190437, u'restaurant', 0.050719891]
[u'balloon', 0.054689176, u'puck', 0.046662908, u'bottlecap', 0.043131921, u'digital_watch', 0.042613871, u'pill_bottle', 0.040580429]
[u'German_shepherd', 0.090326332, u'tobacco_shop', 0.052271236, u'window_screen', 0.031715661, u'bookshop', 0.028581452, u'Chihuahua', 0.025233738]
[u'crossword_puzzle', 0.074994907, u'leopard', 0.045944333, u'cheetah', 0.030787067, u'jaguar', 0.028976021, u'snow_leopard', 0.027700525]
[u'planetarium', 0.080371372, u'vault', 0.056042321, u'fountain', 0.053243525, u'space_shuttle', 0.047010511, u'monitor', 0.04206679]
[u'container_ship', 0.15186696, u'bookcase', 0.074041821, u'medicine_chest', 0.050113395, u'library', 0.046277486, u'digital_clock', 0.040488295]
[u'container_ship', 0.15265878, u'German_shepherd', 0.043525614, u'balance_beam', 0.039251659, u'tobacco_shop', 0.028245294, u'Chihuahua', 0.023743032]
[u'keeshond', 0.054916035, u'Old_English_sheepdog', 0.026053963, u'Angora', 0.025486967, u'malamute', 0.021302622, u'German_shepherd', 0.020881807]
[u'crossword_puzzle', 0.1701396, u'container_ship', 0.054595686, u'library', 0.020048395, u'window_screen', 0.019635141, u'quilt', 0.018533779]
[u'German_shepherd', 0.067008376, u'schipperke', 0.030141322, u'window_screen', 0.030036138, u'Border_collie', 0.023545414, u'flat-coated_retriever', 0.022551868]
[u'prison', 0.032454874, u'lampshade', 0.016676424, u'window_shade', 0.015824663, u'shoji', 0.014650173, u'Egyptian_cat', 0.014275672]
[u'Windsor_tie', 0.31507838, u'wool', 0.056872804, u'handkerchief', 0.029309971, u'knee_pad', 0.029006207, u'digital_watch', 0.024710545]
[u'prison', 0.12742876, u'library', 0.12451053, u'vault', 0.071003221, u'bookshop', 0.032736383, u'turnstile', 0.022789713]
[u'Siamese_cat', 0.051997222, u'sliding_door', 0.027382692, u'bookshop', 0.022938104, u'window_screen', 0.021568811, u'Old_English_sheepdog', 0.020522403]
[u'sliding_door', 0.26279566, u'window_screen', 0.10940159, u'prison', 0.043558985, u'window_shade', 0.036166411, u'bookshop', 0.030405099]
[u'German_shepherd', 0.036935974, u'bookshop', 0.036743708, u'tobacco_shop', 0.025430698, u'English_foxhound', 0.025284717, u'Border_terrier', 0.023064299]
[u'maze', 0.11444805, u'library', 0.049531508, u'vault', 0.040144157, u'quilt', 0.036481898, u'stupa', 0.033038944]
[u'spotlight', 0.17978288, u'lampshade', 0.12518986, u'table_lamp', 0.093557924, u'grand_piano', 0.06713137, u'stove', 0.053197794]
[u'velvet', 0.057342999, u'shower_curtain', 0.047018856, u'handkerchief', 0.028557431, u'projectile', 0.021278329, u'missile', 0.021126324]
[u'German_shepherd', 0.024277287, u'wire-haired_fox_terrier', 0.024060695, u'keeshond', 0.023317022, u'borzoi', 0.01842783, u'English_foxhound', 0.016085653]
[u'maillot', 0.43457067, u'bikini', 0.20401511, u'maillot', 0.1240285, u'brassiere', 0.059935328, u'tub', 0.055771805]
[u'bath_towel', 0.079837553, u'monitor', 0.075563021, u'candle', 0.067027755, u'desk', 0.04560459, u'shower_cap', 0.039532576]
[u'bow_tie', 0.15910381, u'Windsor_tie', 0.07946334, u'container_ship', 0.038994454, u'dumbbell', 0.03665049, u'balance_beam', 0.029601263]
[u'library', 0.33268505, u'bookshop', 0.18152125, u'dining_table', 0.086213261, u'bookcase', 0.033309091, u'carton', 0.029996829]
[u'bookshop', 0.23306136, u'bookcase', 0.10394625, u'library', 0.088089444, u'window_screen', 0.038446616, u'tobacco_shop', 0.033752907]
[u'library', 0.079600714, u'monitor', 0.062229354, u'dining_table', 0.044091653, u'bannister', 0.032028604, u'theater_curtain', 0.024140367]
[u'library', 0.11141448, u'bookshop', 0.11088162, u'carton', 0.066307753, u'shower_curtain', 0.042134993, u'wool', 0.030414626]
[u'screen', 0.018915743, u'oscilloscope', 0.018457143, u'window_screen', 0.017492047, u'wall_clock', 0.016737644, u'digital_clock', 0.016605703]
[u'shower_curtain', 0.11119626, u'handkerchief', 0.064491048, u'window_shade', 0.034836575, u'window_screen', 0.029117962, u'apron', 0.027591795]
[u'handkerchief', 0.079268113, u'Windsor_tie', 0.047853984, u'wall_clock', 0.047254313, u'monitor', 0.022737632, u'vase', 0.021861551]
[u'library', 0.15160173, u'vault', 0.12533022, u'planetarium', 0.11937473, u'prison', 0.073117584, u'dome', 0.049363691]
