[u'bikini', 0.26103261, u'miniskirt', 0.11438034, u'maillot', 0.11210771, u'stretcher', 0.065284856, u'maillot', 0.053353664]
[u'horizontal_bar', 0.63650483, u'pole', 0.15026794, u'parallel_bars', 0.11033393, u'balance_beam', 0.027513204, u'barbell', 0.015928403]
[u'koala', 0.11936834, u'swing', 0.06890855, u'fur_coat', 0.051283404, u'bolete', 0.035486683, u'mortar', 0.030006791]
[u'miniskirt', 0.10505003, u'punching_bag', 0.090997882, u'brassiere', 0.059973381, u'bikini', 0.056560874, u'neck_brace', 0.030972002]
[u'bathing_cap', 0.15515499, u'sunscreen', 0.13794145, u'hair_spray', 0.10339868, u'maillot', 0.067087352, u'bikini', 0.060915522]
[u'punching_bag', 0.16242784, u'swing', 0.14171667, u'maillot', 0.12988578, u'miniskirt', 0.075657733, u'brassiere', 0.037398934]
[u'pole', 0.18041989, u'horizontal_bar', 0.13150962, u'parallel_bars', 0.12380427, u'balance_beam', 0.1014439, u'bikini', 0.066788286]
[u'shoji', 0.98638165, u'window_screen', 0.0026710914, u'sliding_door', 0.002572936, u'prison', 0.0016230881, u'window_shade', 0.0015127243]
[u'swimming_trunks', 0.27290726, u'sunscreen', 0.14963171, u'bikini', 0.14176117, u'maillot', 0.073209807, u'bathing_cap', 0.063591838]
[u'breastplate', 0.15596895, u'cuirass', 0.090305313, u'forklift', 0.053365111, u'gasmask', 0.038240448, u'space_shuttle', 0.037914772]
[u'iron', 0.29691866, u'vacuum', 0.19760928, u'hoopskirt', 0.057606988, u'miniskirt', 0.038950261, u'shoji', 0.038114838]
[u'bikini', 0.48737335, u'maillot', 0.28374147, u'maillot', 0.040119786, u'brassiere', 0.018384596, u'tub', 0.018382264]
[u'bikini', 0.16926131, u'maillot', 0.16249256, u'snorkel', 0.082814075, u'gasmask', 0.066789724, u'miniskirt', 0.043769535]
[u'stage', 0.30426815, u'pole', 0.25220242, u'microphone', 0.13835007, u'drumstick', 0.039068896, u'spotlight', 0.024851304]
[u'bikini', 0.16257533, u'dung_beetle', 0.050828006, u'power_drill', 0.047530506, u'sandal', 0.044152535, u'tarantula', 0.039688028]
[u'totem_pole', 0.33573472, u'toyshop', 0.12529767, u'unicycle', 0.086547904, u'balance_beam', 0.067685455, u'triceratops', 0.062727243]
[u'stage', 0.31372297, u'cello', 0.2022986, u'microphone', 0.049445085, u'bassoon', 0.046808176, u'pool_table', 0.039146826]
[u'bikini', 0.41872811, u'maillot', 0.083024912, u'pole', 0.076716654, u'bow', 0.038548212, u'sunscreen', 0.025041746]
[u'mask', 0.3877694, u'comic_book', 0.20788684, u'toyshop', 0.069091417, u'football_helmet', 0.033499107, u'sunglass', 0.016419793]
[u'comic_book', 0.81807864, u'toyshop', 0.046896588, u'book_jacket', 0.024084713, u'web_site', 0.018801179, u'scoreboard', 0.015068911]
[u'guillotine', 0.96793783, u'pole', 0.010572552, u'horizontal_bar', 0.0066638226, u'bow', 0.0046905526, u'chime', 0.002230756]
[u'stage', 0.30426815, u'pole', 0.25220242, u'microphone', 0.13835007, u'drumstick', 0.039068896, u'spotlight', 0.024851304]
[u'bathing_cap', 0.42650977, u'bikini', 0.2375395, u'maillot', 0.13116701, u'maillot', 0.053213373, u'volleyball', 0.036791306]
[u'cuirass', 0.14260671, u'necklace', 0.11730832, u'breastplate', 0.11030558, u'hourglass', 0.11015148, u'fly', 0.052959505]
[u'bathing_cap', 0.40417185, u'maillot', 0.18164298, u'maillot', 0.11845259, u'balance_beam', 0.087881714, u'bikini', 0.045323908]
[u'horizontal_bar', 0.13659929, u'pole', 0.13090852, u'stretcher', 0.12196501, u'swing', 0.035937246, u'punching_bag', 0.030403968]
[u'butcher_shop', 0.12081758, u'bikini', 0.038545951, u'crutch', 0.038154922, u'television', 0.032143783, u'bow', 0.027915949]
[u'throne', 0.24321684, u'triceratops', 0.079281099, u'bikini', 0.075019762, u'maillot', 0.073107421, u'vizsla', 0.058757696]
[u'drumstick', 0.37930048, u'pole', 0.17097211, u'parallel_bars', 0.070793793, u'hammer', 0.060348768, u'horizontal_bar', 0.059965476]
[u'bikini', 0.24642843, u'pole', 0.20233084, u'maillot', 0.08125487, u'maillot', 0.043623406, u'swimming_trunks', 0.035927758]
[u'toilet_tissue', 0.37958601, u'barbell', 0.092940591, u'dumbbell', 0.086532399, u'toilet_seat', 0.076189697, u'shower_curtain', 0.027173476]
[u'pole', 0.87642097, u'maillot', 0.021876562, u'miniskirt', 0.012764722, u'bikini', 0.01147284, u'horizontal_bar', 0.010420786]
[u'shoji', 0.30436909, u'Weimaraner', 0.23670021, u'Doberman', 0.032759041, u'prison', 0.023586137, u'miniskirt', 0.016407803]
[u'bikini', 0.17971916, u'pole', 0.14635973, u'maillot', 0.12185657, u'bathing_cap', 0.106962, u'maillot', 0.099677294]
[u'power_drill', 0.10410818, u'knee_pad', 0.08341977, u'bow', 0.074313164, u'punching_bag', 0.074219108, u'gasmask', 0.066679865]
[u'parallel_bars', 0.62535328, u'horizontal_bar', 0.180438, u'pole', 0.13870503, u'swing', 0.014846792, u'swimming_trunks', 0.0076232054]
[u'cello', 0.10386844, u'stage', 0.037049562, u'violin', 0.032274518, u'bassoon', 0.03142909, u'bow_tie', 0.029148964]
[u'punching_bag', 0.32994848, u'bikini', 0.066262759, u'tub', 0.046608202, u'maillot', 0.044580866, u'dumbbell', 0.043336548]
[u'pole', 0.57377666, u'horizontal_bar', 0.10911283, u'parallel_bars', 0.076715939, u'hair_spray', 0.023284817, u'balance_beam', 0.017950427]
[u'bikini', 0.23324656, u'maillot', 0.17548324, u'swimming_trunks', 0.16844591, u'bathing_cap', 0.16358365, u'maillot', 0.1471013]
