[u'diaper', 0.27058157, u'gown', 0.084884696, u'bikini', 0.063219406, u'swimming_trunks', 0.060323287, u'bath_towel', 0.043611258]
[u'brassiere', 0.16397329, u'bikini', 0.15400618, u'bathtub', 0.13975883, u'maillot', 0.073624268, u'bath_towel', 0.063846543]
[u'cliff', 0.084448032, u'hatchet', 0.058226675, u'Weimaraner', 0.048425864, u'swimming_trunks', 0.047592595, u'Rottweiler', 0.043017097]
[u'bikini', 0.45731771, u'brassiere', 0.2664541, u'pajama', 0.062391158, u'tub', 0.035492871, u'maillot', 0.032304056]
[u'harp', 0.14790271, u'tub', 0.13423292, u'bathtub', 0.08959613, u'gondola', 0.08707431, u'bikini', 0.071127921]
[u'tub', 0.19637893, u'bikini', 0.11751129, u'sunscreen', 0.11281127, u'bathtub', 0.10717387, u'miniskirt', 0.086012632]
[u'bikini', 0.51199448, u'swimming_trunks', 0.10877605, u'brassiere', 0.10439882, u'maillot', 0.09175092, u'sarong', 0.057998404]
[u'maillot', 0.61644632, u'maillot', 0.1855552, u'brassiere', 0.11466994, u'miniskirt', 0.039773956, u'bikini', 0.02719279]
[u'miniskirt', 0.23231918, u'pajama', 0.15311009, u'studio_couch', 0.078830101, u'swimming_trunks', 0.049549676, u'diaper', 0.042454254]
[u'swimming_trunks', 0.59663379, u'bathing_cap', 0.12023754, u'maillot', 0.062713213, u'maillot', 0.054037582, u'bikini', 0.04659446]
[u'bikini', 0.24906433, u'maillot', 0.21459141, u'maillot', 0.090577222, u'gown', 0.046285968, u'bathtub', 0.044596191]
[u'swing', 0.90384692, u'park_bench', 0.018835433, u'miniskirt', 0.013714953, u'fur_coat', 0.012423581, u'cowboy_boot', 0.0050464817]
[u'sarong', 0.28829238, u'gown', 0.10312383, u'stole', 0.072984591, u'maillot', 0.046217334, u'poncho', 0.044524476]
[u'bikini', 0.20483305, u'brassiere', 0.10043671, u'bath_towel', 0.062022712, u'diaper', 0.048530564, u'swimming_trunks', 0.045039747]
[u'hair_spray', 0.21036232, u'ocarina', 0.088393576, u'jean', 0.061773665, u'hand_blower', 0.05790218, u'shoe_shop', 0.044647817]
[u'bikini', 0.50201958, u'swimming_trunks', 0.19484106, u'maillot', 0.12063577, u'maillot', 0.074755162, u'brassiere', 0.030657902]
[u'jean', 0.25421414, u'pajama', 0.11327028, u'studio_couch', 0.052367255, u'miniskirt', 0.049624007, u'crutch', 0.023876151]
[u'stethoscope', 0.31263363, u'hair_spray', 0.084536031, u'syringe', 0.061223738, u'lab_coat', 0.032436751, u'oxygen_mask', 0.032135621]
[u'dumbbell', 0.42589343, u'swimming_trunks', 0.15435418, u'vacuum', 0.084340207, u'punching_bag', 0.065568313, u'iron', 0.044697333]
[u'tub', 0.37021047, u'bathtub', 0.28037047, u'bikini', 0.036510803, u'groom', 0.02892483, u'swimming_trunks', 0.012639957]
[u'swimming_trunks', 0.80506134, u'bikini', 0.074622229, u'bathing_cap', 0.03560362, u'hatchet', 0.012002256, u'maillot', 0.0089207739]
[u'gown', 0.22363438, u'maillot', 0.10722065, u'tub', 0.055011898, u'abaya', 0.0497967, u'groom', 0.038330656]
[u'pajama', 0.2534959, u'diaper', 0.11196241, u'swimming_trunks', 0.047104567, u'tub', 0.042775005, u'cradle', 0.039859723]
