[u'suit', 0.055209544, u'window_screen', 0.050938401, u'shower_curtain', 0.038399424, u'window_shade', 0.028523568, u'fire_screen', 0.024595149]
[u'space_shuttle', 0.19427003, u'crossword_puzzle', 0.04651178, u'Egyptian_cat', 0.028019432, u'vase', 0.015354612, u'monitor', 0.015105406]
[u'wire-haired_fox_terrier', 0.10469588, u'borzoi', 0.042411033, u'Old_English_sheepdog', 0.022098141, u'crossword_puzzle', 0.018359363, u'Angora', 0.01295961]
[u'carton', 0.18282826, u'library', 0.074769095, u'dining_table', 0.049314223, u'bookcase', 0.039109401, u'desk', 0.035373382]
[u'library', 0.53097606, u'bookshop', 0.1066417, u'bookcase', 0.024624331, u'dining_table', 0.024110107, u'carton', 0.019819302]
[u'library', 0.086096175, u'dining_table', 0.062337026, u'bookshop', 0.052366391, u'prison', 0.048472624, u'grand_piano', 0.036308806]
[u'stupa', 0.43445653, u'library', 0.34279695, u'bookshop', 0.053475846, u'container_ship', 0.020173529, u'pedestal', 0.015665954]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'container_ship', 0.068261385, u'picket_fence', 0.058548532, u'window_shade', 0.042000771, u'pier', 0.037769996, u'library', 0.037295032]
[u'container_ship', 0.37332553, u'digital_clock', 0.10739549, u'digital_watch', 0.088255316, u'tray', 0.071418799, u'carton', 0.021520833]
[u'container_ship', 0.13277325, u'solar_dish', 0.043943748, u'shower_curtain', 0.028393572, u'library', 0.025035765, u'space_shuttle', 0.022680333]
[u'window_shade', 0.064874165, u'planetarium', 0.064403757, u'lampshade', 0.040997334, u'toilet_tissue', 0.039630484, u'bannister', 0.037170433]
[u'container_ship', 0.66923034, u'balloon', 0.043449312, u'pool_table', 0.039434899, u'crane', 0.016435737, u'digital_watch', 0.015550072]
[u'crane', 0.26676005, u'container_ship', 0.054515868, u'bell_cote', 0.032127667, u'envelope', 0.022010371, u'matchstick', 0.020235939]
[u'bookshop', 0.15757845, u'library', 0.11052349, u'vault', 0.043317467, u'prison', 0.040159516, u'caldron', 0.032195613]
[u'bookshop', 0.21376236, u'library', 0.14480087, u'vault', 0.073848508, u'window_shade', 0.029416218, u'window_screen', 0.023809033]
[u'window_screen', 0.045746155, u'keeshond', 0.035465069, u'guenon', 0.026994402, u'sliding_door', 0.026034443, u'Siberian_husky', 0.025280008]
[u'dining_table', 0.26734588, u'bookcase', 0.058580421, u'wardrobe', 0.028285421, u'desk', 0.026009522, u'maze', 0.025585681]
[u'shower_curtain', 0.2437737, u'wardrobe', 0.13495833, u'window_shade', 0.10465406, u'shoji', 0.10287701, u'mosquito_net', 0.072198905]
[u'dining_table', 0.059709325, u'sliding_door', 0.047032926, u'window_screen', 0.040594481, u'shoji', 0.029273648, u'prison', 0.02467645]
[u'library', 0.30901298, u'stupa', 0.12683736, u'container_ship', 0.077072404, u'carton', 0.06029059, u'bookshop', 0.046922687]
[u'picket_fence', 0.62516433, u'crib', 0.11470455, u'binder', 0.02683489, u'envelope', 0.020865865, u'book_jacket', 0.019769445]
[u'container_ship', 0.57414776, u'monitor', 0.07316085, u'crane', 0.053884085, u'library', 0.043014906, u'traffic_light', 0.021685639]
[u'medicine_chest', 0.39455223, u'sliding_door', 0.16373265, u'wardrobe', 0.079787485, u'safe', 0.066980071, u'bookcase', 0.049172945]
[u'window_shade', 0.10716292, u'spotlight', 0.078500934, u'shoji', 0.062440731, u'lampshade', 0.049048517, u'window_screen', 0.03624041]
[u'bannister', 0.051637452, u'shoji', 0.048329595, u'space_shuttle', 0.046214271, u'projectile', 0.042060576, u'dining_table', 0.033589084]
[u'monitor', 0.15628672, u'screen', 0.04689905, u'window_screen', 0.027708266, u'beaker', 0.026624236, u'geyser', 0.02584015]
[u'container_ship', 0.10642502, u'wool', 0.038148012, u'digital_clock', 0.032670684, u'crossword_puzzle', 0.031112896, u'monitor', 0.023306385]
[u'table_lamp', 0.093955643, u'lampshade', 0.090233594, u'umbrella', 0.046335187, u'jigsaw_puzzle', 0.021905923, u'mosque', 0.020791028]
[u'sliding_door', 0.039834179, u'water_tower', 0.034941882, u'balloon', 0.022309147, u'plunger', 0.02165217, u'bearskin', 0.019844595]
[u'crossword_puzzle', 0.09237206, u'wool', 0.059357222, u'container_ship', 0.032511335, u'shower_curtain', 0.024810476, u'Windsor_tie', 0.022571752]
[u'apron', 0.059457146, u'desk', 0.042222451, u'monitor', 0.031165143, u'dining_table', 0.030799635, u'bath_towel', 0.027525052]
[u'keeshond', 0.029844582, u'polecat', 0.017734848, u'black-footed_ferret', 0.01763135, u'Pekinese', 0.015703479, u'Persian_cat', 0.01488457]
[u'envelope', 0.21177514, u'wall_clock', 0.093143165, u'binder', 0.075364992, u'digital_watch', 0.05261099, u'carton', 0.048968405]
[u'quilt', 0.2099137, u'prayer_rug', 0.14786129, u'shower_curtain', 0.13663188, u'handkerchief', 0.12067086, u'wool', 0.088829324]
[u'shoji', 0.10398341, u'library', 0.098216146, u'sliding_door', 0.047565665, u'bookshop', 0.034648012, u'window_shade', 0.031111402]
[u'library', 0.33268505, u'bookshop', 0.18152125, u'dining_table', 0.086213261, u'bookcase', 0.033309091, u'carton', 0.029996829]
[u'vault', 0.085824147, u'bookshop', 0.071234599, u'library', 0.058692597, u'prayer_rug', 0.055562571, u'quilt', 0.044896409]
[u'stupa', 0.061367784, u'quilt', 0.027589008, u'container_ship', 0.025461491, u'Chihuahua', 0.019529164, u'bookshop', 0.015565705]
[u'shower_curtain', 0.53447706, u'handkerchief', 0.048679706, u'Windsor_tie', 0.045333296, u'bow_tie', 0.027383992, u'wool', 0.016037783]
[u'wire-haired_fox_terrier', 0.042465515, u'library', 0.036349881, u'borzoi', 0.035591528, u'bookshop', 0.033696208, u'crossword_puzzle', 0.03261479]
[u'traffic_light', 0.15075596, u'bathing_cap', 0.076156765, u'electric_ray', 0.066726692, u'toilet_seat', 0.044452589, u'paper_towel', 0.039899368]
[u'bookshop', 0.036977619, u'dining_table', 0.028725512, u'toilet_tissue', 0.023590289, u'restaurant', 0.023495026, u'toilet_seat', 0.022278961]
[u'oscilloscope', 0.41215497, u'monitor', 0.12614016, u'handkerchief', 0.064444527, u'envelope', 0.046756729, u'safe', 0.043058794]
[u'Old_English_sheepdog', 0.05470597, u'bookshop', 0.04927906, u'German_shepherd', 0.047292378, u'library', 0.039618235, u'Afghan_hound', 0.034846865]
[u'shower_curtain', 0.23808195, u'wardrobe', 0.10520905, u'sliding_door', 0.075424001, u'window_shade', 0.075350665, u'shoji', 0.02869522]
[u'spotlight', 0.034438822, u'projector', 0.030701634, u'space_shuttle', 0.028795905, u'whistle', 0.020745413, u'caldron', 0.019822605]
[u'window_shade', 0.21156432, u'shower_curtain', 0.14945893, u'shoji', 0.071568318, u'wardrobe', 0.055860784, u'window_screen', 0.053128049]
[u'quilt', 0.035435174, u'tobacco_shop', 0.03283456, u'wool', 0.032758866, u'bookshop', 0.027658502, u'prayer_rug', 0.021718405]
[u'library', 0.21096596, u'bookshop', 0.11062642, u'Old_English_sheepdog', 0.015337312, u'Angora', 0.013361523, u'sliding_door', 0.011411509]
[u'library', 0.13573289, u'bookshop', 0.072166912, u'dining_table', 0.036007382, u'stupa', 0.033246569, u'bookcase', 0.025852567]
[u'fountain', 0.12433352, u'fireboat', 0.095106207, u'geyser', 0.083301328, u'space_shuttle', 0.045400251, u'dam', 0.043922447]
[u'container_ship', 0.076358117, u'crossword_puzzle', 0.067063898, u'quilt', 0.060875036, u'shower_curtain', 0.033958711, u'library', 0.026475549]
[u'envelope', 0.057700235, u'digital_clock', 0.051532868, u'jellyfish', 0.049836434, u'web_site', 0.032071356, u'nematode', 0.021543171]
[u'planetarium', 0.099209882, u'library', 0.096113734, u'toilet_tissue', 0.095075548, u'toilet_seat', 0.063761137, u'dining_table', 0.056976631]
[u'wire-haired_fox_terrier', 0.035962772, u'Egyptian_cat', 0.033255797, u'English_foxhound', 0.021063088, u'snow_leopard', 0.018774269, u'cheetah', 0.016901951]
[u'container_ship', 0.14888452, u'balloon', 0.12772448, u'Windsor_tie', 0.035921723, u'planetarium', 0.034832686, u'wool', 0.030639861]
[u'shower_curtain', 0.17150323, u'handkerchief', 0.076403201, u'stupa', 0.047188111, u'container_ship', 0.043365598, u'quilt', 0.033828624]
[u'container_ship', 0.7489444, u'pool_table', 0.03322142, u'balloon', 0.018406354, u'crane', 0.013566261, u'digital_watch', 0.013197805]
[u'candle', 0.31192407, u'pedestal', 0.061384045, u'carton', 0.045475449, u'obelisk', 0.029681742, u'envelope', 0.019986778]
[u'window_screen', 0.18869849, u'window_shade', 0.041334923, u'balance_beam', 0.017640414, u'washbasin', 0.016649045, u'planetarium', 0.016420797]
[u'Chihuahua', 0.024095392, u'German_shepherd', 0.020436568, u'wire-haired_fox_terrier', 0.01978324, u'Siamese_cat', 0.017057199, u'Dandie_Dinmont', 0.01601777]
[u'library', 0.17650102, u'sliding_door', 0.067569666, u'prison', 0.047782585, u'dining_table', 0.041405577, u'vault', 0.022179438]
[u'desk', 0.28096217, u'shoji', 0.08821021, u'dining_table', 0.064144433, u'window_shade', 0.056533325, u'washbasin', 0.046463769]
[u'ballpoint', 0.029489635, u'airship', 0.022282222, u'tick', 0.018498646, u'screw', 0.018397138, u'window_screen', 0.017305478]
[u'prison', 0.073290944, u'window_screen', 0.035851996, u'window_shade', 0.02686329, u'shoji', 0.023487547, u'milk_can', 0.020953767]
[u'shower_curtain', 0.044187598, u'Windsor_tie', 0.031590402, u'fire_screen', 0.027839297, u'handkerchief', 0.022729065, u'window_screen', 0.018879022]
[u'jigsaw_puzzle', 0.33571637, u'shower_curtain', 0.28273469, u'tray', 0.039085053, u'handkerchief', 0.035069413, u'quilt', 0.023024747]
[u'Angora', 0.063024528, u'Pomeranian', 0.038657751, u'Chihuahua', 0.022580704, u'prison', 0.019825619, u'standard_poodle', 0.019607242]
[u'container_ship', 0.51984352, u'digital_clock', 0.12823138, u'library', 0.034599435, u'scoreboard', 0.023393616, u'maze', 0.022148356]
[u'bookshop', 0.035606403, u'wire-haired_fox_terrier', 0.034644611, u'English_foxhound', 0.031790681, u'prison', 0.020179905, u'window_screen', 0.018864926]
[u'shower_curtain', 0.051001944, u'Windsor_tie', 0.037834562, u'wardrobe', 0.036900528, u'handkerchief', 0.030654104, u'sliding_door', 0.030190634]
[u'container_ship', 0.28920951, u'library', 0.092420116, u'beacon', 0.07697124, u'stupa', 0.045021676, u'crane', 0.031607106]
[u'Egyptian_cat', 0.027140457, u'paper_towel', 0.024550047, u'toilet_seat', 0.023864171, u'wardrobe', 0.022003297, u'washbasin', 0.021377021]
[u'quilt', 0.026270807, u'tobacco_shop', 0.019784693, u'sea_snake', 0.015890606, u'prayer_rug', 0.014109413, u'Indian_cobra', 0.013801582]
[u'borzoi', 0.089172423, u'Old_English_sheepdog', 0.042731591, u'German_shepherd', 0.038643949, u'Border_collie', 0.034006674, u'Cardigan', 0.020912707]
[u'Windsor_tie', 0.31022573, u'vase', 0.081870191, u'knee_pad', 0.059406821, u'bulletproof_vest', 0.049308401, u'velvet', 0.020710777]
[u'handkerchief', 0.12883525, u'shower_curtain', 0.11966237, u'jigsaw_puzzle', 0.035452727, u'maze', 0.030984735, u'bookshop', 0.029208696]
[u'shower_curtain', 0.16738696, u'crossword_puzzle', 0.16584551, u'maze', 0.031507879, u'toilet_seat', 0.030130817, u'carton', 0.027871182]
[u'bookshop', 0.025949148, u'vault', 0.0214207, u'prison', 0.015941372, u'Indian_cobra', 0.011760904, u'suit', 0.011747892]
[u'library', 0.14521691, u'bookshop', 0.11195187, u'dining_table', 0.023836749, u'window_screen', 0.020450577, u'vault', 0.019746305]
[u'container_ship', 0.26981333, u'crane', 0.25654274, u'maze', 0.090673208, u'jigsaw_puzzle', 0.060684297, u'digital_clock', 0.030927641]
[u'German_shepherd', 0.062829837, u'bookshop', 0.044635747, u'English_foxhound', 0.036104888, u'tobacco_shop', 0.031600915, u'Norwegian_elkhound', 0.029330917]
[u'shoji', 0.26374549, u'sliding_door', 0.23506314, u'window_shade', 0.053346921, u'desk', 0.048678882, u'shower_curtain', 0.047803588]
[u'Angora', 0.05816035, u'hoopskirt', 0.04739536, u'lampshade', 0.045950614, u'toilet_seat', 0.040008262, u'toilet_tissue', 0.030157786]
[u'window_screen', 0.25786367, u'oscilloscope', 0.040751234, u'window_shade', 0.033536028, u'fire_screen', 0.016082127, u'solar_dish', 0.012459118]
[u'German_shepherd', 0.085610859, u'Norwegian_elkhound', 0.048588704, u'guenon', 0.040012773, u'keeshond', 0.035960291, u'Siamese_cat', 0.022971157]
[u'snow_leopard', 0.03779814, u'shower_curtain', 0.03643965, u'vulture', 0.033647247, u'missile', 0.031675987, u'Egyptian_cat', 0.022782786]
[u'bloodhound', 0.071701139, u'Brabancon_griffon', 0.065447271, u'German_shepherd', 0.038216889, u'Border_terrier', 0.036924671, u'miniature_pinscher', 0.029497216]
[u'container_ship', 0.24330331, u'switch', 0.1658112, u'crane', 0.14009653, u'drilling_platform', 0.045069832, u'traffic_light', 0.034933515]
[u'library', 0.60914606, u'bookshop', 0.18528152, u'dining_table', 0.018978832, u'vault', 0.017733932, u'maze', 0.011102471]
[u'digital_clock', 0.73453981, u'monitor', 0.027516034, u'screen', 0.0140423, u'digital_watch', 0.013794482, u'stopwatch', 0.010202379]
[u'digital_clock', 0.062440317, u'balloon', 0.037846241, u'digital_watch', 0.028112939, u'bolo_tie', 0.027426356, u'space_shuttle', 0.023078179]
[u'shower_curtain', 0.33123037, u'wool', 0.087359175, u'quilt', 0.049481131, u'prayer_rug', 0.041042235, u'handkerchief', 0.031683329]
[u'library', 0.26970381, u'bookshop', 0.10525423, u'container_ship', 0.088849984, u'tobacco_shop', 0.039137434, u'bookcase', 0.030643146]
[u'bookcase', 0.13955376, u'medicine_chest', 0.099659927, u'window_shade', 0.094950363, u'space_heater', 0.045610089, u'cassette', 0.042942643]
[u'black-and-tan_coonhound', 0.037142701, u'bloodhound', 0.03007549, u'German_shepherd', 0.028369464, u'Border_terrier', 0.027293576, u'miniature_pinscher', 0.023487328]
[u'Windsor_tie', 0.039183021, u'prayer_rug', 0.031159434, u'dhole', 0.027807508, u'window_screen', 0.024477888, u'wool', 0.021066751]
[u'window_shade', 0.22394356, u'library', 0.067105524, u'prison', 0.051071253, u'picket_fence', 0.036427569, u'lampshade', 0.036276694]
[u'container_ship', 0.18510032, u'solar_dish', 0.17901349, u'crane', 0.090555303, u'space_shuttle', 0.065416686, u'drilling_platform', 0.053476721]
[u'crossword_puzzle', 0.48306015, u'container_ship', 0.13174494, u'wool', 0.030972745, u'handkerchief', 0.020826396, u'quilt', 0.015843578]
[u'library', 0.3706449, u'bookshop', 0.18737532, u'carton', 0.12503093, u'bookcase', 0.033771507, u'maze', 0.019894505]
[u'carton', 0.16634279, u'container_ship', 0.14640811, u'library', 0.12703119, u'bookshop', 0.049161248, u'crossword_puzzle', 0.025333703]
[u'shower_curtain', 0.32053176, u'theater_curtain', 0.15045115, u'wardrobe', 0.080729313, u'sliding_door', 0.055083387, u'window_shade', 0.054484237]
[u'German_shepherd', 0.04406362, u'balance_beam', 0.039546996, u'peacock', 0.031386912, u'window_screen', 0.029142488, u'jay', 0.020788303]
[u'library', 0.15353723, u'planetarium', 0.062557995, u'vault', 0.053099468, u'bookshop', 0.042508833, u'pedestal', 0.026718991]
[u'Angora', 0.042362865, u'wool', 0.01714397, u'Dandie_Dinmont', 0.014632688, u'dining_table', 0.01251609, u'Scotch_terrier', 0.011896478]
[u'bookshop', 0.17855152, u'library', 0.12773061, u'dining_table', 0.078491151, u'container_ship', 0.020881079, u'bookcase', 0.014549294]
[u'miniskirt', 0.13940862, u'swimming_trunks', 0.067182362, u'sliding_door', 0.06087919, u'maillot', 0.054614078, u'wardrobe', 0.047650155]
[u'container_ship', 0.085320361, u'balance_beam', 0.035464104, u'library', 0.027643416, u'planetarium', 0.027302969, u'carton', 0.027069269]
[u'shoji', 0.38119051, u'window_shade', 0.13296793, u'prison', 0.095383361, u'sliding_door', 0.031041963, u'spotlight', 0.024157526]
