[u'African_hunting_dog', 0.047911651, u'English_foxhound', 0.038554069, u'German_shepherd', 0.037812494, u'wire-haired_fox_terrier', 0.028491676, u'Norwegian_elkhound', 0.025723115]
[u'window_screen', 0.055313148, u'sliding_door', 0.041264076, u'window_shade', 0.036627058, u'shoji', 0.024242461, u'monitor', 0.020712307]
[u'planetarium', 0.38106841, u'balloon', 0.042153925, u'dome', 0.041428618, u'carton', 0.038334358, u'library', 0.035954505]
[u'window_screen', 0.063450217, u'airship', 0.028202195, u'crossword_puzzle', 0.01731405, u'prison', 0.016334848, u'window_shade', 0.012796935]
[u'Border_terrier', 0.040969916, u'German_shepherd', 0.040907174, u'bookshop', 0.029165698, u'English_foxhound', 0.024974834, u'wire-haired_fox_terrier', 0.022345254]
[u'library', 0.18246396, u'missile', 0.069451086, u'space_shuttle', 0.047530212, u'planetarium', 0.041948624, u'bookshop', 0.039080489]
[u'monitor', 0.4955948, u'screen', 0.12443572, u'window_screen', 0.071454488, u'window_shade', 0.037445076, u'television', 0.023920279]
[u'safe', 0.029908119, u'screw', 0.023981825, u'dumbbell', 0.016388163, u'Windsor_tie', 0.016034767, u'wire-haired_fox_terrier', 0.015035903]
[u'quilt', 0.12171061, u'wool', 0.087368906, u'container_ship', 0.068872191, u'Windsor_tie', 0.067546047, u'prayer_rug', 0.026478544]
[u'bookshop', 0.31157145, u'library', 0.14301573, u'tobacco_shop', 0.06052829, u'confectionery', 0.045320973, u'dining_table', 0.022830449]
[u'handkerchief', 0.19678557, u'bath_towel', 0.058152925, u'tray', 0.046476685, u'shower_curtain', 0.044253472, u'shower_cap', 0.032275893]
[u'bookshop', 0.43166161, u'bookcase', 0.18813333, u'library', 0.15900902, u'tobacco_shop', 0.031732593, u'sliding_door', 0.015212655]
[u'container_ship', 0.32549798, u'library', 0.07570231, u'crossword_puzzle', 0.056547806, u'bookshop', 0.027997239, u'carton', 0.025142867]
[u'window_screen', 0.068518959, u'shower_curtain', 0.041376598, u'sliding_door', 0.034932323, u'window_shade', 0.033225589, u'Windsor_tie', 0.031853169]
[u'bookshop', 0.040251572, u'vault', 0.034563828, u'library', 0.026688512, u'fur_coat', 0.023832353, u'prison', 0.020184863]
[u'monitor', 0.077669814, u'fireboat', 0.054524869, u'tray', 0.044370484, u'crane', 0.043685477, u'desk', 0.040193822]
[u'Norwegian_elkhound', 0.048473239, u'Saint_Bernard', 0.043055099, u'borzoi', 0.037740737, u'keeshond', 0.035232659, u'English_foxhound', 0.03517206]
[u'wool', 0.030027024, u'English_foxhound', 0.027440459, u'wire-haired_fox_terrier', 0.019641122, u'shower_curtain', 0.017153952, u'prayer_rug', 0.015830209]
[u'bookshop', 0.052171297, u'window_screen', 0.03208559, u'desk', 0.024606002, u'bookcase', 0.024506578, u'shoji', 0.021843288]
