[u'prayer_rug', 0.99999774, u'doormat', 9.3016524e-07, u'jigsaw_puzzle', 4.6325243e-07, u'manhole_cover', 1.7447161e-07, u'tray', 1.4644506e-07]
[u'prayer_rug', 0.99999142, u'maze', 3.1545067e-06, u'doormat', 1.9230717e-06, u'manhole_cover', 1.8648332e-06, u'pillow', 2.4594505e-07]
[u'prayer_rug', 0.99506652, u'doormat', 0.0041954657, u'jigsaw_puzzle', 0.00021229438, u'window_screen', 0.00018785725, u'honeycomb', 4.6114001e-05]
[u'prayer_rug', 0.99996698, u'doormat', 2.152974e-05, u'tray', 1.9370098e-06, u'wallet', 1.4507367e-06, u'wardrobe', 1.2403059e-06]
[u'prayer_rug', 0.99951589, u'doormat', 0.00034044404, u'manhole_cover', 2.8727967e-05, u'tray', 2.5129177e-05, u'jigsaw_puzzle', 2.2686259e-05]
[u'prayer_rug', 0.99987829, u'doormat', 9.351888e-05, u'wool', 6.1625469e-06, u'wallet', 4.9258124e-06, u'tray', 2.7335448e-06]
[u'prayer_rug', 0.9998436, u'manhole_cover', 5.681159e-05, u'jigsaw_puzzle', 4.7336041e-05, u'doormat', 3.4728695e-05, u'maze', 1.6735279e-05]
[u'prayer_rug', 0.99965394, u'doormat', 0.0002465311, u'manhole_cover', 8.4102008e-05, u'maze', 6.0785637e-06, u'fire_screen', 2.4450899e-06]
[u'prayer_rug', 0.99986613, u'doormat', 4.2917414e-05, u'jigsaw_puzzle', 3.6761554e-05, u'tray', 1.526133e-05, u'maze', 1.0458873e-05]
[u'window_screen', 0.40810138, u'prayer_rug', 0.14928731, u'window_shade', 0.097440295, u'doormat', 0.083170339, u'fire_screen', 0.046594527]
[u'prayer_rug', 0.99998736, u'jigsaw_puzzle', 8.9603536e-06, u'doormat', 2.0524139e-06, u'tray', 8.9688126e-07, u'manhole_cover', 1.5787097e-07]
[u'running_shoe', 0.23828608, u'mask', 0.1624096, u'paintbrush', 0.07434427, u'totem_pole', 0.053517234, u'pelican', 0.030425865]
[u'prayer_rug', 0.98940688, u'doormat', 0.0077441768, u'jigsaw_puzzle', 0.0019607497, u'pillow', 0.00023366908, u'maze', 0.00019511163]
[u'prayer_rug', 0.93766028, u'doormat', 0.059542764, u'honeycomb', 0.00079795113, u'tray', 0.00071328564, u'window_screen', 0.00050835242]
[u'prayer_rug', 0.26207852, u'window_screen', 0.2521387, u'doormat', 0.14752887, u'brass', 0.056216575, u'jigsaw_puzzle', 0.036781725]
[u'fountain', 0.25914988, u'picket_fence', 0.099707864, u'web_site', 0.073936284, u'plastic_bag', 0.04667744, u'space_shuttle', 0.046003144]
[u'prayer_rug', 0.99963892, u'doormat', 0.00032739405, u'manhole_cover', 8.289182e-06, u'jigsaw_puzzle', 4.6853979e-06, u'maze', 3.3357794e-06]
[u'prayer_rug', 0.99972969, u'doormat', 0.00018098102, u'manhole_cover', 2.982554e-05, u'maze', 1.994593e-05, u'brass', 7.5317485e-06]
[u'prayer_rug', 0.99828964, u'doormat', 0.0014809283, u'manhole_cover', 6.627282e-05, u'jigsaw_puzzle', 5.0773266e-05, u'tray', 4.3174994e-05]
[u'prayer_rug', 0.98754871, u'doormat', 0.0073634456, u'window_screen', 0.0016932016, u'jigsaw_puzzle', 0.00059006939, u'fire_screen', 0.00041504414]
[u'prayer_rug', 0.96511137, u'doormat', 0.020895805, u'jigsaw_puzzle', 0.0087917633, u'handkerchief', 0.001676693, u'tray', 0.001008561]
[u'prayer_rug', 0.95780164, u'doormat', 0.01848866, u'handkerchief', 0.0064801606, u'wallet', 0.0031176743, u'window_screen', 0.0026551445]
[u'prayer_rug', 0.99998927, u'doormat', 6.1987757e-06, u'jigsaw_puzzle', 3.1066543e-06, u'manhole_cover', 5.9650375e-07, u'maze', 2.9718845e-07]
[u'prayer_rug', 0.99999678, u'doormat', 1.8234605e-06, u'jigsaw_puzzle', 9.9545321e-07, u'maze', 2.0664494e-07, u'manhole_cover', 8.797381e-08]
[u'prayer_rug', 0.79182774, u'tray', 0.071374334, u'jigsaw_puzzle', 0.046612076, u'doormat', 0.040793452, u'wallet', 0.0088915071]
[u'book_jacket', 0.30039275, u'abaya', 0.058123268, u'cliff', 0.040141076, u'fountain', 0.037427947, u'poncho', 0.036337405]
[u'prayer_rug', 0.97451639, u'wardrobe', 0.0055333902, u'throne', 0.0054837777, u'altar', 0.002338663, u'doormat', 0.0018971192]
[u'prayer_rug', 0.96099764, u'doormat', 0.023438599, u'jigsaw_puzzle', 0.012456173, u'tray', 0.00094197749, u'manhole_cover', 0.00043855977]
[u'prayer_rug', 0.99990785, u'doormat', 5.1676328e-05, u'manhole_cover', 2.0550799e-05, u'jigsaw_puzzle', 1.2962413e-05, u'maze', 4.5213528e-06]
[u'swab', 0.29137051, u'gown', 0.09790425, u'stole', 0.078212403, u'Arabian_camel', 0.058625441, u'maypole', 0.047903344]
[u'prayer_rug', 0.99976367, u'doormat', 8.9660367e-05, u'fire_screen', 4.2247633e-05, u'wardrobe', 3.7487629e-05, u'chest', 1.6951068e-05]
