[u'window_screen', 0.13692404, u'shower_curtain', 0.08220733, u'window_shade', 0.05934836, u'fire_screen', 0.053599853, u'pedestal', 0.047194801]
[u'quilt', 0.03918916, u'bookshop', 0.026450364, u'library', 0.023804657, u'maze', 0.021925267, u'restaurant', 0.020890094]
[u'Chihuahua', 0.027398543, u'English_foxhound', 0.019898567, u'African_hunting_dog', 0.016996952, u'German_shepherd', 0.012403467, u'quilt', 0.010901387]
[u'prayer_rug', 0.03961074, u'shower_curtain', 0.028558327, u'shoji', 0.023592493, u'dining_table', 0.020985348, u'maze', 0.019189946]
[u'shower_curtain', 0.35906312, u'shoji', 0.081943437, u'wardrobe', 0.069766864, u'window_shade', 0.036162898, u'suit', 0.019724399]
[u'maze', 0.090206988, u'vault', 0.035792403, u'wall_clock', 0.03205118, u'library', 0.03000191, u'analog_clock', 0.025172764]
[u'container_ship', 0.42331114, u'panpipe', 0.11682941, u'digital_watch', 0.052168138, u'envelope', 0.0407639, u'digital_clock', 0.02179208]
[u'marmoset', 0.029405186, u'African_hunting_dog', 0.025765985, u'meerkat', 0.019109122, u'black_grouse', 0.014715694, u'timber_wolf', 0.011732033]
[u'carton', 0.08178778, u'shower_curtain', 0.058048759, u'container_ship', 0.05319678, u'washbasin', 0.035590574, u'maze', 0.035155375]
[u'bookshop', 0.043103319, u'crossword_puzzle', 0.038684316, u'sliding_door', 0.022317275, u'shower_curtain', 0.021026794, u'quilt', 0.0193053]
[u'window_screen', 0.15282479, u'sliding_door', 0.10978962, u'window_shade', 0.060998913, u'shower_curtain', 0.051141318, u'shoji', 0.042871092]
[u'window_screen', 0.053683173, u'suit', 0.030482972, u'shower_curtain', 0.029146381, u'bloodhound', 0.026572537, u'German_shepherd', 0.025551282]
[u'maze', 0.087621883, u'quilt', 0.077969834, u'digital_clock', 0.04046895, u'washbasin', 0.033363476, u'container_ship', 0.024868794]
[u'African_hunting_dog', 0.10836278, u'Border_terrier', 0.032377414, u'dining_table', 0.029519022, u'dhole', 0.026112266, u'library', 0.02561041]
[u'window_screen', 0.17684285, u'window_shade', 0.041095611, u'shower_curtain', 0.039889909, u'sliding_door', 0.037931241, u'shoji', 0.033036921]
[u'window_screen', 0.036249202, u'shoji', 0.029588332, u'shower_curtain', 0.025344653, u'window_shade', 0.022248119, u'balance_beam', 0.01930261]
[u'window_screen', 0.069203466, u'fire_screen', 0.054591611, u'handkerchief', 0.02094334, u'shoji', 0.020353036, u'window_shade', 0.015285022]
[u'window_screen', 0.11672451, u'vault', 0.067309082, u'prison', 0.049288142, u'sliding_door', 0.047734659, u'fire_screen', 0.037246764]
[u'shower_curtain', 0.6630426, u'Windsor_tie', 0.032754228, u'suit', 0.025239168, u'handkerchief', 0.015495007, u'window_screen', 0.013396996]
[u'bookshop', 0.13441969, u'library', 0.091258407, u'vault', 0.039390221, u'stupa', 0.019737802, u'maze', 0.015729161]
[u'container_ship', 0.20031458, u'stupa', 0.043571468, u'solar_dish', 0.031012256, u'quilt', 0.029313507, u'maze', 0.0231438]
[u'balance_beam', 0.10545839, u'maze', 0.046409834, u'studio_couch', 0.035585232, u'digital_clock', 0.026101712, u'container_ship', 0.021287886]
[u'pedestal', 0.035725664, u'vault', 0.018880833, u'crane', 0.018390171, u'planetarium', 0.016844666, u'stupa', 0.016559731]
[u'Chihuahua', 0.024729764, u'quilt', 0.016886987, u'English_foxhound', 0.016324414, u'African_hunting_dog', 0.014845512, u'crossword_puzzle', 0.014207309]
[u'container_ship', 0.13706203, u'digital_clock', 0.080301598, u'scoreboard', 0.070199475, u'maze', 0.067221276, u'prayer_rug', 0.052739993]
[u'shower_curtain', 0.22634418, u'washbasin', 0.050736368, u'toilet_seat', 0.033807151, u'prayer_rug', 0.028929465, u'quilt', 0.023379395]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'German_shepherd', 0.02827397, u'African_hunting_dog', 0.017483763, u'Chihuahua', 0.016623739, u'Windsor_tie', 0.012309813, u'tick', 0.011875617]
[u'shower_curtain', 0.16735265, u'window_screen', 0.046707306, u'fire_screen', 0.042260747, u'window_shade', 0.033985749, u'prayer_rug', 0.03194822]
[u'digital_clock', 0.077664241, u'window_shade', 0.054245196, u'vault', 0.045594059, u'lampshade', 0.038075231, u'spotlight', 0.037374876]
[u'shower_curtain', 0.20075786, u'handkerchief', 0.14131205, u'tray', 0.052386429, u'apron', 0.050851036, u'prayer_rug', 0.037152905]
[u'maze', 0.15955369, u'quilt', 0.085231543, u'prayer_rug', 0.07632558, u'jigsaw_puzzle', 0.03636067, u'stupa', 0.023324562]
[u'washbasin', 0.068643101, u'bathtub', 0.047347318, u'balance_beam', 0.046485085, u'tub', 0.037510294, u'soap_dispenser', 0.037413046]
[u'library', 0.073898628, u'bookcase', 0.039963547, u'bookshop', 0.029850429, u'dining_table', 0.02422398, u'shoji', 0.017825261]
[u'shoji', 0.049375415, u'window_shade', 0.042979758, u'black_grouse', 0.04118697, u'pedestal', 0.025869435, u'fire_screen', 0.023489179]
[u'quilt', 0.043574635, u'bookshop', 0.030455701, u'vault', 0.02980263, u'maze', 0.025161047, u'restaurant', 0.02204477]
[u'Windsor_tie', 0.099140354, u'shower_curtain', 0.090625159, u'bath_towel', 0.046169799, u'wool', 0.038701687, u'handkerchief', 0.036874332]
[u'pedestal', 0.030205742, u'sliding_door', 0.029248474, u'fire_screen', 0.027898364, u'bookshop', 0.027377121, u'window_screen', 0.025115917]
[u'container_ship', 0.24410023, u'crane', 0.031729355, u'envelope', 0.031147065, u'digital_clock', 0.026160648, u'pill_bottle', 0.017740691]
[u'shower_curtain', 0.09399166, u'window_screen', 0.089754038, u'Windsor_tie', 0.067309014, u'handkerchief', 0.034013923, u'window_shade', 0.029065462]
[u'pedestal', 0.075627118, u'vault', 0.060608849, u'fire_screen', 0.05111846, u'suit', 0.047341812, u'prayer_rug', 0.047051948]
[u'scoreboard', 0.05926194, u'digital_clock', 0.059192214, u'window_screen', 0.030903561, u'balance_beam', 0.026582012, u'container_ship', 0.024038563]
[u'Border_terrier', 0.021292396, u'German_shepherd', 0.021182045, u'English_foxhound', 0.018618375, u'fire_screen', 0.01695, u'bookshop', 0.016745463]
[u'library', 0.032301899, u'bookshop', 0.030863764, u'prison', 0.026724553, u'suit', 0.019231139, u'window_screen', 0.016335871]
[u'digital_clock', 0.22297414, u'prayer_rug', 0.11615065, u'digital_watch', 0.051099285, u'quilt', 0.039901622, u'shower_curtain', 0.031956065]
[u'envelope', 0.19092098, u'handkerchief', 0.080660939, u'scale', 0.075302668, u'tray', 0.073268145, u'digital_clock', 0.050565027]
