[u'library', 0.47125697, u'container_ship', 0.22452191, u'carton', 0.10805687, u'bookshop', 0.023636241, u'dining_table', 0.022742698]
[u'window_screen', 0.10971281, u'shower_curtain', 0.048798461, u'window_shade', 0.034290079, u'missile', 0.025467291, u'geyser', 0.021417731]
[u'library', 0.069753319, u'window_screen', 0.065456942, u'missile', 0.02778754, u'solar_dish', 0.024836564, u'bookshop', 0.023550279]
[u'bookshop', 0.13746767, u'library', 0.1326886, u'window_screen', 0.060137477, u'window_shade', 0.047585636, u'prison', 0.035301857]
[u'window_screen', 0.15211937, u'window_shade', 0.057472546, u'sliding_door', 0.024422966, u'monitor', 0.01624296, u'tobacco_shop', 0.011907497]
[u'bookshop', 0.42945531, u'library', 0.14023276, u'bookcase', 0.1069933, u'fire_screen', 0.017272487, u'grand_piano', 0.013259964]
[u'shoji', 0.08240968, u'shower_curtain', 0.068533152, u'window_shade', 0.058043726, u'vault', 0.034589652, u'prison', 0.028950322]
[u'shower_curtain', 0.059485737, u'bookshop', 0.052891616, u'digital_watch', 0.039951712, u'library', 0.033228703, u'vault', 0.022960395]
[u'crane', 0.26842222, u'container_ship', 0.083671615, u'traffic_light', 0.02945154, u'screw', 0.019405279, u'web_site', 0.017086737]
[u'grand_piano', 0.034172032, u'bannister', 0.028547853, u'prison', 0.022198027, u'coil', 0.019100487, u'Siamese_cat', 0.015704682]
[u'window_screen', 0.16062246, u'window_shade', 0.034730684, u'shower_curtain', 0.022706408, u'fire_screen', 0.021702269, u'sliding_door', 0.019480607]
[u'window_screen', 0.045372207, u'window_shade', 0.025654253, u'shoji', 0.023754934, u'bookshop', 0.022909367, u'fire_screen', 0.022767151]
[u'prison', 0.17861907, u'vault', 0.085431404, u'window_screen', 0.07071238, u'sliding_door', 0.03708636, u'window_shade', 0.032717392]
[u'Angora', 0.048557956, u'prison', 0.047347289, u'keeshond', 0.037498496, u'Persian_cat', 0.035525896, u'Pomeranian', 0.023554277]
[u'cleaver', 0.095672838, u'spatula', 0.084291473, u'dumbbell', 0.078360491, u'plunger', 0.072904311, u'lab_coat', 0.063196763]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'bookshop', 0.22391532, u'library', 0.098291315, u'tobacco_shop', 0.033809043, u'dining_table', 0.024269842, u'bookcase', 0.015974626]
[u'library', 0.11898495, u'bookshop', 0.058116466, u'Tibetan_mastiff', 0.027682483, u'keeshond', 0.026200127, u'Old_English_sheepdog', 0.022663835]
[u'bottlecap', 0.18461245, u'digital_watch', 0.13035782, u'stopwatch', 0.12518443, u'magnetic_compass', 0.091822758, u'wall_clock', 0.084649593]
[u'container_ship', 0.075180955, u'crossword_puzzle', 0.041380398, u'planetarium', 0.020069353, u'Chihuahua', 0.019351488, u'fountain', 0.017176732]
