[u'bookshop', 0.25737509, u'library', 0.085082218, u'prison', 0.027569899, u'Saint_Bernard', 0.025587168, u'sliding_door', 0.019661]
[u'vault', 0.13105701, u'church', 0.091038942, u'library', 0.053939223, u'planetarium', 0.051874802, u'fountain', 0.047454227]
[u'bookcase', 0.20030691, u'sliding_door', 0.1507321, u'library', 0.14560725, u'wardrobe', 0.078129873, u'bookshop', 0.0479584]
[u'wall_clock', 0.10866262, u'handkerchief', 0.039247911, u'dining_table', 0.034431458, u'Windsor_tie', 0.033519763, u'safe', 0.032574672]
[u'geyser', 0.094451346, u'window_screen', 0.064102598, u'pedestal', 0.037067607, u'space_shuttle', 0.032514412, u'fountain', 0.030299697]
[u'vase', 0.080632843, u'shower_curtain', 0.06503161, u'stole', 0.037637409, u'fur_coat', 0.036030143, u'Egyptian_cat', 0.025628999]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'library', 0.08708293, u'bookshop', 0.051808674, u'dining_table', 0.049181685, u'vault', 0.02163733, u'tobacco_shop', 0.014207789]
[u'bookshop', 0.32034144, u'library', 0.16721214, u'tobacco_shop', 0.042559203, u'dining_table', 0.018177513, u'bookcase', 0.015164369]
[u'wool', 0.25546491, u'crossword_puzzle', 0.080379002, u'stole', 0.044650085, u'digital_watch', 0.029027404, u'poncho', 0.026156986]
[u'container_ship', 0.66923034, u'balloon', 0.043449312, u'pool_table', 0.039434899, u'crane', 0.016435737, u'digital_watch', 0.015550072]
[u'window_shade', 0.088265203, u'theater_curtain', 0.063246638, u'window_screen', 0.025964888, u'tray', 0.022162935, u'library', 0.015033135]
[u'library', 0.6516515, u'bookshop', 0.28508401, u'bookcase', 0.019754963, u'forklift', 0.0055513959, u'tobacco_shop', 0.0034461347]
[u'library', 0.24875507, u'bookshop', 0.12583706, u'bookcase', 0.014878399, u'dining_table', 0.012395106, u'Old_English_sheepdog', 0.011198718]
[u'shower_curtain', 0.29285353, u'window_screen', 0.13965605, u'window_shade', 0.075337894, u'handkerchief', 0.039842017, u'sliding_door', 0.034608629]
[u'Egyptian_cat', 0.029961495, u'Persian_cat', 0.024967853, u'Old_English_sheepdog', 0.022928664, u'vulture', 0.018282635, u'window_screen', 0.017940005]
[u'Windsor_tie', 0.14270051, u'stole', 0.032336347, u'Indian_cobra', 0.030165894, u'wool', 0.027811335, u'Egyptian_cat', 0.024980646]
[u'library', 0.15375231, u'bookshop', 0.14364904, u'prison', 0.034521352, u'vault', 0.033938911, u'sliding_door', 0.031948566]
[u'shower_curtain', 0.086262412, u'window_shade', 0.084035344, u'wardrobe', 0.064318344, u'shoji', 0.052158114, u'fire_screen', 0.041611407]
[u'vault', 0.037580851, u'vulture', 0.024134507, u'bookshop', 0.022070207, u'planetarium', 0.018809211, u'prison', 0.018738611]
[u'African_hunting_dog', 0.031492572, u'German_shepherd', 0.024565334, u'bookshop', 0.024408022, u'dhole', 0.019877816, u'English_foxhound', 0.016095512]
[u'vault', 0.1416119, u'stupa', 0.10405865, u'library', 0.048309647, u'bookshop', 0.035661288, u'pedestal', 0.029902302]
[u'window_screen', 0.18651626, u'window_shade', 0.096844323, u'sliding_door', 0.053451817, u'bookshop', 0.032790393, u'fire_screen', 0.027854361]
[u'window_screen', 0.059003633, u'Egyptian_cat', 0.024086479, u'Border_collie', 0.019840725, u'fountain', 0.016877394, u'Japanese_spaniel', 0.013382442]
[u'library', 0.15692434, u'bookshop', 0.096279785, u'window_shade', 0.074238367, u'window_screen', 0.050097231, u'grand_piano', 0.035837445]
[u'crossword_puzzle', 0.034346856, u'bookshop', 0.025244772, u'quilt', 0.018656174, u'Border_terrier', 0.015814824, u'Chihuahua', 0.015764123]
[u'shoji', 0.08537665, u'window_shade', 0.061268773, u'prayer_rug', 0.060847308, u'shower_curtain', 0.042830132, u'maze', 0.038799465]
[u'bookshop', 0.083152264, u'tobacco_shop', 0.0417937, u'window_screen', 0.041409224, u'shower_curtain', 0.02335644, u'prison', 0.018027833]
[u'shower_curtain', 0.11807264, u'library', 0.06072934, u'maze', 0.045723308, u'vault', 0.039569605, u'bookshop', 0.036680039]
[u'solar_dish', 0.095448859, u'planetarium', 0.06081697, u'library', 0.056919262, u'pedestal', 0.05095062, u'space_shuttle', 0.045793563]
[u'Indian_cobra', 0.14709921, u'English_foxhound', 0.082085028, u'African_hunting_dog', 0.031815089, u'wire-haired_fox_terrier', 0.02945447, u'Chihuahua', 0.028745733]
[u'traffic_light', 0.15075596, u'bathing_cap', 0.076156765, u'electric_ray', 0.066726692, u'toilet_seat', 0.044452589, u'paper_towel', 0.039899368]
[u'maze', 0.1786736, u'jigsaw_puzzle', 0.12675099, u'fountain', 0.044805136, u'digital_clock', 0.03129008, u'stupa', 0.030785047]
[u'carton', 0.10257959, u'washbasin', 0.088203289, u'medicine_chest', 0.075997092, u'container_ship', 0.034527104, u'shower_curtain', 0.027742621]
[u'German_shepherd', 0.058241099, u'Windsor_tie', 0.049275778, u'window_screen', 0.031594552, u'Brabancon_griffon', 0.021624019, u'suit', 0.020572588]
[u'library', 0.091904134, u'prison', 0.083274014, u'sliding_door', 0.063005716, u'bookcase', 0.05319668, u'turnstile', 0.041947566]
[u'shower_curtain', 0.048421998, u'vault', 0.043649092, u'window_screen', 0.039236616, u'window_shade', 0.036847353, u'fire_screen', 0.036816809]
[u'German_shepherd', 0.037736226, u'tobacco_shop', 0.035806462, u'bookshop', 0.034434803, u'Norwegian_elkhound', 0.026275771, u'keeshond', 0.022235135]
[u'shower_curtain', 0.081627354, u'carton', 0.061178785, u'fire_screen', 0.059660472, u'handkerchief', 0.03929811, u'envelope', 0.032217488]
[u'Windsor_tie', 0.093868375, u'English_foxhound', 0.044345062, u'bloodhound', 0.028262695, u'German_shepherd', 0.027333319, u'bulletproof_vest', 0.017474256]
[u'prison', 0.051567338, u'sliding_door', 0.021593941, u'shoji', 0.0184219, u'bookshop', 0.017151058, u'dhole', 0.014963992]
[u'Chihuahua', 0.030598648, u'crossword_puzzle', 0.023186088, u'papillon', 0.021592332, u'Pomeranian', 0.021556862, u'keeshond', 0.018696213]
[u'window_screen', 0.31181258, u'window_shade', 0.055722665, u'fire_screen', 0.041858591, u'planetarium', 0.037372254, u'oscilloscope', 0.033407733]
[u'library', 0.090036459, u'container_ship', 0.043260138, u'bookshop', 0.039749008, u'crane', 0.032526519, u'window_screen', 0.032116611]
[u'stupa', 0.069316261, u'container_ship', 0.063526884, u'pedestal', 0.062761359, u'library', 0.061635964, u'planetarium', 0.039105166]
[u'bookshop', 0.018006908, u'wire-haired_fox_terrier', 0.017869307, u'library', 0.017222485, u'dining_table', 0.016726438, u'Chihuahua', 0.014946873]
[u'shower_curtain', 0.15612808, u'window_screen', 0.05797375, u'oscilloscope', 0.047642469, u'handkerchief', 0.020882325, u'maze', 0.02019777]
[u'oscilloscope', 0.29276794, u'screen', 0.1095222, u'shower_curtain', 0.09499795, u'monitor', 0.082541861, u'handkerchief', 0.071526878]
[u'dining_table', 0.068413064, u'grand_piano', 0.036145203, u'container_ship', 0.026435595, u'desk', 0.020673808, u'Brabancon_griffon', 0.017876279]
[u'space_shuttle', 0.15108332, u'dam', 0.081944272, u'beacon', 0.05210657, u'pier', 0.052106276, u'solar_dish', 0.041507874]
[u'balloon', 0.13943614, u'obelisk', 0.10108459, u'fountain', 0.098707564, u'missile', 0.078483038, u'mosque', 0.056994475]
[u'crossword_puzzle', 0.1267398, u'shower_curtain', 0.084727652, u'book_jacket', 0.047433671, u'container_ship', 0.028626809, u'window_screen', 0.027858051]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'dining_table', 0.075430416, u'bookcase', 0.073128775, u'desk', 0.039517377, u'safe', 0.033991307, u'vase', 0.032414835]
[u'library', 0.19556491, u'shower_curtain', 0.093180932, u'desk', 0.050020207, u'bookshop', 0.049172234, u'pedestal', 0.035765171]
[u'bookshop', 0.3562403, u'library', 0.056489844, u'shower_curtain', 0.050590057, u'bookcase', 0.045836437, u'tobacco_shop', 0.043937963]
[u'monitor', 0.40647829, u'screen', 0.094164461, u'television', 0.082019731, u'window_screen', 0.034831766, u'home_theater', 0.032389969]
[u'miniature_pinscher', 0.057816897, u'Chihuahua', 0.042815652, u'African_hunting_dog', 0.037614513, u'Border_terrier', 0.03461213, u'toy_terrier', 0.031765603]
[u'binder', 0.1329879, u'jersey', 0.066634372, u'digital_clock', 0.065749988, u'perfume', 0.043646365, u'whistle', 0.037750039]
[u'bookshop', 0.28275719, u'library', 0.23536485, u'tobacco_shop', 0.049732029, u'restaurant', 0.042590305, u'grocery_store', 0.021836834]
[u'sliding_door', 0.23711884, u'bookcase', 0.099246293, u'bookshop', 0.093121074, u'library', 0.086488441, u'prison', 0.073952831]
[u'library', 0.20626152, u'bookcase', 0.17453487, u'container_ship', 0.080106914, u'dining_table', 0.039720729, u'bookshop', 0.039148256]
[u'bell_cote', 0.059221506, u'library', 0.057499357, u'pedestal', 0.055666734, u'triumphal_arch', 0.042316798, u'patio', 0.02469353]
[u'sliding_door', 0.076564766, u'window_shade', 0.068781346, u'shower_curtain', 0.067979105, u'window_screen', 0.067714766, u'shoji', 0.057629306]
[u'shower_curtain', 0.17035867, u'window_screen', 0.066349693, u'window_shade', 0.063864402, u'crossword_puzzle', 0.052971005, u'sliding_door', 0.03691994]
[u'library', 0.068917766, u'bookshop', 0.065721601, u'dining_table', 0.033964254, u'sliding_door', 0.019883696, u'tobacco_shop', 0.019739404]
[u'shower_curtain', 0.51064265, u'window_shade', 0.064124875, u'sliding_door', 0.034852836, u'throne', 0.032596227, u'wardrobe', 0.028140495]
[u'African_hunting_dog', 0.38842782, u'dhole', 0.066570267, u'hyena', 0.042517401, u'German_shepherd', 0.022516653, u'meerkat', 0.01953079]
[u'container_ship', 0.24330331, u'switch', 0.1658112, u'crane', 0.14009653, u'drilling_platform', 0.045069832, u'traffic_light', 0.034933515]
[u'Border_terrier', 0.064022981, u'bookshop', 0.036734622, u'African_hunting_dog', 0.026819972, u'malinois', 0.024851942, u'container_ship', 0.021860825]
[u'borzoi', 0.10268346, u'Siberian_husky', 0.070165686, u'malamute', 0.044452272, u'Old_English_sheepdog', 0.035763465, u'Eskimo_dog', 0.030993233]
[u'fountain', 0.3165611, u'digital_clock', 0.13746572, u'spotlight', 0.035573341, u'picket_fence', 0.031955928, u'syringe', 0.024673678]
[u'theater_curtain', 0.1768464, u'jigsaw_puzzle', 0.051844258, u'velvet', 0.036278602, u'throne', 0.025869487, u'container_ship', 0.022930739]
[u'shower_curtain', 0.26763242, u'sliding_door', 0.18910177, u'wardrobe', 0.10068244, u'library', 0.055587683, u'shoji', 0.028876584]
[u'container_ship', 0.52388155, u'library', 0.11883302, u'crossword_puzzle', 0.057259195, u'bookcase', 0.052270252, u'carton', 0.032357894]
[u'library', 0.39068151, u'bookshop', 0.095040195, u'container_ship', 0.058784533, u'dining_table', 0.039265968, u'bookcase', 0.030815789]
[u'Angora', 0.14974006, u'missile', 0.066877209, u'projectile', 0.060473543, u'space_shuttle', 0.036892846, u'Maltese_dog', 0.029895505]
[u'pedestal', 0.13263157, u'vault', 0.048288062, u'prison', 0.045799673, u'library', 0.02557111, u'solar_dish', 0.020985112]
[u'African_hunting_dog', 0.067773439, u'German_shepherd', 0.029419443, u'dhole', 0.028767571, u'English_foxhound', 0.017805986, u'Chihuahua', 0.015935306]
[u'library', 0.3240647, u'bookshop', 0.14292584, u'tobacco_shop', 0.051142965, u'bookcase', 0.018525863, u'medicine_chest', 0.015017925]
[u'English_foxhound', 0.053121172, u'solar_dish', 0.044788476, u'wire-haired_fox_terrier', 0.04294106, u'tobacco_shop', 0.022573978, u'Cardigan', 0.022002811]
[u'container_ship', 0.61493295, u'dam', 0.039614268, u'breakwater', 0.029236916, u'photocopier', 0.022672474, u'pier', 0.021953048]
[u'pill_bottle', 0.53574347, u'envelope', 0.063870691, u'container_ship', 0.048114616, u'digital_clock', 0.046569977, u'whistle', 0.031386655]
[u'library', 0.11348214, u'dining_table', 0.040980134, u'bookshop', 0.031672657, u'carton', 0.020611482, u'washbasin', 0.0195933]
[u'container_ship', 0.15220124, u'stupa', 0.07537479, u'balloon', 0.045679446, u'solar_dish', 0.033341832, u'crane', 0.024096457]
[u'library', 0.69350249, u'bookshop', 0.19367622, u'tobacco_shop', 0.015549274, u'bookcase', 0.0085350312, u'sliding_door', 0.0058229449]
[u'library', 0.25065106, u'bookshop', 0.18002914, u'dining_table', 0.028782362, u'bookcase', 0.027078448, u'desk', 0.023998436]
[u'window_screen', 0.050413534, u'Angora', 0.015575948, u'vulture', 0.013367994, u'badger', 0.012147845, u'window_shade', 0.010804567]
[u'pedestal', 0.19477171, u'planetarium', 0.041004397, u'sliding_door', 0.039193403, u'window_screen', 0.037433952, u'fire_screen', 0.02464802]
[u'prayer_rug', 0.094508275, u'maze', 0.05164624, u'library', 0.039379198, u'doormat', 0.038964, u'shower_curtain', 0.036989242]
[u'Old_English_sheepdog', 0.062242381, u'keeshond', 0.053360291, u'Norwegian_elkhound', 0.032522745, u'Angora', 0.026916005, u'Egyptian_cat', 0.023798006]
[u'borzoi', 0.10785536, u'solar_dish', 0.040312946, u'space_shuttle', 0.036353778, u'Old_English_sheepdog', 0.028978702, u'geyser', 0.023796028]
[u'bookshop', 0.078515515, u'library', 0.068653412, u'dining_table', 0.039322633, u'German_shepherd', 0.025555111, u'tobacco_shop', 0.024286477]
[u'African_hunting_dog', 0.024294998, u'keeshond', 0.016361473, u'vulture', 0.015442914, u'window_screen', 0.015301183, u'German_shepherd', 0.012276878]
[u'bookshop', 0.037013289, u'library', 0.026866818, u'tank', 0.025112715, u'stupa', 0.023764985, u'caldron', 0.022350274]
[u'jellyfish', 0.11159365, u'dugong', 0.069833487, u'scuba_diver', 0.055336084, u'electric_ray', 0.052951355, u'nematode', 0.044476561]
[u'shower_curtain', 0.20748848, u'pedestal', 0.053518586, u'handkerchief', 0.025320312, u'lab_coat', 0.023802321, u'stole', 0.023324629]
[u'shower_curtain', 0.45265168, u'handkerchief', 0.06955611, u'wool', 0.045166507, u'quilt', 0.028644474, u'velvet', 0.027782392]
[u'container_ship', 0.65558136, u'pill_bottle', 0.050312787, u'carton', 0.02412897, u'medicine_chest', 0.016337184, u'picket_fence', 0.014644706]
[u'bottlecap', 0.10255156, u'balloon', 0.063709304, u'digital_watch', 0.055863861, u'analog_clock', 0.038800284, u'stopwatch', 0.037473992]
[u'window_screen', 0.17326708, u'sliding_door', 0.075841464, u'window_shade', 0.06640964, u'fire_screen', 0.04633278, u'monitor', 0.038327027]
[u'window_screen', 0.073502526, u'geyser', 0.048018564, u'bulletproof_vest', 0.023055108, u'solar_dish', 0.018594999, u'fire_screen', 0.014652112]
[u'bookshop', 0.049915876, u'tobacco_shop', 0.033495653, u'Old_English_sheepdog', 0.032148343, u'wire-haired_fox_terrier', 0.022729076, u'caldron', 0.022642247]
[u'container_ship', 0.24857898, u'bookshop', 0.15832649, u'library', 0.064962223, u'jigsaw_puzzle', 0.035041865, u'tobacco_shop', 0.029793626]
[u'library', 0.34980056, u'bookshop', 0.14671487, u'container_ship', 0.076218471, u'stupa', 0.024930609, u'bookcase', 0.023067733]
[u'window_screen', 0.076753952, u'timber_wolf', 0.031338613, u'tobacco_shop', 0.025559153, u'Egyptian_cat', 0.021710699, u'tabby', 0.015657801]
[u'window_screen', 0.13491799, u'shower_curtain', 0.094066754, u'fire_screen', 0.058930852, u'pedestal', 0.052294504, u'oscilloscope', 0.026304759]
[u'library', 0.081680916, u'grand_piano', 0.046749189, u'stupa', 0.036799293, u'bookshop', 0.033254504, u'dining_table', 0.017699501]
[u'English_foxhound', 0.075040959, u'wire-haired_fox_terrier', 0.044848852, u'German_shepherd', 0.032161739, u'Border_terrier', 0.025786795, u'bloodhound', 0.024652662]
[u'academic_gown', 0.38816941, u'bulletproof_vest', 0.086398713, u'mortarboard', 0.038635124, u'punching_bag', 0.026138056, u'abaya', 0.025480514]
[u'oscilloscope', 0.50750768, u'digital_clock', 0.058973655, u'monitor', 0.047461852, u'screen', 0.031912357, u'maze', 0.019238831]
[u'window_screen', 0.11000296, u'Angora', 0.041874599, u'fire_screen', 0.035593607, u'window_shade', 0.034397718, u'Persian_cat', 0.017620292]
[u'container_ship', 0.6619277, u'Border_terrier', 0.02292724, u'stupa', 0.017552841, u'beacon', 0.010462509, u'pedestal', 0.0083181839]
[u'library', 0.11531094, u'shower_curtain', 0.078424364, u'bookshop', 0.061192486, u'window_shade', 0.026420925, u'dining_table', 0.020785492]
[u'maze', 0.27374536, u'jigsaw_puzzle', 0.060390338, u'quilt', 0.054139175, u'container_ship', 0.035622619, u'prayer_rug', 0.019412978]
[u'crossword_puzzle', 0.084221728, u'prison', 0.081534758, u'sliding_door', 0.058376055, u'window_screen', 0.057234023, u'dining_table', 0.030256521]
[u'tobacco_shop', 0.07116016, u'bookshop', 0.054711673, u'window_screen', 0.025476715, u'German_shepherd', 0.025036579, u'caldron', 0.017551042]
[u'prayer_rug', 0.059701324, u'shower_curtain', 0.058678146, u'handkerchief', 0.052322213, u'bath_towel', 0.027848804, u'maze', 0.021650128]
[u'library', 0.23071969, u'prison', 0.074945375, u'planetarium', 0.037588004, u'sliding_door', 0.034672767, u'vault', 0.027589997]
[u'bookshop', 0.060455054, u'Old_English_sheepdog', 0.026474759, u'sliding_door', 0.024835845, u'wire-haired_fox_terrier', 0.023417106, u'library', 0.023416035]
[u'shower_curtain', 0.076278694, u'velvet', 0.039572451, u'candle', 0.03585805, u'studio_couch', 0.030717192, u'vase', 0.03070019]
[u'Indian_cobra', 0.071616054, u'African_hunting_dog', 0.023654111, u'shower_curtain', 0.019527106, u'window_screen', 0.01398393, u'prison', 0.011861871]
[u'wardrobe', 0.12547965, u'shower_curtain', 0.11759327, u'shoji', 0.11667726, u'window_shade', 0.1044189, u'sliding_door', 0.067186482]
[u'window_screen', 0.072283968, u'fountain', 0.043436319, u'digital_clock', 0.039354756, u'monitor', 0.033368971, u'picket_fence', 0.02884014]
[u'container_ship', 0.027403232, u'tobacco_shop', 0.023164405, u'bookshop', 0.021777699, u'German_shepherd', 0.020119078, u'window_screen', 0.018996686]
[u'library', 0.12988363, u'planetarium', 0.044968314, u'grand_piano', 0.025892619, u'dome', 0.023910819, u'mosque', 0.021410197]
[u'suit', 0.33435214, u'shower_curtain', 0.12252086, u'Windsor_tie', 0.09828154, u'bow_tie', 0.027076943, u'sliding_door', 0.016306547]
[u'solar_dish', 0.11458185, u'planetarium', 0.028953526, u'bookshop', 0.028716771, u'window_screen', 0.024385242, u'tobacco_shop', 0.020051964]
[u'window_screen', 0.086290836, u'shoji', 0.058759604, u'sliding_door', 0.046260145, u'window_shade', 0.027809886, u'fire_screen', 0.026492633]
[u'maze', 0.2546618, u'apron', 0.13099276, u'container_ship', 0.053646591, u'bulletproof_vest', 0.051430538, u'vase', 0.021856653]
[u'window_screen', 0.069904, u'window_shade', 0.068126291, u'shower_curtain', 0.058483955, u'pedestal', 0.0467101, u'prayer_rug', 0.040905509]
[u'crossword_puzzle', 0.050396744, u'bookshop', 0.03600771, u'container_ship', 0.023096163, u'maze', 0.020447679, u'African_hunting_dog', 0.019653805]
[u'beacon', 0.25498077, u'crane', 0.11509556, u'container_ship', 0.066088207, u'missile', 0.055539448, u'water_tower', 0.042086795]
[u'planetarium', 0.040634517, u'window_screen', 0.038179349, u'library', 0.033917703, u'bookshop', 0.031622045, u'space_shuttle', 0.029858528]
[u'shower_curtain', 0.052462816, u'missile', 0.051895212, u'dining_table', 0.036754623, u'window_shade', 0.027718494, u'Angora', 0.023275072]
[u'dhole', 0.055620994, u'German_shepherd', 0.04989801, u'malinois', 0.03303501, u'red_wolf', 0.027477309, u'Border_terrier', 0.027154857]
[u'library', 0.25789163, u'bookshop', 0.14162205, u'dining_table', 0.064115375, u'vault', 0.053235721, u'sliding_door', 0.04101162]
[u'planetarium', 0.13652064, u'screen', 0.043776456, u'spotlight', 0.038825255, u'monitor', 0.036044832, u'punching_bag', 0.034473151]
[u'balance_beam', 0.049915209, u'tobacco_shop', 0.021542205, u'dining_table', 0.020865517, u'library', 0.020309236, u'bookshop', 0.019475268]
[u'oscilloscope', 0.19752668, u'screen', 0.19549148, u'monitor', 0.13873895, u'window_screen', 0.082618915, u'television', 0.046495996]
