[u'shower_cap', 0.35880387, u'bathing_cap', 0.32438111, u'swimming_trunks', 0.075588822, u'punching_bag', 0.054232538, u'dumbbell', 0.040578682]
[u'fountain', 0.22479995, u'throne', 0.14111735, u'guillotine', 0.083218671, u'altar', 0.080426641, u'brass', 0.04395264]
[u'maillot', 0.18586592, u'miniskirt', 0.1497508, u'maillot', 0.084992863, u'pole', 0.063073784, u'swimming_trunks', 0.054188475]
[u'butcher_shop', 0.45031267, u'swimming_trunks', 0.26720452, u"potter's_wheel", 0.080244035, u'tub', 0.06941583, u'bikini', 0.014807798]
[u'maillot', 0.28393865, u'swimming_trunks', 0.13425608, u'dumbbell', 0.13298066, u'maillot', 0.078078955, u'pole', 0.064523697]
[u'bikini', 0.62553507, u'maillot', 0.11647607, u'swimming_trunks', 0.077491738, u'maillot', 0.076576583, u'bathing_cap', 0.047555827]
[u'scorpion', 0.12028334, u'axolotl', 0.093785591, u'Gila_monster', 0.03623119, u'common_iguana', 0.032784153, u'spotted_salamander', 0.02329074]
[u'swimming_trunks', 0.49781507, u'bathing_cap', 0.18664433, u'balance_beam', 0.12929413, u'maillot', 0.0546849, u'maillot', 0.033879455]
[u'toilet_tissue', 0.2194258, u'paper_towel', 0.17127354, u'lab_coat', 0.1279532, u'quill', 0.11766093, u'plastic_bag', 0.087012194]
[u"potter's_wheel", 0.16933003, u'punching_bag', 0.16101362, u'Indian_elephant', 0.053721003, u'mask', 0.048903998, u'book_jacket', 0.036732409]
[u'sea_lion', 0.083733819, u'swimming_trunks', 0.077970535, u'bikini', 0.073411793, u'common_iguana', 0.04795, u'volleyball', 0.045861308]
[u'bikini', 0.4301725, u'maillot', 0.19177632, u'maillot', 0.15957208, u'volleyball', 0.10546265, u'swimming_trunks', 0.020196389]
[u'hammer', 0.094723798, u"potter's_wheel", 0.051412448, u'barbell', 0.046644166, u'plunger', 0.041889288, u'swimming_trunks', 0.041281484]
[u'gown', 0.063555174, u'maillot', 0.044650599, u'conch', 0.04279701, u'hoopskirt', 0.041458733, u'cock', 0.037120152]
[u'swimming_trunks', 0.30884987, u'dumbbell', 0.22558691, u'bathing_cap', 0.052892081, u'volleyball', 0.034700245, u'barbell', 0.018372007]
[u'miniskirt', 0.15039693, u'dumbbell', 0.1434066, u'bikini', 0.091944166, u'swimming_trunks', 0.071479797, u'diaper', 0.041660845]
[u'swimming_trunks', 0.19455107, u'vizsla', 0.16881238, u'bloodhound', 0.095928341, u'gyromitra', 0.078363605, u'book_jacket', 0.074655719]
[u'bikini', 0.31661281, u'brassiere', 0.15985301, u'maillot', 0.14564931, u'miniskirt', 0.058904383, u'maillot', 0.041862179]
[u'hog', 0.16908446, u'scale', 0.13938239, u'swimming_trunks', 0.12853837, u'butternut_squash', 0.11545017, u'prison', 0.10724441]
[u'swimming_trunks', 0.16600063, u'bathing_cap', 0.13363583, u'flamingo', 0.08101698, u'butcher_shop', 0.067761555, u'butternut_squash', 0.03870349]
[u'swimming_trunks', 0.34866825, u'bathing_cap', 0.27872664, u'stingray', 0.22477604, u'snorkel', 0.059904475, u'bikini', 0.029775389]
[u'horizontal_bar', 0.098918915, u'balance_beam', 0.084394544, u'unicycle', 0.072033703, u'stage', 0.035782982, u'swimming_trunks', 0.030584542]
[u'parachute', 0.12510031, u'quilt', 0.10920959, u'umbrella', 0.050769303, u'hoopskirt', 0.040121764, u'comic_book', 0.028352406]
[u'knee_pad', 0.16144335, u'miniskirt', 0.1527237, u'maillot', 0.14590199, u'sandal', 0.11765376, u'bikini', 0.081321627]
[u'pedestal', 0.37510765, u'fountain', 0.31776613, u'mushroom', 0.063717745, u'obelisk', 0.039800148, u'hen-of-the-woods', 0.027595403]
[u'malinois', 0.15813191, u'pedestal', 0.091496818, u'bloodhound', 0.069510788, u'Rhodesian_ridgeback', 0.054646429, u'vizsla', 0.035724215]
[u'coil', 0.17170508, u'umbrella', 0.081133612, u'stage', 0.069436155, u'balloon', 0.044360083, u'gong', 0.039267756]
[u'rotisserie', 0.11551696, u'marimba', 0.094009697, u'drumstick', 0.086758971, u'bow', 0.070725374, u'dumbbell', 0.030674126]
[u'brassiere', 0.20139597, u'Band_Aid', 0.075262174, u'bikini', 0.073948368, u'neck_brace', 0.047023628, u'cowboy_hat', 0.038319573]
[u'stretcher', 0.99868459, u'hog', 0.00029189722, u'bobsled', 0.00013059643, u'prison', 9.3762173e-05, u'barbell', 6.0620085e-05]
[u'bathing_cap', 0.20096487, u'swimming_trunks', 0.14370635, u'bikini', 0.085326165, u'maillot', 0.033846602, u'fountain', 0.033790372]
[u'comic_book', 0.51223999, u'jigsaw_puzzle', 0.22302666, u'shower_curtain', 0.025193157, u'book_jacket', 0.024581939, u'military_uniform', 0.0088841757]
[u'bathtub', 0.61561412, u'tub', 0.38392699, u'washbasin', 0.00018005029, u'pool_table', 0.00012064811, u'shower_curtain', 3.8199054e-05]
[u'cowboy_hat', 0.10650031, u'cowboy_boot', 0.079154767, u'window_shade', 0.068538256, u'miniskirt', 0.058945727, u'sliding_door', 0.047708739]
[u'stretcher', 0.12973602, u'butcher_shop', 0.11358251, u'fountain', 0.093192905, u'triceratops', 0.044098888, u'chimpanzee', 0.043095067]
[u'ballplayer', 0.32042176, u'reel', 0.067665584, u'coho', 0.058301903, u'revolver', 0.029647665, u'Indian_cobra', 0.028361911]
[u'military_uniform', 0.34939075, u'assault_rifle', 0.065815605, u'swimming_trunks', 0.049532603, u'pedestal', 0.039905634, u'stretcher', 0.033023607]
[u'maillot', 0.60837144, u'maillot', 0.24527086, u'bikini', 0.10222148, u'brassiere', 0.027730623, u'miniskirt', 0.012065851]
[u'plunger', 0.20951138, u'bathing_cap', 0.074294776, u'shower_cap', 0.042094149, u'tub', 0.031025006, u"potter's_wheel", 0.029688774]
[u'swimming_trunks', 0.82058322, u'tub', 0.036637537, u'sunscreen', 0.030829929, u'diaper', 0.030476067, u'bathtub', 0.023987783]
[u'fur_coat', 0.27220646, u'pedestal', 0.15726887, u'unicycle', 0.088862836, u'totem_pole', 0.06512899, u'fountain', 0.041968904]
[u'bow_tie', 0.10088272, u'breastplate', 0.08188916, u'suit', 0.064384222, u'cuirass', 0.052775376, u'miniskirt', 0.044835631]
[u'bathing_cap', 0.081457168, u'volleyball', 0.07367827, u'knee_pad', 0.067940138, u'swimming_trunks', 0.045840416, u'soccer_ball', 0.044401888]
[u'gong', 0.52240205, u'chime', 0.053101037, u'sombrero', 0.028433075, u'triumphal_arch', 0.021430975, u'pedestal', 0.019919623]
[u'swimming_trunks', 0.20546843, u'bikini', 0.1858582, u'tub', 0.098769277, u'shower_cap', 0.047568738, u'maillot', 0.042480543]
[u'pool_table', 0.99658644, u'marimba', 0.00068152847, u'ping-pong_ball', 0.00066717411, u'grand_piano', 0.00044790501, u'restaurant', 0.00037802078]
[u'Indian_elephant', 0.38547009, u'parallel_bars', 0.075588971, u'triceratops', 0.054244436, u'African_elephant', 0.051803462, u'Arabian_camel', 0.050307099]
[u'hoopskirt', 0.4895179, u'gown', 0.22243991, u'overskirt', 0.1768271, u'groom', 0.012307646, u'broom', 0.0066219321]
[u'teddy', 0.27237687, u'book_jacket', 0.080492303, u'comic_book', 0.062350567, u'throne', 0.05094064, u'totem_pole', 0.026505107]
[u'swimming_trunks', 0.81176037, u'bathing_cap', 0.056120541, u'butcher_shop', 0.016803848, u'sarong', 0.012535023, u'fountain', 0.01198809]
[u'butcher_shop', 0.074484453, u"potter's_wheel", 0.041754846, u'pole', 0.033826135, u'dumbbell', 0.029184349, u'harmonica', 0.02634451]
[u'maillot', 0.31401217, u'balance_beam', 0.24019937, u'maillot', 0.1445242, u'diaper', 0.04716887, u'bathing_cap', 0.043706153]
[u'vizsla', 0.56663579, u'swimming_trunks', 0.18155143, u'Rhodesian_ridgeback', 0.12185798, u'Weimaraner', 0.014332768, u'bloodhound', 0.013600613]
[u'prison', 0.99202627, u'shoji', 0.0026162881, u'window_shade', 0.00064111105, u'vizsla', 0.0005116426, u'window_screen', 0.00042239728]
[u'harmonica', 0.19228996, u'knot', 0.10248249, u'syringe', 0.072137386, u'flute', 0.050962459, u'conch', 0.03888135]
[u'mouse', 0.050470933, u'tile_roof', 0.047302831, u'grand_piano', 0.043960217, u'sandal', 0.040662408, u'acoustic_guitar', 0.036683962]
[u'book_jacket', 0.37346157, u'comic_book', 0.10269253, u'pedestal', 0.047817849, u'breastplate', 0.044893883, u'military_uniform', 0.043497436]
[u'fur_coat', 0.10080808, u'dumbbell', 0.077041179, u'suit', 0.052864607, u'microphone', 0.038929783, u'cloak', 0.037351836]
[u'swimming_trunks', 0.067977548, u'sea_lion', 0.059242092, u'dumbbell', 0.058679555, u'dough', 0.050836414, u'sunscreen', 0.048914485]
[u'bikini', 0.39287907, u'swimming_trunks', 0.092813015, u'fountain', 0.082580633, u'bathing_cap', 0.036918394, u'maillot', 0.034134869]
[u'miniskirt', 0.092957638, u'bikini', 0.0828095, u'diaper', 0.067150325, u'prison', 0.0667281, u'punching_bag', 0.063600726]
[u'tripod', 0.12587635, u'assault_rifle', 0.11271551, u'rifle', 0.10734705, u'knee_pad', 0.081148811, u'gasmask', 0.042992782]
[u'vizsla', 0.7602222, u'gyromitra', 0.089819729, u'butcher_shop', 0.023733312, u'redbone', 0.023124199, u'Rhodesian_ridgeback', 0.020586319]
[u'hoopskirt', 0.20120899, u'triceratops', 0.15747684, u'isopod', 0.055933136, u'pedestal', 0.045754377, u'kite', 0.027036523]
[u'butcher_shop', 0.22175537, u'boa_constrictor', 0.033198971, u'hotdog', 0.026588194, u'French_loaf', 0.021624429, u'Chesapeake_Bay_retriever', 0.021019176]
[u'swimming_trunks', 0.37020496, u'tub', 0.11515743, u'bathtub', 0.031655133, u'diaper', 0.026439331, u'capuchin', 0.021934461]
[u'swimming_trunks', 0.10635228, u'sunscreen', 0.079250917, u'vizsla', 0.070316486, u'Italian_greyhound', 0.069105521, u'Rhodesian_ridgeback', 0.034942944]
[u'maillot', 0.13283749, u'computer_keyboard', 0.076304995, u'tub', 0.05715419, u'toilet_tissue', 0.056928679, u'bathtub', 0.054807357]
[u'comic_book', 0.81490117, u'book_jacket', 0.17075425, u'web_site', 0.0081869233, u'gown', 0.0039757667, u'perfume', 0.00028676013]
[u'stage', 0.12447705, u'sax', 0.081641674, u'banjo', 0.024910171, u'cornet', 0.02296423, u'harmonica', 0.02114732]
[u'bikini', 0.21565038, u'swimming_trunks', 0.049778141, u'maillot', 0.040293574, u'barbell', 0.037843652, u'miniskirt', 0.028447719]
[u'swimming_trunks', 0.63185441, u'diaper', 0.065454952, u'sunscreen', 0.048337668, u'bathing_cap', 0.044648919, u'barbell', 0.020277387]
[u'fountain', 0.22479995, u'throne', 0.14111735, u'guillotine', 0.083218671, u'altar', 0.080426641, u'brass', 0.04395264]
[u'punching_bag', 0.39634302, u'swimming_trunks', 0.12835239, u'dumbbell', 0.11415626, u'prison', 0.04065017, u'vizsla', 0.026573189]
[u'fur_coat', 0.65918761, u'teddy', 0.06824062, u'bow_tie', 0.028651627, u'wool', 0.026147967, u'stole', 0.013289035]
[u'harmonica', 0.04973539, u'miniskirt', 0.044469543, u'notebook', 0.041833878, u'accordion', 0.035023984, u'mask', 0.022249332]
[u'swimming_trunks', 0.16099511, u'punching_bag', 0.15883428, u"potter's_wheel", 0.14699508, u'shower_cap', 0.052056167, u'dumbbell', 0.049948927]
[u'fur_coat', 0.19863755, u'fountain', 0.11203836, u'totem_pole', 0.10636906, u'Indian_elephant', 0.080526695, u'pedestal', 0.073238343]
[u'bikini', 0.15470168, u'swimming_trunks', 0.077333137, u'sandal', 0.060454931, u'piggy_bank', 0.055819664, u'brassiere', 0.045675967]
[u'rotisserie', 0.21454802, u'butcher_shop', 0.060159829, u'butternut_squash', 0.030656826, u'teddy', 0.026731111, u'comic_book', 0.02657285]
[u'quill', 0.15682159, u'drumstick', 0.08835426, u'matchstick', 0.054266844, u'sunglasses', 0.0374563, u'mouse', 0.034755595]
[u'miniskirt', 0.17081751, u'swimming_trunks', 0.16339363, u'bikini', 0.079441912, u'cowboy_hat', 0.077077895, u'bathing_cap', 0.05791821]
[u'swimming_trunks', 0.27996215, u'bikini', 0.16999066, u'sandal', 0.062514782, u'crayfish', 0.052801006, u'maillot', 0.046908829]
[u'comic_book', 0.45235986, u'book_jacket', 0.18311657, u'oxygen_mask', 0.028922107, u"potter's_wheel", 0.023550648, u'web_site', 0.017091861]
[u'maillot', 0.388603, u'maillot', 0.2572858, u'tub', 0.1069172, u'bathtub', 0.088470936, u'balance_beam', 0.042321492]
[u'comic_book', 0.55238426, u'mask', 0.099682048, u"jack-o'-lantern", 0.057407197, u'cowboy_boot', 0.04633617, u'torch', 0.044362787]
[u'mushroom', 0.30021024, u'hen-of-the-woods', 0.12709695, u'earthstar', 0.071483515, u'Weimaraner', 0.040324993, u'swimming_trunks', 0.029669076]
[u'tub', 0.096234649, u'diaper', 0.050533976, u'scale', 0.039402019, u'bathtub', 0.036175914, u'power_drill', 0.029994933]
[u'swimming_trunks', 0.38510743, u'bathing_cap', 0.091510512, u'sunscreen', 0.073128864, u'bikini', 0.040140692, u'butternut_squash', 0.03710179]
[u'gasmask', 0.093282901, u'sombrero', 0.058505639, u'comic_book', 0.055224035, u'mask', 0.052809969, u'panpipe', 0.04912978]
