[u'sandal', 0.8080731, u'brassiere', 0.063280322, u'Band_Aid', 0.029969174, u'bath_towel', 0.02993821, u'diaper', 0.012601554]
[u'maillot', 0.26261139, u'maillot', 0.10092373, u'brassiere', 0.085645661, u'tub', 0.081248231, u'bikini', 0.071381263]
[u'bikini', 0.32662463, u'maillot', 0.19944581, u'brassiere', 0.099546321, u'maillot', 0.053433239, u'miniskirt', 0.053002987]
[u'studio_couch', 0.46265772, u'maillot', 0.18103187, u'miniskirt', 0.072213337, u'maillot', 0.057668339, u'bikini', 0.028329492]
[u'jackfruit', 0.15143757, u'gar', 0.10847384, u'sunscreen', 0.088429347, u'tench', 0.073973082, u'miniskirt', 0.043757875]
[u'brassiere', 0.21499544, u'bonnet', 0.16793004, u'bow_tie', 0.05982222, u'miniskirt', 0.045260951, u'stole', 0.038239054]
[u'refrigerator', 0.12422466, u'hair_spray', 0.093908586, u'hand_blower', 0.084182486, u'dishwasher', 0.072546586, u'tub', 0.070144378]
[u'worm_fence', 0.17330322, u'miniskirt', 0.073676236, u'croquet_ball', 0.067823716, u'parallel_bars', 0.052620128, u'lawn_mower', 0.037125167]
[u'miniskirt', 0.7417087, u'cowboy_boot', 0.033358369, u'jean', 0.012306602, u'Loafer', 0.010722443, u'clog', 0.0094866343]
[u'bikini', 0.46770135, u'maillot', 0.3366003, u'maillot', 0.048493076, u'brassiere', 0.045698185, u'miniskirt', 0.030138304]
[u'swimming_trunks', 0.27619725, u'tub', 0.12643966, u'miniskirt', 0.11404541, u'bikini', 0.079204656, u'bathtub', 0.051443204]
[u'bikini', 0.18173398, u'brassiere', 0.18135135, u'diaper', 0.11129079, u'bathing_cap', 0.094144605, u'maillot', 0.077342495]
[u'bikini', 0.57726938, u'maillot', 0.20474869, u'brassiere', 0.061596479, u'maillot', 0.043350235, u'bathing_cap', 0.018938659]
[u'umbrella', 0.34226888, u'bathing_cap', 0.095081039, u'swimming_trunks', 0.041616835, u'maillot', 0.031156061, u'maillot', 0.029379377]
[u'shoe_shop', 0.19486676, u'balance_beam', 0.096551269, u'bathtub', 0.077792197, u'miniskirt', 0.060924273, u'washer', 0.060891099]
[u'miniskirt', 0.3862758, u'bikini', 0.26188847, u'maillot', 0.20020986, u'maillot', 0.058309022, u'sunscreen', 0.013539766]
[u'miniskirt', 0.36147496, u'tub', 0.08361242, u'bathtub', 0.079237647, u'toilet_tissue', 0.044112701, u'maillot', 0.04352146]
[u'diaper', 0.50276554, u'brassiere', 0.14653431, u'bikini', 0.055474538, u'bath_towel', 0.049893126, u'bassinet', 0.046783525]
[u'brassiere', 0.21385984, u'maillot', 0.10942075, u'miniskirt', 0.066425458, u'bikini', 0.06558878, u'bonnet', 0.032743528]
[u'bath_towel', 0.50896525, u'diaper', 0.36096135, u'bonnet', 0.037967443, u'bassinet', 0.016336776, u'shower_cap', 0.0066577229]
[u'diaper', 0.29707766, u'rugby_ball', 0.077195793, u'racket', 0.074735008, u'volleyball', 0.056648564, u'barbell', 0.046444423]
[u'maillot', 0.24865249, u'maillot', 0.11498578, u'bikini', 0.1095202, u'miniskirt', 0.10242166, u'bathing_cap', 0.042363174]
