[u'toyshop', 0.93174559, u'comic_book', 0.057987098, u'jigsaw_puzzle', 0.0046569575, u'teddy', 0.0016623542, u'ocarina', 0.00066909648]
[u'maillot', 0.18705563, u'muzzle', 0.15359743, u'bikini', 0.13933723, u'sandal', 0.066700488, u'hair_slide', 0.048810713]
[u'comic_book', 0.80830371, u'electric_guitar', 0.046486285, u'jigsaw_puzzle', 0.043911915, u'menu', 0.026218526, u'packet', 0.012657938]
[u'brassiere', 0.18541156, u'wardrobe', 0.077079043, u'shower_curtain', 0.057510804, u'poncho', 0.034765877, u'stole', 0.03466285]
[u'pajama', 0.14123943, u'sweatshirt', 0.050394461, u'lab_coat', 0.049700897, u'bonnet', 0.033349931, u'miniskirt', 0.029438566]
[u'web_site', 0.49034533, u'comic_book', 0.11926453, u'menu', 0.1109433, u'jigsaw_puzzle', 0.078353934, u'book_jacket', 0.034418549]
[u'envelope', 0.2936779, u'handkerchief', 0.17471907, u'jigsaw_puzzle', 0.11064684, u'tray', 0.081471801, u'quilt', 0.074849553]
[u'toyshop', 0.19928241, u'groom', 0.17896707, u'kimono', 0.13184947, u'shoe_shop', 0.10555916, u'brassiere', 0.088091649]
[u'brassiere', 0.39089161, u'comic_book', 0.10133934, u'hand_blower', 0.07627292, u'lotion', 0.061364446, u'bathtub', 0.048135243]
[u'bikini', 0.3625384, u'brassiere', 0.25358811, u'perfume', 0.055495623, u'maillot', 0.049740117, u'tub', 0.031550735]
[u'brassiere', 0.45272747, u'maillot', 0.25725296, u'bikini', 0.14201576, u'maillot', 0.07293959, u'miniskirt', 0.039327394]
[u'comic_book', 0.31266424, u'jigsaw_puzzle', 0.22939166, u'envelope', 0.18794298, u'web_site', 0.14921477, u'book_jacket', 0.025483124]
[u'comic_book', 0.62037271, u'maillot', 0.14954776, u'book_jacket', 0.082523234, u'maillot', 0.046601623, u'brassiere', 0.013660082]
[u'comic_book', 0.38722223, u'toyshop', 0.20266995, u'confectionery', 0.1704936, u'packet', 0.081891455, u'menu', 0.05700025]
[u'comic_book', 0.92089593, u'jigsaw_puzzle', 0.065884709, u'envelope', 0.006376937, u'book_jacket', 0.0019168506, u'cassette', 0.00085065002]
[u'web_site', 0.65479475, u'envelope', 0.13859606, u'comic_book', 0.049157683, u'menu', 0.038877472, u'book_jacket', 0.010738678]
[u'jigsaw_puzzle', 0.23659526, u'comic_book', 0.19359556, u'quilt', 0.11938401, u'tray', 0.1004237, u'handkerchief', 0.063988671]
[u'punching_bag', 0.31399995, u'mask', 0.16655621, u'gong', 0.081838071, u'toilet_seat', 0.058167692, u'rugby_ball', 0.031115033]
[u'comic_book', 0.43690693, u'book_jacket', 0.16630708, u'wall_clock', 0.033903338, u'pencil_box', 0.025956938, u'tray', 0.020361179]
[u'brassiere', 0.43712825, u'carton', 0.27174881, u'bikini', 0.16869745, u'diaper', 0.036126245, u'Band_Aid', 0.024791678]
[u'comic_book', 0.99223608, u'jigsaw_puzzle', 0.0071758544, u'buckle', 0.00019299804, u'book_jacket', 8.0545753e-05, u'envelope', 5.554565e-05]
[u'comic_book', 0.94729298, u'book_jacket', 0.0064848457, u'sleeping_bag', 0.0047651418, u'pajama', 0.0039980104, u'brassiere', 0.0034212386]
[u'comic_book', 0.93838716, u'book_jacket', 0.031926632, u'miniskirt', 0.0020761648, u'cassette', 0.0016353078, u'electric_guitar', 0.0013737754]
[u'comic_book', 0.69730818, u'jigsaw_puzzle', 0.19688711, u'handkerchief', 0.017328469, u'envelope', 0.009506979, u'tray', 0.006641522]
[u'brassiere', 0.083787307, u'comic_book', 0.056111708, u'bathing_cap', 0.044607215, u'oxygen_mask', 0.043548986, u'bikini', 0.036647066]
[u'diaper', 0.19983859, u'pajama', 0.15514572, u'shoe_shop', 0.094269946, u'sandal', 0.06184686, u'brassiere', 0.053345181]
[u'brassiere', 0.13826329, u'comic_book', 0.083880521, u'bow_tie', 0.05630384, u'sock', 0.042451173, u'sandal', 0.039379392]
