[u'bikini', 0.35664061, u'bathing_cap', 0.16345039, u'sunscreen', 0.15315753, u'cowboy_hat', 0.095103569, u'swimming_trunks', 0.033490397]
[u'web_site', 0.94318575, u'book_jacket', 0.029618783, u'notebook', 0.0039491709, u'bathtub', 0.0022109784, u'maillot', 0.0020302823]
[u'shower_cap', 0.55213082, u'cowboy_hat', 0.12055305, u'sunscreen', 0.039587747, u'bathing_cap', 0.027895087, u'sombrero', 0.025799576]
[u'plunger', 0.1227994, u'hand_blower', 0.056631442, u'wig', 0.041777126, u'bikini', 0.040431429, u'swab', 0.040095061]
[u'military_uniform', 0.14526962, u'mortar', 0.136858, u'rifle', 0.07086698, u'cannon', 0.049773376, u'assault_rifle', 0.045210481]
[u'comic_book', 0.079766154, u'barbell', 0.068745375, u'bow', 0.04465628, u'brassiere', 0.039371707, u'syringe', 0.0324574]
[u'bikini', 0.28558934, u'maillot', 0.20668924, u'brassiere', 0.13529918, u'miniskirt', 0.095147111, u'maillot', 0.053767759]
[u'restaurant', 0.32803252, u'dining_table', 0.28016236, u'altar', 0.079152547, u'throne', 0.036016796, u'goblet', 0.023915395]
[u'miniskirt', 0.2849502, u'maillot', 0.24218029, u'bikini', 0.19090082, u'brassiere', 0.14787054, u'maillot', 0.030206971]
[u'maillot', 0.2757583, u'bikini', 0.24844284, u'maillot', 0.15405996, u'swimming_trunks', 0.15299377, u'volleyball', 0.044459615]
[u'bikini', 0.35652512, u'maillot', 0.14785287, u'bathtub', 0.12050804, u'diaper', 0.085934184, u'tub', 0.069670387]
[u'Mexican_hairless', 0.25277346, u'Italian_greyhound', 0.15153894, u'Weimaraner', 0.11909229, u'kelpie', 0.089509159, u'Great_Dane', 0.049932413]
[u'web_site', 0.48636502, u'hair_spray', 0.085987903, u'hand_blower', 0.030804671, u'comic_book', 0.022965726, u'jean', 0.021702243]
[u'bikini', 0.21675681, u'tub', 0.15969557, u'diaper', 0.075137779, u'sunscreen', 0.062905788, u'swimming_trunks', 0.060603775]
[u'bikini', 0.23199685, u'bathing_cap', 0.15373677, u'swimming_trunks', 0.11875395, u'maillot', 0.076485038, u'bathtub', 0.048854068]
[u'bow', 0.7852518, u'steel_drum', 0.012090482, u'streetcar', 0.010939807, u'stage', 0.0081163524, u'military_uniform', 0.0074117444]
[u'bikini', 0.16558357, u'sunscreen', 0.13789147, u'swimming_trunks', 0.092271775, u'snorkel', 0.060804222, u'bathing_cap', 0.055733964]
[u'swimming_trunks', 0.24073794, u'library', 0.073677018, u'bookshop', 0.063463241, u'laptop', 0.046447281, u'diaper', 0.039559055]
[u'maillot', 0.36900407, u'bikini', 0.21384829, u'maillot', 0.20697081, u'brassiere', 0.090348519, u'miniskirt', 0.035021916]
[u'swimming_trunks', 0.57455885, u'sunscreen', 0.10632356, u'bathtub', 0.046164259, u'tub', 0.043151215, u'bathing_cap', 0.037660889]
[u'cowboy_hat', 0.072881758, u'spatula', 0.069066629, u'drumstick', 0.049490262, u'comic_book', 0.044216067, u'banjo', 0.040418338]
[u'cucumber', 0.7577256, u'bell_pepper', 0.087367646, u'banana', 0.035126135, u'Granny_Smith', 0.02349397, u'zucchini', 0.022294529]
[u'maillot', 0.25726762, u'bikini', 0.21060544, u'maillot', 0.14699602, u'miniskirt', 0.1240183, u'brassiere', 0.062652297]
[u'sombrero', 0.080091476, u'academic_gown', 0.072308883, u'kimono', 0.051594395, u'panpipe', 0.049476679, u'mortarboard', 0.041214369]
[u'artichoke', 0.28738785, u'diaper', 0.093590841, u'loggerhead', 0.049959552, u'military_uniform', 0.047231719, u'comic_book', 0.025748372]
[u'comic_book', 0.73978835, u'book_jacket', 0.033256635, u'brassiere', 0.03099516, u'teddy', 0.028506029, u'toyshop', 0.028196745]
[u'bikini', 0.25915959, u'swimming_trunks', 0.173182, u'bathing_cap', 0.08037468, u'maillot', 0.062453467, u'maillot', 0.05014034]
[u'maillot', 0.48571423, u'maillot', 0.20686822, u'plunger', 0.054868173, u'barbell', 0.040342789, u'bikini', 0.026879294]
[u'drumstick', 0.30826643, u'racket', 0.11328825, u'barbell', 0.10215832, u'paddle', 0.095540307, u'volleyball', 0.043822039]
[u'miniskirt', 0.43480799, u'brassiere', 0.24915758, u'bikini', 0.14639874, u'maillot', 0.084053606, u'wig', 0.015549392]
[u'Mexican_hairless', 0.21335834, u'sea_lion', 0.086932309, u'stingray', 0.058453076, u'Weimaraner', 0.058427855, u'triceratops', 0.055945538]
[u'triceratops', 0.16496384, u'banana', 0.03964505, u'fountain', 0.035600584, u'diaper', 0.033575509, u'wig', 0.025835786]
