[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
[u'traffic_light', 0.080005459, u'street_sign', 0.075991951, u'flagpole', 0.051994506, u'wall_clock', 0.046617467, u'analog_clock', 0.031695489]
