[u'Chihuahua', 0.18748854, u'Italian_greyhound', 0.059846494, u'horizontal_bar', 0.052299794, u'Mexican_hairless', 0.038182076, u'balance_beam', 0.032791499]
[u'swimming_trunks', 0.28523904, u'bikini', 0.099806942, u'barrow', 0.06963104, u'maillot', 0.066637211, u'tub', 0.064461224]
[u'lipstick', 0.096319959, u'lighter', 0.087651238, u'wig', 0.081340529, u'Band_Aid', 0.078704901, u'hair_spray', 0.077333063]
[u'maillot', 0.39048746, u'bikini', 0.16466568, u'miniskirt', 0.11571698, u'maillot', 0.055930074, u'tub', 0.027765743]
[u'miniskirt', 0.25876489, u'maillot', 0.25849801, u'fur_coat', 0.17878948, u'maillot', 0.17799668, u'gown', 0.018069655]
[u'pole', 0.19007608, u'horizontal_bar', 0.11664549, u'parallel_bars', 0.094933778, u'balance_beam', 0.075497016, u'racket', 0.039347097]
[u'maillot', 0.25765294, u'maillot', 0.1913878, u'swimming_trunks', 0.15770268, u'bikini', 0.11775923, u'miniskirt', 0.037659686]
[u'soap_dispenser', 0.17933786, u'pedestal', 0.1208626, u'beaker', 0.093957759, u'syringe', 0.071936965, u'lotion', 0.050943643]
[u'limousine', 0.11319709, u'television', 0.10357606, u'maillot', 0.095957503, u'studio_couch', 0.082974076, u'maillot', 0.069299243]
[u'miniskirt', 0.090147853, u'four-poster', 0.079418451, u'parallel_bars', 0.068788968, u'crutch', 0.050623443, u'pole', 0.046603423]
[u'maillot', 0.36660171, u'maillot', 0.269602, u'miniskirt', 0.090129241, u'velvet', 0.033460803, u'tub', 0.02942897]
[u'swimming_trunks', 0.36764407, u'bikini', 0.28534478, u'maillot', 0.1198325, u'diaper', 0.039560042, u'maillot', 0.036436044]
[u'American_alligator', 0.081215225, u'assault_rifle', 0.078200102, u'oboe', 0.049486194, u'miniskirt', 0.04751882, u'feather_boa', 0.03137717]
[u'miniskirt', 0.27828008, u'bikini', 0.12291971, u'swimming_trunks', 0.072207034, u'brassiere', 0.070927486, u'diaper', 0.050622437]
