[u'comic_book', 0.73604208, u'bathing_cap', 0.051021282, u'maillot', 0.030893188, u'horizontal_bar', 0.026728893, u'swimming_trunks', 0.026240319]
[u'swimming_trunks', 0.06860625, u'miniskirt', 0.043730851, u'barbell', 0.041864611, u'maillot', 0.032766923, u'unicycle', 0.028658178]
[u'bikini', 0.42328972, u'tub', 0.13051969, u'bathtub', 0.098903634, u'brassiere', 0.06639728, u'maillot', 0.021786997]
[u'comic_book', 0.68569243, u'volleyball', 0.075967334, u'maillot', 0.030955767, u'maillot', 0.025657944, u'basketball', 0.020502781]
[u'comic_book', 0.93998033, u'slot', 0.0073487246, u'electric_fan', 0.0067397081, u'toyshop', 0.0055509373, u'book_jacket', 0.0044746865]
[u'horizontal_bar', 0.36703497, u'balance_beam', 0.27918503, u'bow', 0.076120816, u'mantis', 0.053311959, u'hammerhead', 0.029953651]
[u'pole', 0.19760047, u'swimming_trunks', 0.16021872, u'brassiere', 0.084021531, u'balance_beam', 0.081252605, u'bikini', 0.065413885]
[u'tub', 0.36194062, u'miniskirt', 0.23569383, u'bathtub', 0.10331117, u'chain_mail', 0.051323425, u'cowboy_boot', 0.032164767]
[u'maillot', 0.38572955, u'maillot', 0.24021085, u'balance_beam', 0.15808493, u'bathing_cap', 0.075404041, u'pole', 0.027614327]
[u'bikini', 0.55325592, u'maillot', 0.13702235, u'maillot', 0.095722817, u'brassiere', 0.080918707, u'swimming_trunks', 0.022753492]
[u'swimming_trunks', 0.5518232, u'sunscreen', 0.093955562, u'bikini', 0.046112996, u'diaper', 0.032882698, u'tub', 0.013076853]
[u'maillot', 0.31856585, u'bikini', 0.27014786, u'brassiere', 0.19645898, u'maillot', 0.097722456, u'bathing_cap', 0.028437743]
[u'bikini', 0.42036688, u'maillot', 0.21001244, u'bow_tie', 0.05387833, u'maillot', 0.047414511, u'groom', 0.029726136]
[u'bikini', 0.5201565, u'swimming_trunks', 0.068922192, u'maillot', 0.055473145, u'maillot', 0.053383984, u'diaper', 0.043584991]
[u'wig', 0.46446076, u'mask', 0.03828105, u'maillot', 0.027743213, u'miniskirt', 0.024555683, u'carousel', 0.023034612]
[u'tub', 0.21614771, u'brassiere', 0.18194519, u'bathtub', 0.1397799, u'bikini', 0.12027437, u'maillot', 0.088577919]
[u'chimpanzee', 0.15146577, u'caldron', 0.13891475, u'breastplate', 0.076652899, u'cuirass', 0.052321412, u'dumbbell', 0.048796743]
[u'swimming_trunks', 0.28786644, u'pole', 0.11807099, u'volleyball', 0.068284541, u'chain', 0.067717232, u'basketball', 0.057597615]
[u'maillot', 0.25138146, u'bikini', 0.23657615, u'brassiere', 0.078201428, u'maillot', 0.042415302, u'miniskirt', 0.040922936]
[u'syringe', 0.13567968, u'plunger', 0.098527037, u'brassiere', 0.076394565, u'hatchet', 0.06967961, u'bikini', 0.051126707]
[u'swimming_trunks', 0.13493857, u'bikini', 0.1021082, u'hair_spray', 0.066461451, u'albatross', 0.059180625, u'binoculars', 0.052878596]
[u'hand_blower', 0.29605356, u'maillot', 0.11102453, u'volleyball', 0.11081032, u'maillot', 0.067961395, u'bikini', 0.061175089]
[u'bikini', 0.3080456, u'brassiere', 0.18653128, u'maillot', 0.1260974, u'maillot', 0.025080342, u'bathtub', 0.024386732]
[u'bathtub', 0.45886829, u'tub', 0.30916476, u'toilet_tissue', 0.050559219, u'plunger', 0.041744128, u'shower_curtain', 0.016808892]
[u'bikini', 0.25281316, u'brassiere', 0.23456639, u'maillot', 0.21294078, u'maillot', 0.12870853, u'swimming_trunks', 0.035882052]
[u'maillot', 0.25613841, u'brassiere', 0.21499029, u'bikini', 0.089072891, u'comic_book', 0.082927488, u'miniskirt', 0.038114626]
[u'maillot', 0.43549657, u'maillot', 0.35938594, u'bikini', 0.12325719, u'swimming_trunks', 0.029803732, u'bathing_cap', 0.0097867744]
[u'miniskirt', 0.11617626, u'throne', 0.08035817, u'maillot', 0.057966936, u'Italian_greyhound', 0.053386237, u'carousel', 0.048861768]
[u'swimming_trunks', 0.57207578, u'bikini', 0.1519264, u'maillot', 0.071231805, u'tub', 0.051488981, u'bathing_cap', 0.042407636]
[u'swimming_trunks', 0.30277178, u'bathing_cap', 0.17320737, u'Weimaraner', 0.16166888, u'vizsla', 0.062326349, u'bikini', 0.049134236]
