[u'bikini', 0.46168059, u'maillot', 0.24121901, u'miniskirt', 0.089948647, u'pole', 0.066197589, u'maillot', 0.024048202]
[u'stethoscope', 0.10670055, u'vacuum', 0.072367199, u'plunger', 0.067184649, u'drumstick', 0.06254831, u'quill', 0.061524935]
[u'harp', 0.27939215, u'stage', 0.054883283, u'flute', 0.051160503, u'hatchet', 0.032815073, u'brassiere', 0.029260855]
[u'balance_beam', 0.23144569, u'maillot', 0.12071196, u'brassiere', 0.10319941, u'bikini', 0.101037, u'miniskirt', 0.089515194]
[u'swing', 0.38493463, u"potter's_wheel", 0.21835075, u'tub', 0.086312175, u'bucket', 0.037176859, u'knot', 0.034027345]
[u'tub', 0.32406956, u'bathtub', 0.23398443, u'studio_couch', 0.061072227, u'miniskirt', 0.028085215, u'toilet_tissue', 0.021865945]
[u'miniskirt', 0.10294677, u'sunscreen', 0.076960199, u'power_drill', 0.074321561, u'wig', 0.05788989, u'bikini', 0.046360649]
[u'bikini', 0.20635112, u'miniskirt', 0.11076043, u'maillot', 0.092183672, u'maillot', 0.063887082, u'bathing_cap', 0.044605091]
[u'eft', 0.23745178, u'common_newt', 0.21152738, u'night_snake', 0.073059812, u'crayfish', 0.060309503, u'water_snake', 0.057985812]
[u'swimming_trunks', 0.4462074, u'bikini', 0.045388989, u'bathing_cap', 0.045329921, u'maillot', 0.036098551, u'balance_beam', 0.035666626]
[u'miniskirt', 0.32992992, u'crutch', 0.054000348, u'plunger', 0.02306566, u'maillot', 0.018029932, u'cowboy_boot', 0.017408598]
[u'bikini', 0.49545914, u'maillot', 0.27455848, u'maillot', 0.059451323, u'miniskirt', 0.030639073, u'brassiere', 0.027440023]
[u'bikini', 0.18373306, u'diaper', 0.086608194, u'swimming_trunks', 0.045169588, u'balance_beam', 0.042570811, u'bathing_cap', 0.037828617]
[u'wok', 0.18419357, u'water_bottle', 0.095625557, u'bubble', 0.035590567, u'sturgeon', 0.035451438, u'swimming_trunks', 0.035172552]
[u'throne', 0.2073679, u'pedestal', 0.1325935, u'vault', 0.042096309, u'miniskirt', 0.037974201, u'wig', 0.028459635]
[u'maillot', 0.083981983, u'carousel', 0.048481528, u'maillot', 0.043269176, u'swimming_trunks', 0.034068819, u'dumbbell', 0.03252361]
[u'swimming_trunks', 0.43556061, u'diaper', 0.060220134, u'butternut_squash', 0.050845981, u'sunscreen', 0.04804761, u'bathing_cap', 0.042270612]
[u'diaper', 0.34598714, u'nipple', 0.18703949, u'bathtub', 0.035735451, u'oxygen_mask', 0.03436261, u'shower_cap', 0.025027864]
