[u'library', 0.10794001, u'bookshop', 0.092432238, u'vault', 0.069483459, u'dining_table', 0.051014975, u'shower_curtain', 0.021580642]
[u'beacon', 0.10300834, u'tripod', 0.038979873, u'binoculars', 0.038642962, u'crane', 0.036716517, u'solar_dish', 0.03369591]
[u'tobacco_shop', 0.031958822, u'library', 0.02552435, u'bookshop', 0.019158641, u'window_screen', 0.018892415, u'window_shade', 0.016751638]
[u'window_screen', 0.040607084, u'vulture', 0.036995903, u'bearskin', 0.023315361, u'planetarium', 0.0195981, u'titi', 0.016434725]
[u'digital_clock', 0.62788689, u'digital_watch', 0.14356644, u'jersey', 0.028326744, u'maze', 0.011602036, u'wall_clock', 0.0096770292]
[u'shower_curtain', 0.46815777, u'bath_towel', 0.13448578, u'handkerchief', 0.043505065, u'pajama', 0.020420248, u'window_shade', 0.014236148]
[u'borzoi', 0.04515516, u'bookshop', 0.034355592, u'maze', 0.02937934, u'German_shepherd', 0.026687877, u'quilt', 0.017062951]
[u'carton', 0.32018235, u'shower_cap', 0.052419189, u'envelope', 0.035332154, u'monitor', 0.02909383, u'window_shade', 0.022401325]
[u'bookshop', 0.333933, u'library', 0.25529215, u'vault', 0.021093493, u'dining_table', 0.018122857, u'bookcase', 0.015008123]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'dining_table', 0.16446239, u'carton', 0.071440019, u'library', 0.041625116, u'wardrobe', 0.041132383, u'bookcase', 0.037872206]
[u'container_ship', 0.13277325, u'solar_dish', 0.043943748, u'shower_curtain', 0.028393572, u'library', 0.025035765, u'space_shuttle', 0.022680333]
[u'bikini', 0.19340052, u'swimming_trunks', 0.1659705, u'diaper', 0.112277, u'tub', 0.067260608, u'maillot', 0.053415794]
[u'solar_dish', 0.15245871, u'planetarium', 0.034051634, u'screen', 0.019978272, u'oscilloscope', 0.019576602, u'window_screen', 0.018662583]
[u'container_ship', 0.66923034, u'balloon', 0.043449312, u'pool_table', 0.039434899, u'crane', 0.016435737, u'digital_watch', 0.015550072]
[u'crane', 0.26676005, u'container_ship', 0.054515868, u'bell_cote', 0.032127667, u'envelope', 0.022010371, u'matchstick', 0.020235939]
[u'shower_curtain', 0.31102213, u'handkerchief', 0.062563054, u'quilt', 0.022514064, u'maze', 0.021805029, u'bath_towel', 0.020809144]
[u'bookshop', 0.41116554, u'library', 0.34652019, u'bookcase', 0.035976805, u'tobacco_shop', 0.016410874, u'container_ship', 0.012602463]
[u'balloon', 0.054689176, u'puck', 0.046662908, u'bottlecap', 0.043131921, u'digital_watch', 0.042613871, u'pill_bottle', 0.040580429]
[u'monitor', 0.14183748, u'envelope', 0.090527654, u'screen', 0.082891338, u'web_site', 0.040688813, u'notebook', 0.035974193]
[u'picket_fence', 0.62516433, u'crib', 0.11470455, u'binder', 0.02683489, u'envelope', 0.020865865, u'book_jacket', 0.019769445]
[u'pedestal', 0.093188219, u'library', 0.087370709, u'planetarium', 0.078135744, u'missile', 0.077358961, u'space_shuttle', 0.060267735]
[u'pedestal', 0.088891715, u'dining_table', 0.064319663, u'dam', 0.060225204, u'container_ship', 0.052010167, u'vault', 0.042731058]
[u'crossword_puzzle', 0.30902398, u'shower_curtain', 0.042281371, u'quilt', 0.040455703, u'Windsor_tie', 0.037949476, u'container_ship', 0.02338317]
[u'window_shade', 0.091955468, u'shoji', 0.079756908, u'dining_table', 0.031864751, u'wardrobe', 0.026746102, u'shower_curtain', 0.026612498]
[u'window_screen', 0.1019282, u'German_shepherd', 0.030298933, u'planetarium', 0.025904534, u'timber_wolf', 0.02425731, u'Chihuahua', 0.020838454]
[u'Angora', 0.046662126, u'vulture', 0.042455021, u'Old_English_sheepdog', 0.035425574, u'keeshond', 0.029596424, u'airship', 0.028054832]
[u'shower_curtain', 0.048041601, u'window_screen', 0.046732031, u'library', 0.037956603, u'window_shade', 0.027222183, u'bookshop', 0.019157268]
[u'window_screen', 0.043866213, u'bookshop', 0.039104633, u'library', 0.030301418, u'prison', 0.030101215, u'planetarium', 0.027441837]
[u'library', 0.42607042, u'planetarium', 0.049022309, u'dome', 0.032161698, u'stupa', 0.026669914, u'mosque', 0.022175301]
[u'library', 0.20231342, u'planetarium', 0.049809031, u'bookshop', 0.029950771, u'prison', 0.027211811, u'sliding_door', 0.026575178]
[u'suit', 0.048193078, u'bloodhound', 0.01958536, u'dining_table', 0.019330407, u'window_screen', 0.018905088, u'Egyptian_cat', 0.018447956]
[u'borzoi', 0.13495262, u'wire-haired_fox_terrier', 0.058177788, u'Old_English_sheepdog', 0.043454442, u'Border_collie', 0.032757446, u'collie', 0.031170795]
[u'bulletproof_vest', 0.039438672, u'handkerchief', 0.02776828, u'container_ship', 0.023990374, u'jigsaw_puzzle', 0.02246505, u'apron', 0.021124953]
[u'library', 0.081690639, u'shoji', 0.028048547, u'dining_table', 0.020754034, u'bookshop', 0.019265974, u'sliding_door', 0.017505892]
[u'monitor', 0.29571196, u'screen', 0.11214973, u'television', 0.07989426, u'home_theater', 0.030083187, u'window_screen', 0.021344861]
[u'whistle', 0.20883064, u'rule', 0.11167222, u'Band_Aid', 0.092062272, u'rubber_eraser', 0.073415868, u'switch', 0.048629396]
[u'maze', 0.23398194, u'library', 0.051035121, u'shower_curtain', 0.035363827, u'quilt', 0.033913095, u'dining_table', 0.018766547]
[u'traffic_light', 0.15075596, u'bathing_cap', 0.076156765, u'electric_ray', 0.066726692, u'toilet_seat', 0.044452589, u'paper_towel', 0.039899368]
[u'spotlight', 0.062981293, u'shoji', 0.0501718, u'prison', 0.029560614, u'lampshade', 0.029108856, u'punching_bag', 0.025332091]
[u'window_screen', 0.13332494, u'sliding_door', 0.070526026, u'window_shade', 0.040380307, u'fire_screen', 0.027019396, u'shower_curtain', 0.025833121]
[u'container_ship', 0.13721362, u'traffic_light', 0.074606128, u'beacon', 0.065582365, u'bell_cote', 0.047966808, u'pill_bottle', 0.047607601]
[u'shower_curtain', 0.23808195, u'wardrobe', 0.10520905, u'sliding_door', 0.075424001, u'window_shade', 0.075350665, u'shoji', 0.02869522]
[u'window_screen', 0.041479204, u'suit', 0.033702999, u'lab_coat', 0.032125924, u'pedestal', 0.020437654, u'sliding_door', 0.019743456]
[u'container_ship', 0.14258088, u'bulletproof_vest', 0.07867673, u'binder', 0.036048494, u'shield', 0.032105673, u'stretcher', 0.027745729]
[u'shower_curtain', 0.40504339, u'window_shade', 0.035548411, u'velvet', 0.026995193, u'throne', 0.024451714, u'wardrobe', 0.021844773]
[u'window_screen', 0.1791597, u'window_shade', 0.079299159, u'German_shepherd', 0.022829715, u'bulletproof_vest', 0.015568897, u'library', 0.013520366]
[u'window_screen', 0.10056145, u'sliding_door', 0.033369172, u'window_shade', 0.021266636, u'library', 0.013662102, u'German_shepherd', 0.012234366]
[u'library', 0.25117302, u'bookshop', 0.15383925, u'dining_table', 0.091689087, u'bookcase', 0.069670416, u'medicine_chest', 0.032322396]
[u'library', 0.38586506, u'bookshop', 0.13462074, u'sliding_door', 0.067964762, u'vault', 0.05800854, u'shoji', 0.035087857]
[u'keeshond', 0.036916487, u'hare', 0.026304664, u'Angora', 0.021601986, u'Persian_cat', 0.020419581, u'black_grouse', 0.017714746]
[u'planetarium', 0.099209882, u'library', 0.096113734, u'toilet_tissue', 0.095075548, u'toilet_seat', 0.063761137, u'dining_table', 0.056976631]
[u'window_screen', 0.23972531, u'sliding_door', 0.05260773, u'window_shade', 0.035579301, u'fire_screen', 0.032876633, u'vault', 0.015257506]
[u'prison', 0.031785015, u'Siamese_cat', 0.027992496, u'bannister', 0.023261091, u'sliding_door', 0.023168625, u'dining_table', 0.016937051]
[u'library', 0.27004412, u'bookcase', 0.25149956, u'medicine_chest', 0.087731458, u'container_ship', 0.06503962, u'crate', 0.033412304]
[u'desk', 0.10484121, u'photocopier', 0.025460323, u'studio_couch', 0.021487035, u'container_ship', 0.016317295, u'carton', 0.015957624]
[u'container_ship', 0.74608755, u'crane', 0.048260443, u'fireboat', 0.047443502, u'solar_dish', 0.020539168, u'beacon', 0.015381953]
[u'oscilloscope', 0.12905689, u'solar_dish', 0.060282186, u'window_screen', 0.049522951, u'fire_screen', 0.024542598, u'handkerchief', 0.020823639]
[u'container_ship', 0.7489444, u'pool_table', 0.03322142, u'balloon', 0.018406354, u'crane', 0.013566261, u'digital_watch', 0.013197805]
[u'jigsaw_puzzle', 0.58551836, u'container_ship', 0.1909492, u'castle', 0.073532857, u'digital_clock', 0.025166277, u'space_shuttle', 0.012161159]
[u'sliding_door', 0.085145913, u'window_screen', 0.079841502, u'library', 0.048025664, u'bookshop', 0.045008797, u'Norwegian_elkhound', 0.029551672]
[u'shower_curtain', 0.40046364, u'vase', 0.069057778, u'toilet_seat', 0.047584292, u'Windsor_tie', 0.031195784, u'handkerchief', 0.030300854]
[u'home_theater', 0.08398395, u'washbasin', 0.044285078, u'bathtub', 0.040780909, u'desk', 0.037811074, u'monitor', 0.037106328]
[u'window_screen', 0.11621785, u'prison', 0.071947254, u'caldron', 0.024145344, u'sliding_door', 0.021272803, u'Angora', 0.01872253]
[u'fire_screen', 0.045234039, u'pedestal', 0.037884437, u'window_screen', 0.036329992, u'lampshade', 0.027742073, u'table_lamp', 0.02519164]
