[u'shower_curtain', 0.22559798, u'shower_cap', 0.15788783, u'bathtub', 0.11132649, u'washbasin', 0.099807642, u'medicine_chest', 0.082160778]
[u'bathing_cap', 0.09682323, u'Band_Aid', 0.073093258, u'shower_cap', 0.050712973, u'diaper', 0.044292882, u'bow_tie', 0.040121131]
[u'wig', 0.15904754, u'brassiere', 0.1001941, u'miniskirt', 0.086311817, u'hair_spray', 0.057026576, u'maillot', 0.033300076]
[u'sandal', 0.2700232, u'Loafer', 0.045746852, u'Band_Aid', 0.027231455, u'butternut_squash', 0.023550022, u'buckle', 0.01990672]
[u'punching_bag', 0.063221723, u'violin', 0.054743566, u'trombone', 0.053936083, u'pole', 0.053479485, u'drumstick', 0.04860469]
[u'brassiere', 0.74856848, u'bikini', 0.11805055, u'maillot', 0.097086392, u'maillot', 0.0091522289, u'sarong', 0.0045853602]
[u'grocery_store', 0.30152652, u'planetarium', 0.079280593, u'mosque', 0.056514092, u'spaghetti_squash', 0.052004144, u'bakery', 0.042330995]
[u'vending_machine', 0.61537141, u'pop_bottle', 0.092943169, u'beer_bottle', 0.024076754, u'medicine_chest', 0.013454842, u'screwdriver', 0.011642069]
[u'shoe_shop', 0.35527822, u'sock', 0.062860325, u'Christmas_stocking', 0.047531981, u'miniskirt', 0.04267738, u'sandal', 0.042454276]
[u'swimming_trunks', 0.15524645, u'bathing_cap', 0.13054754, u'bathtub', 0.059932146, u'tub', 0.028450046, u'sunscreen', 0.026694465]
[u'mosquito_net', 0.44706705, u'gown', 0.29559165, u'overskirt', 0.053259164, u'hoopskirt', 0.03241438, u'apron', 0.018713973]
[u'shoe_shop', 0.2371058, u'refrigerator', 0.08397489, u'paintbrush', 0.059303761, u'bathtub', 0.057749696, u'medicine_chest', 0.033162817]
[u'brassiere', 0.1443256, u'bikini', 0.10615072, u'maillot', 0.055448703, u'Band_Aid', 0.0456235, u'miniskirt', 0.045109946]
[u'sunglasses', 0.096245281, u'sunglass', 0.076955631, u'Band_Aid', 0.035536308, u'sandal', 0.031269699, u'swimming_trunks', 0.030741295]
[u'brassiere', 0.89706337, u'maillot', 0.040176682, u'miniskirt', 0.015164192, u'stole', 0.013645969, u'bikini', 0.0087883789]
[u'brassiere', 0.63445628, u'bikini', 0.33263633, u'maillot', 0.014830966, u'sarong', 0.0074000647, u'sunglass', 0.0022901737]
[u'wig', 0.15904754, u'brassiere', 0.1001941, u'miniskirt', 0.086311817, u'hair_spray', 0.057026576, u'maillot', 0.033300076]
[u'miniskirt', 0.1817126, u'maillot', 0.095492892, u'kimono', 0.059257783, u'apron', 0.041074213, u'mortarboard', 0.032815874]
[u'bikini', 0.29975688, u'wig', 0.12212923, u'hair_spray', 0.076225907, u'sunscreen', 0.063217521, u'brassiere', 0.053927433]
[u'lipstick', 0.1047779, u'paintbrush', 0.072425008, u'Lhasa', 0.037700482, u'shower_curtain', 0.026574492, u'Persian_cat', 0.017792404]
[u'hand_blower', 0.27632064, u'miniskirt', 0.062397745, u'brassiere', 0.052836265, u'hair_spray', 0.044510122, u'maillot', 0.041437268]
[u'cowboy_hat', 0.27381387, u'bath_towel', 0.18473397, u'brassiere', 0.047802854, u'bathing_cap', 0.040884789, u'Band_Aid', 0.040753759]
[u'boxer', 0.062342357, u'swimming_trunks', 0.054204803, u'diaper', 0.052118879, u'vizsla', 0.046193659, u'Band_Aid', 0.043269467]
[u'stole', 0.55482751, u'mitten', 0.11994787, u'poncho', 0.10683677, u'cardigan', 0.042300787, u'wool', 0.035915144]
[u'swimming_trunks', 0.09092541, u'bathing_cap', 0.072798654, u'bathtub', 0.063422464, u'maillot', 0.060463477, u'dumbbell', 0.048383076]
[u'library', 0.083273388, u'fountain', 0.069083415, u'vault', 0.033893775, u'grand_piano', 0.030035838, u'restaurant', 0.028898079]
[u'brassiere', 0.25996548, u'bikini', 0.16253383, u'maillot', 0.10413937, u'miniskirt', 0.10204764, u'swimming_trunks', 0.072699264]
[u'brassiere', 0.39278334, u'miniskirt', 0.072518989, u'bikini', 0.060780268, u'maillot', 0.046394028, u'feather_boa', 0.034116529]
[u'crib', 0.070489451, u'bulletproof_vest', 0.041192055, u'dumbbell', 0.038857926, u'envelope', 0.037040319, u'swimming_trunks', 0.035719693]
[u'traffic_light', 0.10576999, u'loupe', 0.086042114, u'switch', 0.068077318, u'balloon', 0.058885645, u'parachute', 0.053156726]
[u'volcano', 0.3668426, u'wing', 0.21002848, u'promontory', 0.18705618, u'lakeside', 0.035630126, u'alp', 0.028983973]
[u'shower_curtain', 0.13801126, u'bathtub', 0.087612763, u'brassiere', 0.06177086, u'wardrobe', 0.05946533, u'bath_towel', 0.055840828]
[u'screw', 0.25143871, u'crane', 0.09354955, u'matchstick', 0.07627257, u'nail', 0.057053242, u'tripod', 0.045155324]
[u'hand_blower', 0.28258407, u'hair_spray', 0.27581304, u'brassiere', 0.084524721, u'bikini', 0.052009203, u'wig', 0.047521401]
[u'shower_curtain', 0.24008955, u'bath_towel', 0.089516975, u'soap_dispenser', 0.04495272, u'wardrobe', 0.041670766, u'apron', 0.035667889]
[u'brassiere', 0.66637897, u'maillot', 0.11206177, u'miniskirt', 0.04769538, u'bikini', 0.023700988, u'abaya', 0.022897005]
[u'maillot', 0.18822576, u'miniskirt', 0.1456099, u'brassiere', 0.086684436, u'maillot', 0.064433761, u'bikini', 0.028814845]
[u'sandal', 0.2700232, u'Loafer', 0.045746852, u'Band_Aid', 0.027231455, u'butternut_squash', 0.023550022, u'buckle', 0.01990672]
[u'miniskirt', 0.052480347, u'hair_spray', 0.05159276, u'wig', 0.047727358, u'brassiere', 0.031624656, u'Band_Aid', 0.031472355]
[u'bathing_cap', 0.29939589, u'swimming_trunks', 0.073525861, u'bow_tie', 0.054826885, u'book_jacket', 0.037924998, u'mask', 0.034145162]
[u'bath_towel', 0.17454895, u'brassiere', 0.15355124, u'bathtub', 0.097264685, u'tub', 0.094223097, u'wig', 0.059180532]
[u'miniskirt', 0.1817126, u'maillot', 0.095492892, u'kimono', 0.059257783, u'apron', 0.041074213, u'mortarboard', 0.032815874]
[u'stethoscope', 0.17620017, u'bath_towel', 0.13100493, u'diaper', 0.12730558, u'nipple', 0.082417428, u'harmonica', 0.04551566]
[u'bathtub', 0.3561492, u'tub', 0.13354564, u'swimming_trunks', 0.11928298, u'maillot', 0.071803972, u'maillot', 0.051888213]
[u'bathtub', 0.20249629, u'tub', 0.14931639, u'shower_curtain', 0.14424427, u'bath_towel', 0.12228317, u'brassiere', 0.097589575]
[u'brassiere', 0.85079432, u'maillot', 0.077930033, u'bikini', 0.031132901, u'maillot', 0.015000185, u'miniskirt', 0.0057791555]
[u'brassiere', 0.1443256, u'bikini', 0.10615072, u'maillot', 0.055448703, u'Band_Aid', 0.0456235, u'miniskirt', 0.045109946]
[u'brassiere', 0.76421803, u'miniskirt', 0.10710301, u'maillot', 0.035666034, u'abaya', 0.025938535, u'stole', 0.012538931]
[u'diaper', 0.55197668, u'boxer', 0.054733943, u'stethoscope', 0.046612561, u'basenji', 0.024751328, u'Italian_greyhound', 0.017857337]
[u'flute', 0.22102426, u'violin', 0.20420086, u'cello', 0.090534374, u'panpipe', 0.034359794, u'syringe', 0.0326261]
[u'shower_curtain', 0.14798814, u'lab_coat', 0.054787531, u'pajama', 0.047556922, u'book_jacket', 0.040682051, u'bathtub', 0.02417337]
