[u'diaper', 0.12259437, u'miniskirt', 0.1191365, u'cradle', 0.093395986, u'pajama', 0.080225259, u'tub', 0.058203813]
[u'diaper', 0.23948875, u'maillot', 0.1916831, u'swimming_trunks', 0.10798547, u'brassiere', 0.094923958, u'bikini', 0.08356265]
[u'diaper', 0.69381386, u'tub', 0.08223673, u'bathtub', 0.064843878, u'bath_towel', 0.052385926, u'swimming_trunks', 0.032108929]
[u'bathtub', 0.092069872, u'tub', 0.089270584, u'toilet_tissue', 0.081329405, u'lab_coat', 0.074032553, u'pajama', 0.036409479]
[u'dumbbell', 0.25904974, u'barbell', 0.22134466, u'horizontal_bar', 0.1025926, u'balance_beam', 0.073162049, u'swing', 0.045147501]
[u'dishwasher', 0.1749109, u'miniskirt', 0.16233981, u'hand_blower', 0.055033639, u'microwave', 0.048342902, u'power_drill', 0.04514293]
[u'miniskirt', 0.56066889, u'jean', 0.12019109, u'maillot', 0.051849164, u'maillot', 0.032296065, u'gown', 0.031169681]
[u'balance_beam', 0.48240405, u'parallel_bars', 0.1986879, u'horizontal_bar', 0.11150931, u'miniskirt', 0.073796481, u'maillot', 0.012007191]
[u'diaper', 0.18825947, u'miniskirt', 0.16923174, u'swing', 0.15145521, u'swimming_trunks', 0.073956765, u'balance_beam', 0.031310786]
[u'balance_beam', 0.23355214, u'swimming_trunks', 0.078890182, u'horizontal_bar', 0.054077871, u'parallel_bars', 0.050325807, u'bow', 0.034117773]
[u'parallel_bars', 0.22860625, u'horizontal_bar', 0.10847173, u'balance_beam', 0.092244238, u'vacuum', 0.058684241, u'dishwasher', 0.020924691]
[u'miniskirt', 0.3388063, u'pajama', 0.1667085, u'jean', 0.058689393, u'wig', 0.024833819, u'cardigan', 0.023442119]
[u'swimming_trunks', 0.87983656, u'diaper', 0.08244402, u'bathing_cap', 0.0059268391, u'sunscreen', 0.0042917691, u'bath_towel', 0.0035607815]
[u'bikini', 0.65480912, u'maillot', 0.090875655, u'sarong', 0.063706018, u'brassiere', 0.059311885, u'maillot', 0.014111615]
[u'jean', 0.25536504, u'pajama', 0.070510626, u'Great_Pyrenees', 0.04782185, u'ice_lolly', 0.036559422, u'seat_belt', 0.03605571]
[u'seat_belt', 0.30552742, u'limousine', 0.17616287, u'neck_brace', 0.099555001, u'minivan', 0.066692509, u'convertible', 0.061300606]
