[u'bow', 0.74392343, u'bassoon', 0.11049486, u'oboe', 0.017178606, u'stage', 0.014091708, u'theater_curtain', 0.014054787]
[u'mortarboard', 0.3445228, u'academic_gown', 0.15646014, u'drumstick', 0.10801438, u'bassoon', 0.06198002, u'umbrella', 0.041951079]
[u'stupa', 0.49278232, u'seashore', 0.26774052, u'palace', 0.065974429, u'obelisk', 0.016322015, u'triumphal_arch', 0.014960106]
[u'pier', 0.16253747, u'breakwater', 0.11229336, u'obelisk', 0.076044984, u'beacon', 0.062361881, u'dock', 0.051738139]
[u'vestment', 0.33123839, u'triumphal_arch', 0.23351784, u'palace', 0.096999891, u'vault', 0.063750312, u'altar', 0.061104413]
[u'castle', 0.79391998, u'fountain', 0.078622214, u'palace', 0.060455728, u'church', 0.020299109, u'cliff', 0.012478839]
[u'canoe', 0.7321074, u'speedboat', 0.18324605, u'paddle', 0.062830277, u'sandbar', 0.0087004099, u'lakeside', 0.0039905203]
[u'palace', 0.88483804, u'triumphal_arch', 0.051792435, u'monastery', 0.023312798, u'pedestal', 0.010777544, u'fountain', 0.0082809348]
[u'gong', 0.39195389, u'tray', 0.031557169, u'chime', 0.024483582, u'torch', 0.019829877, u'racket', 0.017947728]
[u'academic_gown', 0.77181268, u'mortarboard', 0.21580712, u'bow_tie', 0.004343844, u'bassoon', 0.0032335459, u'oboe', 0.0028881487]
[u'rapeseed', 0.88471001, u'palace', 0.037963856, u'castle', 0.019151077, u'pinwheel', 0.012753511, u'fountain', 0.0045928578]
[u'castle', 0.62834311, u'palace', 0.32744014, u'monastery', 0.020846268, u'church', 0.010626324, u'bell_cote', 0.0022327667]
[u'palace', 0.86889386, u'fountain', 0.06824147, u'castle', 0.025082594, u'monastery', 0.01734573, u'mosque', 0.0058494485]
[u'torch', 0.19698049, u'maypole', 0.15893595, u'flagpole', 0.095282704, u'stage', 0.081718087, u'pole', 0.039231468]
[u'stage', 0.24168254, u'theater_curtain', 0.07868997, u'folding_chair', 0.035293885, u'stretcher', 0.02293301, u'maze', 0.01323573]
[u'seashore', 0.67761159, u'wreck', 0.16628326, u'sandbar', 0.059592895, u'lakeside', 0.020437777, u'swing', 0.016430283]
[u'fountain', 0.17585671, u'stupa', 0.17243281, u'palace', 0.14726387, u'castle', 0.072712734, u'monastery', 0.062312823]
[u'streetcar', 0.25576904, u'palace', 0.13974641, u'cab', 0.13292073, u'traffic_light', 0.042119406, u'church', 0.037639186]
[u'academic_gown', 0.29376361, u'mortarboard', 0.066404983, u'umbrella', 0.051819034, u'folding_chair', 0.047832087, u'shoe_shop', 0.036614321]
[u'suspension_bridge', 0.68712294, u'pier', 0.29408616, u'container_ship', 0.0078389775, u'steel_arch_bridge', 0.0043422095, u'fireboat', 0.0013424663]
[u'castle', 0.45698053, u'monastery', 0.24094918, u'palace', 0.12512968, u'church', 0.084044404, u'bell_cote', 0.027201045]
[u'bell_cote', 0.4460279, u'church', 0.17233339, u'castle', 0.11582314, u'palace', 0.07146553, u'fountain', 0.035682589]
[u'limousine', 0.34603816, u'groom', 0.16871534, u'lab_coat', 0.13575134, u'gown', 0.083225802, u'Afghan_hound', 0.07976529]
[u'altar', 0.37808204, u'vault', 0.10246209, u'church', 0.092384756, u'stupa', 0.064423218, u'throne', 0.061505903]
