[u'wardrobe', 0.69145286, u'ski', 0.21659501, u'sarong', 0.014833801, u'stole', 0.012764629, u'poncho', 0.0073750992]
[u'altar', 0.75514656, u'vestment', 0.056698788, u'grand_piano', 0.02135298, u'organ', 0.020317506, u'palace', 0.015785277]
[u'throne', 0.31136081, u'vestment', 0.13647968, u'altar', 0.061402828, u'wardrobe', 0.026614809, u'crutch', 0.023859272]
[u'torch', 0.38631922, u'lab_coat', 0.064675719, u'ski', 0.052506927, u'wardrobe', 0.042980555, u'stage', 0.035747822]
[u'altar', 0.38518548, u'theater_curtain', 0.19826722, u'palace', 0.15872711, u'dome', 0.027614351, u'vault', 0.024739753]
[u'wardrobe', 0.28023899, u'vestment', 0.13484538, u'butcher_shop', 0.11389065, u'abaya', 0.072900929, u'cloak', 0.066878006]
[u'restaurant', 0.33560199, u'vestment', 0.26395392, u'bow', 0.053140625, u'altar', 0.045014996, u'dining_table', 0.017195975]
[u'bow', 0.23611224, u'wardrobe', 0.23006296, u'flagpole', 0.093688153, u'ski', 0.090248741, u'coho', 0.075566031]
[u'wardrobe', 0.18517512, u'vestment', 0.070791088, u'crutch', 0.047929645, u'jean', 0.04021899, u'suit', 0.035632525]
[u'four-poster', 0.13282169, u'lumbermill', 0.078312695, u'bookshop', 0.052967746, u'throne', 0.045808233, u'restaurant', 0.033247426]
[u'punching_bag', 0.16876648, u'maze', 0.075478189, u'stage', 0.073168918, u'shower_curtain', 0.05805264, u'swing', 0.049211793]
[u'restaurant', 0.23801324, u'shoe_shop', 0.21064655, u'dining_table', 0.07792566, u'lab_coat', 0.045555424, u'cleaver', 0.03134178]
[u'harp', 0.4098106, u'throne', 0.15123539, u'vestment', 0.1378049, u'wardrobe', 0.087869316, u'four-poster', 0.032888107]
[u'organ', 0.20606782, u'radiator', 0.15861529, u'church', 0.14446744, u'altar', 0.076322503, u'restaurant', 0.054298084]
[u'harvester', 0.92820436, u'thresher', 0.041347876, u'plow', 0.018600814, u'tractor', 0.0086776046, u'snowplow', 0.00057683967]
[u'wardrobe', 0.86996728, u'throne', 0.057668082, u'china_cabinet', 0.028460484, u'wall_clock', 0.010408619, u'altar', 0.007885972]
[u'groom', 0.59561479, u'library', 0.083392099, u'restaurant', 0.046172664, u'academic_gown', 0.041043758, u'bookshop', 0.023552371]
[u'academic_gown', 0.39894363, u'theater_curtain', 0.27864835, u'mortarboard', 0.15382159, u'suit', 0.059758708, u'groom', 0.031074841]
[u'ski', 0.47365648, u'bow', 0.039873037, u'West_Highland_white_terrier', 0.038787764, u'crutch', 0.034664452, u'swab', 0.02365623]
