[u'sandal', 0.47000986, u'brassiere', 0.20319283, u'bikini', 0.068389326, u'bath_towel', 0.059668381, u'diaper', 0.048468567]
[u'Band_Aid', 0.37315014, u'bathtub', 0.16776182, u'sunscreen', 0.15140286, u'tub', 0.063078903, u'diaper', 0.035943743]
[u'tub', 0.28667066, u'bathtub', 0.27236488, u'swimming_trunks', 0.11973734, u'diaper', 0.032643571, u'bath_towel', 0.029324349]
[u'tub', 0.49169594, u'bathtub', 0.31456804, u'hog', 0.073279209, u'stingray', 0.026916606, u'electric_ray', 0.0099331364]
[u'maillot', 0.14591658, u'brassiere', 0.12195979, u'miniskirt', 0.11067419, u'bikini', 0.037167832, u'sandal', 0.036437456]
[u'bathtub', 0.21450187, u'sunscreen', 0.20917656, u'tub', 0.13952607, u'Band_Aid', 0.068585068, u'lipstick', 0.033764683]
[u'red_wine', 0.45569339, u'lipstick', 0.074066751, u'trifle', 0.053800855, u'beer_glass', 0.035874967, u'eggnog', 0.028072622]
[u'bikini', 0.38715428, u'bathtub', 0.20391794, u'tub', 0.12866317, u'brassiere', 0.079698153, u'swimming_trunks', 0.049075373]
[u'bathtub', 0.33704895, u'bubble', 0.12098451, u'swimming_trunks', 0.086640537, u'tub', 0.082838632, u'nipple', 0.059559602]
[u'swimming_trunks', 0.7811867, u'bikini', 0.1117006, u'volleyball', 0.024379965, u'maillot', 0.014582315, u'seashore', 0.010353425]
[u'bathtub', 0.3275038, u'tub', 0.13236035, u"potter's_wheel", 0.076838575, u'shower_cap', 0.049707465, u'butcher_shop', 0.028863546]
[u'swimming_trunks', 0.43150982, u'tub', 0.15681848, u'bathtub', 0.14748433, u'bikini', 0.078947186, u'maillot', 0.040104564]
[u'wig', 0.46060801, u'fur_coat', 0.092080891, u'feather_boa', 0.043341462, u'stole', 0.028378857, u'lipstick', 0.023603423]
[u'tub', 0.39756379, u'brassiere', 0.16946712, u'swimming_trunks', 0.13590652, u'bikini', 0.083331518, u'bathtub', 0.072063722]
[u'bathtub', 0.2265815, u'tub', 0.22586329, u'brassiere', 0.14332791, u'bikini', 0.10387091, u'diaper', 0.041517012]
[u'maillot', 0.33759037, u'bathtub', 0.20286924, u'tub', 0.19700412, u'bikini', 0.092421465, u'maillot', 0.063027881]
[u'tub', 0.34781826, u'bathtub', 0.33674523, u'shower_cap', 0.049103003, u'sleeping_bag', 0.046597075, u'bathing_cap', 0.038319658]
[u'bathtub', 0.53372091, u'tub', 0.28410819, u'sunscreen', 0.045615643, u'bath_towel', 0.01748387, u'shower_cap', 0.014362691]
