[u'library', 0.2708762, u'dining_table', 0.090415202, u'bookshop', 0.035353635, u'shoji', 0.027657526, u'prison', 0.017398201]
[u'library', 0.086597808, u'vault', 0.070852615, u'bookshop', 0.041663822, u'tobacco_shop', 0.026954075, u'stupa', 0.026847532]
[u'vault', 0.16445754, u'pedestal', 0.11279333, u'stupa', 0.063034266, u'library', 0.061453935, u'monastery', 0.04875033]
[u'Windsor_tie', 0.093474641, u'prayer_rug', 0.068922564, u'velvet', 0.061513226, u'wool', 0.058378488, u'shower_curtain', 0.031772964]
[u'monitor', 0.19511265, u'safe', 0.093395188, u'screen', 0.079418883, u'cash_machine', 0.073407464, u'medicine_chest', 0.038326494]
[u'prison', 0.10329247, u'library', 0.03563755, u'shoji', 0.035219926, u'bookshop', 0.033043426, u'dining_table', 0.025899993]
[u'library', 0.058470186, u'space_shuttle', 0.058428936, u'stupa', 0.049884446, u'planetarium', 0.038123477, u'bookshop', 0.030352222]
[u'library', 0.086096175, u'dining_table', 0.062337026, u'bookshop', 0.052366391, u'prison', 0.048472624, u'grand_piano', 0.036308806]
[u'shower_curtain', 0.39878824, u'mosquito_net', 0.04649929, u'bathtub', 0.038239334, u'balance_beam', 0.032918438, u'candle', 0.015725954]
[u'Angora', 0.032961003, u'window_screen', 0.032670878, u'shower_curtain', 0.032581035, u'window_shade', 0.031254847, u'shoji', 0.023643188]
[u'library', 0.4494884, u'bookshop', 0.14347905, u'container_ship', 0.078873977, u'bookcase', 0.049784347, u'dining_table', 0.02310109]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'jigsaw_puzzle', 0.37131032, u'maze', 0.21811269, u'digital_clock', 0.089898415, u'container_ship', 0.062574305, u'traffic_light', 0.047031827]
[u'bookshop', 0.052974641, u'German_shepherd', 0.037252877, u'Border_terrier', 0.028841684, u'Tibetan_mastiff', 0.026438525, u'tobacco_shop', 0.025975827]
[u'digital_clock', 0.025610514, u'container_ship', 0.019269129, u'theater_curtain', 0.018724199, u'quilt', 0.017762311, u'shower_curtain', 0.014656342]
[u'dining_table', 0.053858202, u'shower_curtain', 0.038308807, u'quilt', 0.021322835, u'crossword_puzzle', 0.020385878, u'shoji', 0.019066932]
