[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
[u'oscilloscope', 0.79082483, u'screen', 0.089235373, u'monitor', 0.035394076, u'digital_clock', 0.018836377, u'microwave', 0.017900325]
