[u'library', 0.10178179, u'stupa', 0.10144785, u'vault', 0.04685482, u'bell_cote', 0.043604724, u'container_ship', 0.039826311]
[u'library', 0.21199401, u'bookcase', 0.15428792, u'bookshop', 0.13325359, u'desk', 0.080470644, u'entertainment_center', 0.039455235]
[u'quilt', 0.079446182, u'prayer_rug', 0.075785555, u'shower_curtain', 0.057102952, u'wool', 0.02626965, u'doormat', 0.018718569]
[u'digital_clock', 0.31491411, u'theater_curtain', 0.042340048, u'maze', 0.036116581, u'shower_curtain', 0.032531019, u'lampshade', 0.025782954]
[u'library', 0.28074253, u'bookshop', 0.10606621, u'container_ship', 0.094179489, u'solar_dish', 0.034277748, u'dining_table', 0.022651272]
[u'container_ship', 0.17217889, u'crane', 0.084494524, u'traffic_light', 0.050322223, u'matchstick', 0.048940375, u'bell_cote', 0.031487882]
[u'sliding_door', 0.39632189, u'shoji', 0.10153366, u'library', 0.091804802, u'bookcase', 0.040351491, u'bookshop', 0.039655797]
[u'library', 0.20890929, u'bookshop', 0.088944241, u'vault', 0.058013756, u'prison', 0.037085734, u'patio', 0.015327964]
[u'container_ship', 0.66923034, u'balloon', 0.043449312, u'pool_table', 0.039434899, u'crane', 0.016435737, u'digital_watch', 0.015550072]
[u'crane', 0.26676005, u'container_ship', 0.054515868, u'bell_cote', 0.032127667, u'envelope', 0.022010371, u'matchstick', 0.020235939]
[u'wardrobe', 0.11903986, u'sliding_door', 0.1097916, u'shoji', 0.10512016, u'fire_screen', 0.065989487, u'dining_table', 0.065392554]
[u'tobacco_shop', 0.22436436, u'bookshop', 0.15134755, u'wire-haired_fox_terrier', 0.019637644, u'English_foxhound', 0.018100685, u'confectionery', 0.017086377]
[u'bookshop', 0.063665994, u'crossword_puzzle', 0.055086926, u'dining_table', 0.043205019, u'library', 0.036090333, u'wool', 0.033892125]
[u'library', 0.068003401, u'dining_table', 0.050202329, u'pedestal', 0.049186438, u'vault', 0.043933354, u'prison', 0.040794879]
[u'theater_curtain', 0.072899617, u'fountain', 0.037932031, u'cinema', 0.035459194, u'planetarium', 0.029890923, u'organ', 0.024923963]
[u'prison', 0.060352478, u'caldron', 0.041850414, u'wok', 0.03246735, u'Siamese_cat', 0.031615321, u'planetarium', 0.030350881]
[u'vault', 0.079186857, u'pedestal', 0.033769093, u'vulture', 0.033739943, u'prison', 0.025528248, u'mosque', 0.024605863]
[u'container_ship', 0.10279316, u'crossword_puzzle', 0.034173045, u'library', 0.029052477, u'pedestal', 0.021862241, u'bookshop', 0.021207744]
[u'bookshop', 0.046389114, u'tobacco_shop', 0.035227574, u'crossword_puzzle', 0.017456643, u'library', 0.014778501, u'grocery_store', 0.0086439215]
[u'bookshop', 0.093542866, u'library', 0.075458243, u'sliding_door', 0.054771714, u'dining_table', 0.038703356, u'bookcase', 0.036919642]
[u'dining_table', 0.1695224, u'library', 0.13668837, u'sliding_door', 0.02615267, u'bookshop', 0.025697093, u'vault', 0.021510556]
