[u'boxer', 0.10410151, u'French_bulldog', 0.079489693, u'Rhodesian_ridgeback', 0.078157522, u'vizsla', 0.074551761, u'Labrador_retriever', 0.063061833]
[u'bikini', 0.26992017, u'maillot', 0.066268392, u'Egyptian_cat', 0.056986757, u'fur_coat', 0.052350622, u'wallaby', 0.048364956]
[u'miniskirt', 0.11482506, u'volleyball', 0.085955471, u'bikini', 0.079488836, u'prison', 0.073327988, u'swimming_trunks', 0.051824979]
[u'bathing_cap', 0.12837037, u'ballplayer', 0.073027708, u'motor_scooter', 0.067645758, u'military_uniform', 0.054625478, u'crash_helmet', 0.031711929]
[u'maillot', 0.29169741, u'maillot', 0.15033364, u'miniskirt', 0.13536771, u'bikini', 0.12438885, u'swimming_trunks', 0.11165595]
[u'miniskirt', 0.32484794, u'dumbbell', 0.1146666, u'Loafer', 0.083456896, u'jean', 0.056688804, u'maillot', 0.049408276]
[u'tub', 0.34556094, u'bathtub', 0.27522656, u'butcher_shop', 0.067924879, u'butternut_squash', 0.039474685, u'bikini', 0.020407373]
[u'swimming_trunks', 0.39268383, u'bikini', 0.10505252, u'diaper', 0.075093761, u'bathtub', 0.071865276, u'vizsla', 0.046659425]
[u'maillot', 0.27793133, u'bathtub', 0.23293675, u'bikini', 0.21055122, u'tub', 0.17140546, u'maillot', 0.039330803]
[u'miniskirt', 0.42271835, u'maillot', 0.096937001, u'bikini', 0.062977366, u'brassiere', 0.055969547, u'sandal', 0.028433172]
[u'sandal', 0.14726894, u'bikini', 0.13419326, u'knee_pad', 0.10113068, u'miniskirt', 0.077002481, u'maillot', 0.054395847]
[u'bathtub', 0.18427429, u'tub', 0.15442823, u'diaper', 0.11452189, u'swimming_trunks', 0.093608394, u'dumbbell', 0.056718405]
[u'maillot', 0.40520498, u'bikini', 0.25984016, u'sunscreen', 0.116684, u'maillot', 0.077687472, u'swimming_trunks', 0.067891978]
[u'bikini', 0.54537213, u'maillot', 0.09027534, u'swimming_trunks', 0.082458794, u'sarong', 0.03839352, u'maillot', 0.034758884]
[u'hair_spray', 0.066617638, u'lens_cap', 0.052010473, u'barbershop', 0.049578171, u'sunglasses', 0.040593501, u'binoculars', 0.037348568]
[u'sunscreen', 0.35936582, u'sunglass', 0.1261808, u'bikini', 0.10947868, u'swimming_trunks', 0.046646349, u'sunglasses', 0.031448748]
[u'bikini', 0.16223925, u'bathtub', 0.090348624, u'swimming_trunks', 0.085633047, u'tub', 0.073496848, u'sunscreen', 0.06038538]
[u'sunscreen', 0.16486198, u'bikini', 0.11572164, u'lotion', 0.10824706, u'bathtub', 0.10278901, u'Band_Aid', 0.061897103]
[u'pole', 0.21468414, u'balance_beam', 0.15084258, u'knee_pad', 0.09208151, u'horizontal_bar', 0.047778226, u'maillot', 0.046745792]
[u'swing', 0.84290761, u'tub', 0.039803021, u'chain', 0.020898264, u'bathtub', 0.01571572, u'bikini', 0.011313716]
[u'cowboy_hat', 0.1593066, u'racket', 0.061247922, u'parallel_bars', 0.054946132, u'chain_saw', 0.041174162, u'gasmask', 0.040499821]
[u'brassiere', 0.3514646, u'bikini', 0.29151753, u'maillot', 0.15019193, u'miniskirt', 0.075255737, u'maillot', 0.01521402]
[u'dumbbell', 0.087710299, u'swimming_trunks', 0.085159786, u'tub', 0.077089615, u'bikini', 0.046975952, u'prison', 0.03575699]
[u'bikini', 0.25680703, u'maillot', 0.21006645, u'brassiere', 0.16624519, u'miniskirt', 0.13939525, u'sandal', 0.032743394]
[u'sarong', 0.48730847, u'stole', 0.089319952, u'maillot', 0.063291863, u'mask', 0.038136203, u'wig', 0.031761777]
[u'brassiere', 0.34484693, u'maillot', 0.30206579, u'bikini', 0.26533338, u'maillot', 0.016437957, u'gown', 0.016143879]
[u'swimming_trunks', 0.49117494, u'bathing_cap', 0.21502851, u'bikini', 0.20091277, u'volleyball', 0.049595367, u'maillot', 0.016431421]
[u'bikini', 0.43148077, u'brassiere', 0.1859253, u'maillot', 0.074904069, u'lipstick', 0.045187391, u'bathtub', 0.028779062]
[u'bathtub', 0.20098297, u'tub', 0.19511899, u'bikini', 0.18086752, u'brassiere', 0.05192399, u'axolotl', 0.038011827]
[u'brassiere', 0.21152394, u'tub', 0.20813635, u'diaper', 0.18263532, u'bathtub', 0.13858908, u'bikini', 0.064134568]
[u'Band_Aid', 0.11101204, u'bubble', 0.087551333, u'hair_slide', 0.077124789, u'lipstick', 0.076415353, u'wig', 0.071486011]
[u'vacuum', 0.25924358, u'sock', 0.14904523, u'maillot', 0.1000502, u'jean', 0.078074485, u'crutch', 0.046499982]
[u'fur_coat', 0.11367015, u'military_uniform', 0.062189326, u'butcher_shop', 0.041636623, u'book_jacket', 0.039107371, u'pedestal', 0.026917964]
[u'maillot', 0.37409759, u'maillot', 0.30890718, u'bikini', 0.27043194, u'swimming_trunks', 0.007266623, u'tub', 0.0060527418]
[u'bubble', 0.047451891, u'cup', 0.042504091, u'wooden_spoon', 0.037633546, u'conch', 0.031973537, u'perfume', 0.029707056]
[u'conch', 0.16486651, u'butcher_shop', 0.13183284, u'gyromitra', 0.065363951, u'ocarina', 0.051973987, u'Mexican_hairless', 0.045143597]
[u'comic_book', 0.34581479, u'sewing_machine', 0.032523353, u'book_jacket', 0.029017951, u'maillot', 0.025203286, u'carousel', 0.021154046]
[u'bikini', 0.2111492, u'swimming_trunks', 0.1647494, u'fountain', 0.093025826, u'tub', 0.092952043, u'volleyball', 0.051775485]
[u'sunglasses', 0.12673157, u'miniskirt', 0.10505074, u'cellular_telephone', 0.10106562, u'sunglass', 0.057821207, u'jean', 0.041697603]
[u'maillot', 0.47879034, u'dumbbell', 0.18972632, u'brassiere', 0.15759194, u'maillot', 0.089387089, u'bathing_cap', 0.045460638]
[u'maillot', 0.25217989, u'snorkel', 0.20137522, u'bikini', 0.15058951, u'sandal', 0.075668402, u'scuba_diver', 0.050366089]
[u'bikini', 0.25857261, u'swimming_trunks', 0.109643, u'tub', 0.090557337, u'fountain', 0.051750459, u'bathing_cap', 0.044972003]
[u'horizontal_bar', 0.15300895, u'swimming_trunks', 0.13241252, u'Italian_greyhound', 0.051495664, u'vizsla', 0.047290895, u'dumbbell', 0.047171962]
[u'maillot', 0.39870262, u'wig', 0.18316714, u'miniskirt', 0.10208222, u'bikini', 0.098600119, u'maillot', 0.082283683]
