[u'bathtub', 0.33525115, u'tub', 0.18804309, u'brassiere', 0.043316837, u'shower_curtain', 0.038781147, u'bikini', 0.033727981]
[u'iron', 0.20173354, u'pajama', 0.15978204, u'diaper', 0.090536021, u'bath_towel', 0.052048706, u'jean', 0.040690441]
[u'tub', 0.28058782, u'bathtub', 0.21176104, u'swimming_trunks', 0.19029897, u'notebook', 0.045653027, u'maillot', 0.039805189]
[u'brassiere', 0.32873031, u'miniskirt', 0.14892574, u'bikini', 0.14231817, u'maillot', 0.12447519, u'feather_boa', 0.025928954]
[u'peacock', 0.96524054, u'quail', 0.0086044436, u'indigo_bunting', 0.0074089682, u'ruffed_grouse', 0.0039315876, u'black_grouse', 0.0028650381]
[u'studio_couch', 0.53513312, u'maillot', 0.088081956, u'tub', 0.052898712, u'pajama', 0.046927024, u'maillot', 0.030910064]
[u'gown', 0.46689817, u'miniskirt', 0.10783371, u'overskirt', 0.080281772, u'groom', 0.046104446, u'hoopskirt', 0.043591574]
[u'bathtub', 0.1473708, u'tub', 0.088683173, u'washbasin', 0.051678095, u'barbershop', 0.025644887, u'diaper', 0.024645673]
[u'abaya', 0.2884452, u'ski_mask', 0.079537719, u'stole', 0.046125356, u'sleeping_bag', 0.044564843, u'cloak', 0.029106272]
[u'bathtub', 0.2344548, u'tub', 0.090544723, u'syringe', 0.062725082, u'swimming_trunks', 0.03273632, u'lighter', 0.030386733]
[u'butternut_squash', 0.81561017, u'saltshaker', 0.019017411, u'albatross', 0.017128145, u'sea_lion', 0.0092944354, u'Italian_greyhound', 0.0085774893]
[u'bonnet', 0.13218862, u'sombrero', 0.10568924, u'cloak', 0.06414067, u'academic_gown', 0.03485778, u'cowboy_hat', 0.03279417]
[u'bathtub', 0.16740799, u'tub', 0.11522435, u'candle', 0.10121189, u'piggy_bank', 0.050878532, u'lotion', 0.03065737]
[u'bow_tie', 0.063081764, u'bonnet', 0.059247967, u'Boston_bull', 0.050072923, u'groom', 0.045043975, u'Chihuahua', 0.041849602]
[u'bathtub', 0.21806531, u'cradle', 0.13238205, u'tub', 0.10390528, u'bath_towel', 0.062697694, u'crib', 0.056273364]
[u'stretcher', 0.09222436, u'quilt', 0.055567857, u'studio_couch', 0.039738808, u'pajama', 0.036271162, u'iron', 0.031900547]
[u'brassiere', 0.46466854, u'maillot', 0.15643734, u'gown', 0.081236601, u'bikini', 0.056241762, u'maillot', 0.03688889]
[u'Ibizan_hound', 0.20553553, u'dingo', 0.095042154, u'Saluki', 0.091221064, u'Great_Dane', 0.043870855, u'Weimaraner', 0.029440803]
[u'groom', 0.13412189, u'bikini', 0.0915481, u'bathtub', 0.088476352, u'tub', 0.082471661, u'Italian_greyhound', 0.038361248]
[u'piggy_bank', 0.093781538, u'ocarina', 0.09282881, u'lotion', 0.087669469, u'hair_spray', 0.080510974, u'hand_blower', 0.068953469]
[u'brassiere', 0.42825341, u'bikini', 0.20883271, u'maillot', 0.13706638, u'hand_blower', 0.040123876, u'maillot', 0.027663108]
[u'miniskirt', 0.1422694, u'bikini', 0.10362625, u'jackfruit', 0.072960742, u'hay', 0.062798247, u'maillot', 0.042946033]
[u'bath_towel', 0.22580935, u'bathtub', 0.20334308, u'tub', 0.08487983, u'sunscreen', 0.067492276, u'shower_cap', 0.030293711]
[u'bikini', 0.47739118, u'swimming_trunks', 0.33445275, u'sandbar', 0.025589425, u'seashore', 0.024480158, u'maillot', 0.021757184]
[u'television', 0.1229352, u'scale', 0.059795812, u'cellular_telephone', 0.049859792, u'iPod', 0.042394102, u'horizontal_bar', 0.036832806]
[u'axolotl', 0.025295589, u'balance_beam', 0.025063911, u'eel', 0.013189008, u'marmoset', 0.011768712, u'drumstick', 0.011081905]
[u'swimming_trunks', 0.3278327, u'brassiere', 0.082453169, u'bikini', 0.040579688, u'bathtub', 0.029412806, u'diaper', 0.029148966]
[u'swimming_trunks', 0.13522421, u'bikini', 0.098879084, u'bathing_cap', 0.078809269, u'maillot', 0.063061275, u'sunscreen', 0.035016369]
[u'bathing_cap', 0.27849495, u'swimming_trunks', 0.21639086, u'maillot', 0.17311716, u'bikini', 0.14739668, u'maillot', 0.05331628]
[u'vacuum', 0.11636163, u'window_shade', 0.10406172, u'abaya', 0.04372238, u'four-poster', 0.037503667, u'suit', 0.034132987]
[u'tub', 0.25562176, u'bathtub', 0.24537069, u'diaper', 0.18595336, u'swimming_trunks', 0.030146198, u'hog', 0.027642321]
[u'brassiere', 0.4296599, u'bikini', 0.29773965, u'hair_spray', 0.061724715, u'gown', 0.034091525, u'bow_tie', 0.033016402]
[u'bikini', 0.11861967, u'cliff', 0.073600106, u'shovel', 0.066108197, u'swimming_trunks', 0.064461187, u'sarong', 0.054792792]
[u'miniskirt', 0.15507753, u'tub', 0.086973734, u'maillot', 0.08564236, u'bathtub', 0.084048174, u'studio_couch', 0.058587663]
[u'bikini', 0.67576987, u'tub', 0.06833344, u'maillot', 0.064771995, u'sunscreen', 0.049876139, u'brassiere', 0.031762365]
[u'shower_cap', 0.1890426, u'stethoscope', 0.16826966, u'lens_cap', 0.054517474, u'hand_blower', 0.051854212, u'loupe', 0.047606573]
[u'lab_coat', 0.098272979, u'bonnet', 0.089118503, u'diaper', 0.058466721, u'brassiere', 0.053441126, u'miniskirt', 0.040471919]
[u'swab', 0.088325642, u'hand_blower', 0.082893468, u'umbrella', 0.063406609, u'hair_spray', 0.052428972, u'paintbrush', 0.025505666]
[u'axolotl', 0.20355392, u'diaper', 0.14959075, u'pillow', 0.042238835, u'piggy_bank', 0.029148007, u'cucumber', 0.018290803]
[u'bikini', 0.60439998, u'tub', 0.11326292, u'bathtub', 0.081603028, u'swimming_trunks', 0.062182516, u'brassiere', 0.045806896]
[u'web_site', 0.2408019, u'television', 0.096011005, u'cellular_telephone', 0.087480724, u'monitor', 0.035809062, u'iPod', 0.033776153]
[u'brassiere', 0.087202325, u'maillot', 0.063050978, u'balance_beam', 0.044735901, u'jean', 0.042666554, u'miniskirt', 0.037079226]
[u'diaper', 0.19743189, u'bathtub', 0.079513133, u'tub', 0.077586219, u'Band_Aid', 0.062851131, u'brassiere', 0.048121803]
[u'lab_coat', 0.34668973, u'bath_towel', 0.088499084, u'gown', 0.046011191, u'brassiere', 0.033923872, u'groom', 0.030306919]
[u'hair_spray', 0.13005769, u'wig', 0.073446237, u'brassiere', 0.054843739, u'hand_blower', 0.041588802, u'bikini', 0.01997507]
[u'maillot', 0.22718525, u'bikini', 0.20173311, u'brassiere', 0.1012526, u'miniskirt', 0.076392598, u'maillot', 0.069002718]
[u'bubble', 0.045858946, u'hair_spray', 0.035264216, u'king_penguin', 0.034153543, u'balance_beam', 0.033126149, u'punching_bag', 0.027341472]
[u'diaper', 0.20031048, u'swimming_trunks', 0.047218956, u'stethoscope', 0.044723388, u'brassiere', 0.036724221, u'bikini', 0.032828521]
[u'bikini', 0.4725115, u'brassiere', 0.20865321, u'maillot', 0.075233512, u'bathtub', 0.074120753, u'gown', 0.062665723]
[u'diaper', 0.5000487, u'bathtub', 0.18320586, u'tub', 0.087914363, u'groom', 0.023603208, u'stethoscope', 0.016694507]
[u'stage', 0.33076057, u'drumstick', 0.08560393, u'bow', 0.036470722, u'bassoon', 0.031623144, u'miniskirt', 0.028770046]
[u'lipstick', 0.48890299, u'ice_lolly', 0.11303914, u'abaya', 0.063581802, u'bonnet', 0.059142061, u'spatula', 0.026369696]
[u'bikini', 0.43053856, u'brassiere', 0.17545128, u'diaper', 0.060474493, u'maillot', 0.059834216, u'sunscreen', 0.040346924]
