[u'beer_bottle', 0.94738573, u'pop_bottle', 0.018892474, u'pill_bottle', 0.016083116, u'whiskey_jug', 0.0090998905, u'eggnog', 0.0019716339]
[u'pill_bottle', 0.44338953, u'lotion', 0.1944399, u'water_bottle', 0.19441728, u'sunscreen', 0.046083212, u'cocktail_shaker', 0.032463718]
[u'analog_clock', 0.26709646, u'rule', 0.14544278, u'matchstick', 0.12386822, u'book_jacket', 0.088324852, u'magnetic_compass', 0.043277137]
[u'envelope', 0.22932541, u'web_site', 0.05480732, u'bulletproof_vest', 0.016356768, u'quill', 0.011826974, u'binder', 0.010171676]
[u'packet', 0.42919531, u'plastic_bag', 0.1636118, u'toilet_tissue', 0.10192348, u'Band_Aid', 0.049549077, u'paper_towel', 0.040661715]
[u'beer_bottle', 0.59678191, u'water_bottle', 0.17416288, u'pop_bottle', 0.1701615, u'nipple', 0.031080404, u'pill_bottle', 0.013230011]
[u'beer_bottle', 0.51582897, u'pop_bottle', 0.23812903, u'water_bottle', 0.13841692, u'pill_bottle', 0.052718118, u'whiskey_jug', 0.012111252]
[u'beer_bottle', 0.88973778, u'pop_bottle', 0.10216388, u'water_bottle', 0.0059987977, u'wine_bottle', 0.00048414746, u'whiskey_jug', 0.00041267936]
[u'pill_bottle', 0.42003012, u'lotion', 0.36214799, u'sunscreen', 0.10016926, u'perfume', 0.068534106, u'soap_dispenser', 0.014648303]
[u'wall_clock', 0.025398642, u'ballpoint', 0.018682692, u'pill_bottle', 0.013904446, u'nematode', 0.013492794, u'letter_opener', 0.012839379]
