[u'library', 0.090036459, u'container_ship', 0.043260138, u'bookshop', 0.039749008, u'crane', 0.032526519, u'window_screen', 0.032116611]
[u'envelope', 0.16360104, u'shower_curtain', 0.16096237, u'menu', 0.062914379, u'binder', 0.061530802, u'toilet_tissue', 0.044937395]
[u'window_screen', 0.084144913, u'kite', 0.036328178, u'Windsor_tie', 0.029665709, u'guenon', 0.028104601, u'meerkat', 0.018299788]
[u'tray', 0.057542246, u'crossword_puzzle', 0.053119101, u'wool', 0.034943201, u'digital_watch', 0.022410905, u'vase', 0.0195565]
[u'vulture', 0.13058667, u'crane', 0.024222011, u'kite', 0.02183334, u'window_screen', 0.021443699, u'bald_eagle', 0.019270934]
[u'bookshop', 0.033746183, u'Border_terrier', 0.029339569, u'Chihuahua', 0.025824606, u'African_hunting_dog', 0.019891914, u'tobacco_shop', 0.016581738]
[u'bookshop', 0.12395907, u'library', 0.043056291, u'dining_table', 0.037046786, u'bookcase', 0.034788262, u'medicine_chest', 0.029857602]
[u'shower_curtain', 0.15612808, u'window_screen', 0.05797375, u'oscilloscope', 0.047642469, u'handkerchief', 0.020882325, u'maze', 0.02019777]
[u'church', 0.082234897, u'stupa', 0.071441054, u'bell_cote', 0.068799689, u'traffic_light', 0.05652881, u'cinema', 0.037415307]
[u'bookcase', 0.083297111, u'shower_curtain', 0.071870655, u'wardrobe', 0.044896293, u'sliding_door', 0.041786194, u'window_screen', 0.038729016]
[u'shower_curtain', 0.089195438, u'window_screen', 0.079858862, u'Windsor_tie', 0.04457467, u'handkerchief', 0.038096733, u'prayer_rug', 0.025310449]
[u'crane', 0.084448561, u'missile', 0.054287206, u'boathouse', 0.049655262, u'monitor', 0.048260495, u'pier', 0.035199404]
[u'bookshop', 0.16897845, u'library', 0.11431419, u'window_shade', 0.052020937, u'sliding_door', 0.050801266, u'window_screen', 0.048494857]
[u'library', 0.28112403, u'bookshop', 0.10493562, u'wire-haired_fox_terrier', 0.021748705, u'planetarium', 0.015353359, u'dining_table', 0.015291839]
[u'crane', 0.17749818, u'traffic_light', 0.16021545, u'guillotine', 0.11233009, u'digital_clock', 0.090748288, u'plow', 0.047676109]
[u'African_hunting_dog', 0.045651399, u'German_shepherd', 0.025082193, u'English_foxhound', 0.023712641, u'timber_wolf', 0.020231033, u'dhole', 0.020072417]
[u'bookshop', 0.042531505, u'crossword_puzzle', 0.026127666, u'window_screen', 0.022481823, u'Chihuahua', 0.021440975, u'library', 0.020882996]
[u'library', 0.16742311, u'medicine_chest', 0.058723446, u'bookshop', 0.05632684, u'washbasin', 0.056070548, u'carton', 0.05296943]
[u'library', 0.16115461, u'vault', 0.079983957, u'bookshop', 0.076637365, u'maze', 0.05438162, u'prison', 0.048032336]
[u'switch', 0.28404456, u'wall_clock', 0.11571756, u'bell_cote', 0.051243048, u'container_ship', 0.050148059, u'analog_clock', 0.04017381]
[u'container_ship', 0.53867525, u'crossword_puzzle', 0.17410278, u'digital_clock', 0.055887327, u'scoreboard', 0.020303668, u'library', 0.018882779]
[u'safe', 0.17829533, u'book_jacket', 0.091402978, u'binder', 0.065180041, u'space_heater', 0.063344762, u'medicine_chest', 0.055944219]
[u'bookshop', 0.28275719, u'library', 0.23536485, u'tobacco_shop', 0.049732029, u'restaurant', 0.042590305, u'grocery_store', 0.021836834]
[u'pedestal', 0.43196547, u'solar_dish', 0.063303597, u'library', 0.052540869, u'triumphal_arch', 0.031842314, u'bell_cote', 0.03038002]
[u'library', 0.15450546, u'dining_table', 0.082705386, u'window_shade', 0.048935663, u'shoji', 0.033170708, u'bookcase', 0.032182775]
[u'pedestal', 0.18487161, u'geyser', 0.098405801, u'pier', 0.073364742, u'triumphal_arch', 0.064330496, u'beacon', 0.060854863]
[u'dining_table', 0.21392, u'desk', 0.062929377, u'wardrobe', 0.054462969, u'sliding_door', 0.050540254, u'shoji', 0.036205225]
[u'sliding_door', 0.27253675, u'shoji', 0.25593159, u'window_shade', 0.11716183, u'carton', 0.037638865, u'window_screen', 0.034947671]
[u'crossword_puzzle', 0.60569835, u'bookcase', 0.06437128, u'container_ship', 0.061283078, u'library', 0.039833248, u'bookshop', 0.027744383]
[u'crossword_puzzle', 0.81658739, u'computer_keyboard', 0.013667298, u'Windsor_tie', 0.0091462694, u'wool', 0.0081713377, u'container_ship', 0.0068698362]
[u'shower_curtain', 0.16698532, u'shoji', 0.067256875, u'library', 0.062454414, u'sliding_door', 0.061637878, u'window_shade', 0.058428772]
[u'Dandie_Dinmont', 0.047352076, u'African_hunting_dog', 0.043294821, u'Tibetan_mastiff', 0.035408206, u'borzoi', 0.029631719, u'wire-haired_fox_terrier', 0.022597834]
[u'wall_clock', 0.038165275, u'shower_curtain', 0.031732805, u'medicine_chest', 0.030926581, u'sliding_door', 0.02592599, u'wardrobe', 0.023228673]
[u'stretcher', 0.93616098, u'cannon', 0.0062550455, u'missile', 0.0057798373, u'projectile', 0.0053493925, u'bow', 0.0046064975]
[u'library', 0.14209183, u'bookshop', 0.080933928, u'dining_table', 0.0574692, u'shower_curtain', 0.032973994, u'desk', 0.030041348]
