[u'stage', 0.29096842, u'pole', 0.045441382, u'spotlight', 0.034967877, u'punching_bag', 0.034228835, u'microphone', 0.030706711]
[u'comic_book', 0.2452863, u'carousel', 0.19919738, u'fountain', 0.16421276, u'banana', 0.067526408, u'tile_roof', 0.053925842]
[u'bikini', 0.35019761, u'bathing_cap', 0.25106552, u'maillot', 0.058216672, u'sunscreen', 0.049567793, u'maillot', 0.020298485]
[u'comic_book', 0.67267317, u'book_jacket', 0.1170574, u'racket', 0.030959966, u'volleyball', 0.017236434, u'gasmask', 0.015213536]
[u'punching_bag', 0.37511477, u'barbell', 0.1894127, u'dumbbell', 0.12150815, u'bathing_cap', 0.022822389, u'swimming_trunks', 0.02145184]
[u'comic_book', 0.72106218, u'book_jacket', 0.080489911, u'power_drill', 0.019134637, u'tub', 0.018501762, u'jigsaw_puzzle', 0.010119346]
[u'bathing_cap', 0.36641434, u'swimming_trunks', 0.23882791, u'barbell', 0.11630711, u'bikini', 0.077378586, u'volleyball', 0.045174923]
[u'sunscreen', 0.20391054, u'maillot', 0.19009236, u'comic_book', 0.1582676, u'maillot', 0.12318666, u'jersey', 0.093733527]
[u'sunscreen', 0.1865316, u'bikini', 0.16923684, u'brassiere', 0.13497461, u'maillot', 0.071780458, u'crossword_puzzle', 0.058582537]
[u'bathing_cap', 0.28431627, u'Band_Aid', 0.16658014, u'maillot', 0.10275906, u'jersey', 0.046746343, u'sunscreen', 0.042452358]
[u'bikini', 0.20104155, u'iPod', 0.14719853, u'maillot', 0.079118736, u'maillot', 0.057752471, u'sunscreen', 0.032433499]
[u'French_horn', 0.14133979, u'cornet', 0.070031993, u'banjo', 0.04146149, u'bow_tie', 0.0413373, u'bubble', 0.025411131]
[u'jersey', 0.39483613, u'plunger', 0.12845142, u'comic_book', 0.085019179, u'spatula', 0.06073283, u'crutch', 0.035136193]
[u'piggy_bank', 0.20980316, u'comic_book', 0.079178847, u'bathtub', 0.068196058, u'bathing_cap', 0.056435131, u'tub', 0.039834589]
[u'punching_bag', 0.44139835, u'barbell', 0.10344539, u'stage', 0.068860017, u'sombrero', 0.045641791, u'gong', 0.019196166]
[u'comic_book', 0.17082074, u'maillot', 0.13558123, u'basketball', 0.1326163, u'maillot', 0.1289333, u'barbell', 0.10952626]
[u'swimming_trunks', 0.33142099, u'brassiere', 0.1828766, u'bikini', 0.095276907, u'miniskirt', 0.068709001, u'maillot', 0.044145361]
[u'maillot', 0.1094033, u'maillot', 0.10130138, u'bikini', 0.068409093, u'miniskirt', 0.04210661, u'toilet_seat', 0.028704673]
[u'comic_book', 0.13160342, u'hair_spray', 0.096439257, u'confectionery', 0.049972013, u'miniskirt', 0.04936976, u'ice_lolly', 0.042717841]
[u'bikini', 0.47067842, u'maillot', 0.11897255, u'maillot', 0.084455296, u'swimming_trunks', 0.053944584, u'comic_book', 0.046315301]
[u'cleaver', 0.21710561, u'hatchet', 0.13665311, u'miniskirt', 0.073835753, u'brassiere', 0.03026606, u'revolver', 0.028579719]
[u'maillot', 0.30339551, u'bathing_cap', 0.16273172, u'balance_beam', 0.098163791, u'volleyball', 0.097667016, u'bikini', 0.09282773]
[u'sulphur-crested_cockatoo', 0.25724593, u'goose', 0.084890351, u'park_bench', 0.069975853, u'spoonbill', 0.054488003, u'cock', 0.052377917]
[u'comic_book', 0.99686003, u'web_site', 0.00078833563, u'jigsaw_puzzle', 0.00065325841, u'envelope', 0.00062919903, u'book_jacket', 0.00058215373]
[u'bikini', 0.29748094, u'comic_book', 0.29336622, u'bathtub', 0.095861532, u'tub', 0.07633242, u'swimming_trunks', 0.039290126]
[u'miniskirt', 0.38979766, u'bikini', 0.12028521, u'sunscreen', 0.079934046, u'maillot', 0.05180699, u'diaper', 0.045129582]
[u'cocktail_shaker', 0.26947197, u'jersey', 0.1419775, u'sombrero', 0.08002276, u'sweatshirt', 0.074825808, u'gong', 0.021921324]
[u'bikini', 0.81835788, u'maillot', 0.058950707, u'sunscreen', 0.046577048, u'brassiere', 0.031177506, u'maillot', 0.026540169]
[u'barbell', 0.52278751, u'bathing_cap', 0.19573726, u'swimming_trunks', 0.072501019, u'dumbbell', 0.069326714, u'maillot', 0.042946421]
[u'horse_cart', 0.34007487, u'stretcher', 0.25832036, u'cello', 0.10683739, u'cliff', 0.020373516, u'plow', 0.019134]
[u'maillot', 0.32345125, u'maillot', 0.14464091, u'cowboy_hat', 0.088088624, u'miniskirt', 0.081196718, u'bathing_cap', 0.05410054]
[u'racket', 0.082574964, u'miniskirt', 0.063602179, u'jersey', 0.053596679, u'punching_bag', 0.044584673, u'sunscreen', 0.034613147]
[u'electric_guitar', 0.41959965, u'cradle', 0.097320229, u'quilt', 0.037822537, u'bassinet', 0.03663576, u'acoustic_guitar', 0.031628627]
[u'comic_book', 0.65291852, u'web_site', 0.12729758, u'book_jacket', 0.084119305, u'mask', 0.019414237, u'brassiere', 0.0080092512]
[u'paper_towel', 0.06078146, u'jersey', 0.049207497, u'hand_blower', 0.043893982, u'miniskirt', 0.033409376, u'toilet_seat', 0.031613477]
[u'bikini', 0.69253272, u'volleyball', 0.056725349, u'maillot', 0.034853447, u'brassiere', 0.034092173, u'hair_spray', 0.018323019]
[u'bikini', 0.53396946, u'brassiere', 0.092774756, u'swimming_trunks', 0.068724431, u'bathtub', 0.058478672, u'tub', 0.048903599]
[u'coffeepot', 0.18060991, u'banana', 0.046607167, u'fountain', 0.032044236, u'shower_curtain', 0.024375433, u'wardrobe', 0.023167539]
[u'punching_bag', 0.42729053, u'Christmas_stocking', 0.067403518, u'totem_pole', 0.022430096, u'cowboy_boot', 0.02208636, u'kimono', 0.020475198]
[u'maillot', 0.32465094, u'maillot', 0.23180392, u'bikini', 0.21680582, u'brassiere', 0.045637239, u'miniskirt', 0.044076312]
[u'bikini', 0.50535065, u'maillot', 0.20572069, u'maillot', 0.20291002, u'sunscreen', 0.038251165, u'comic_book', 0.0074649523]
[u'bucket', 0.13796753, u'barrel', 0.11382815, u'drum', 0.086439371, u'tray', 0.083991669, u'drumstick', 0.036057543]
[u'bikini', 0.19473207, u'miniskirt', 0.19007041, u'brass', 0.13341723, u'gown', 0.097211413, u'brassiere', 0.093686782]
[u'barbell', 0.9889043, u'puck', 0.0032153188, u'comic_book', 0.0010786682, u'plunger', 0.0010471874, u'dumbbell', 0.0010355847]
[u'comic_book', 0.10306183, u'bikini', 0.085966803, u'brassiere', 0.056915525, u'swimming_trunks', 0.051219359, u'maillot', 0.047296785]
[u'iPod', 0.18698978, u'cellular_telephone', 0.045302782, u'comic_book', 0.043787133, u'cassette', 0.042901099, u'prison', 0.026510676]
[u'swimming_trunks', 0.48905843, u'bathing_cap', 0.3018941, u'sunscreen', 0.053403214, u'maillot', 0.047340877, u'bikini', 0.041308228]
[u'spatula', 0.43651062, u'punching_bag', 0.12353513, u'comic_book', 0.025961874, u'crutch', 0.023794143, u'frying_pan', 0.022073528]
[u'piggy_bank', 0.40804291, u'weasel', 0.049148049, u'nipple', 0.049140126, u'vizsla', 0.04322987, u'teddy', 0.038103506]
[u'comic_book', 0.15066536, u'hair_spray', 0.14039846, u'punching_bag', 0.11392651, u'sunscreen', 0.10748987, u'bikini', 0.023006698]
[u'comic_book', 0.13040255, u'piggy_bank', 0.1011665, u'cowboy_hat', 0.089329623, u'sunscreen', 0.067429572, u'Band_Aid', 0.054225147]
[u'sarong', 0.30403823, u'miniskirt', 0.10643025, u'spatula', 0.036714759, u'maillot', 0.032839902, u'hatchet', 0.027628269]
[u'bathing_cap', 0.17212264, u'swimming_trunks', 0.15084115, u'bikini', 0.10493698, u'comic_book', 0.093073331, u'maillot', 0.081048422]
[u'diaper', 0.19137812, u'swimming_trunks', 0.18879761, u'bathing_cap', 0.17371185, u'bathtub', 0.075499557, u'sunscreen', 0.068380445]
[u'comic_book', 0.51544207, u'jersey', 0.23868567, u'cowboy_hat', 0.026158538, u'sombrero', 0.024931151, u'hatchet', 0.02027099]
