[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
[u'oscilloscope', 0.92755419, u'screen', 0.037316069, u'monitor', 0.013113509, u'cash_machine', 0.005931587, u'desktop_computer', 0.00243326]
