[u'swimming_trunks', 0.54192835, u'diaper', 0.13932732, u'paintbrush', 0.066124037, u'sunscreen', 0.028534055, u'bath_towel', 0.025923405]
[u'diaper', 0.56409591, u'bathtub', 0.16378331, u'tub', 0.061754875, u'bikini', 0.035128661, u'Band_Aid', 0.02599743]
[u'maillot', 0.13891132, u'miniskirt', 0.11641056, u'bikini', 0.097618721, u'sandal', 0.087965831, u'brassiere', 0.042406287]
[u'swimming_trunks', 0.29925755, u'bikini', 0.18488365, u'tub', 0.12037724, u'diaper', 0.075887784, u'maillot', 0.02725544]
[u"potter's_wheel", 0.16675906, u'scale', 0.14487104, u'tub', 0.087717019, u'bikini', 0.078920357, u'crossword_puzzle', 0.070329949]
[u'printer', 0.20099115, u'desk', 0.14386234, u'photocopier', 0.12652825, u'notebook', 0.10206097, u'screen', 0.057161923]
[u'miniskirt', 0.11078784, u'bassoon', 0.070850208, u'sandal', 0.058312032, u'banjo', 0.047748514, u'maillot', 0.047716077]
[u'bullfrog', 0.099698976, u'boa_constrictor', 0.057698175, u'swimming_trunks', 0.055812754, u'axolotl', 0.055707466, u'pretzel', 0.033711232]
[u'tub', 0.32060426, u'bikini', 0.24038245, u'bathtub', 0.23112042, u'swimming_trunks', 0.035651445, u'maillot', 0.02055061]
[u'tub', 0.16882402, u'diaper', 0.074055441, u'bikini', 0.07158538, u'bathtub', 0.052720439, u'piggy_bank', 0.047450002]
[u'bikini', 0.15672585, u'sunscreen', 0.093175717, u'hair_spray', 0.056937188, u'tub', 0.052023638, u'miniskirt', 0.03777907]
[u'hatchet', 0.33414429, u'hammer', 0.27125329, u'power_drill', 0.036531258, u'chain_saw', 0.025706712, u'jigsaw_puzzle', 0.011767383]
[u'knot', 0.17014731, u'banded_gecko', 0.096203767, u'sock', 0.07863792, u'green_lizard', 0.044910196, u'African_chameleon', 0.031543337]
[u'bikini', 0.94654751, u'maillot', 0.018698543, u'tub', 0.0075782314, u'swimming_trunks', 0.0065683085, u'maillot', 0.0043549258]
[u'swimming_trunks', 0.076363504, u'bubble', 0.044462331, u'bathing_cap', 0.042261697, u'volleyball', 0.03899755, u'ice_lolly', 0.033054177]
[u'wig', 0.58010715, u'bathing_cap', 0.048655413, u'feather_boa', 0.027346283, u'bikini', 0.023684038, u'miniskirt', 0.02024377]
[u'diaper', 0.44099215, u'swimming_trunks', 0.072938956, u'stethoscope', 0.063002527, u'bikini', 0.052727122, u'brassiere', 0.020918198]
[u'bikini', 0.21397299, u'earthstar', 0.076570272, u'teapot', 0.053368382, u'maillot', 0.048208587, u'pitcher', 0.034023982]
[u'swimming_trunks', 0.49034634, u'bikini', 0.10098941, u'tub', 0.07729087, u'bathtub', 0.041261915, u'diaper', 0.035637595]
[u'sombrero', 0.091662265, u'bubble', 0.089787915, u'brassiere', 0.077607431, u'cowboy_hat', 0.061402481, u'ice_lolly', 0.060870867]
[u'spotted_salamander', 0.17949302, u'assault_rifle', 0.12463534, u'miniskirt', 0.11973067, u'European_fire_salamander', 0.10118909, u'rifle', 0.078620583]
[u'swimming_trunks', 0.18074484, u'brassiere', 0.17742345, u'bikini', 0.065198399, u'diaper', 0.064884596, u'cowboy_hat', 0.058667284]
[u'bathtub', 0.28045443, u'tub', 0.26418465, u'diaper', 0.10666128, u'swimming_trunks', 0.085405223, u'bath_towel', 0.046875257]
[u'bubble', 0.13149984, u'bikini', 0.10816624, u'maillot', 0.062801719, u'knot', 0.059694979, u'vine_snake', 0.057619985]
[u'sandal', 0.11418011, u'bathtub', 0.10559133, u'brassiere', 0.089661181, u'tub', 0.083830602, u'mask', 0.05815649]
